time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965010,397000,211405,1,2,1,1,186,26,204657,2,284,50,12,0,1980-01-06T03:03:30,1633357252.154973,2021-10-04T17:20:52
315965023,517000,224427,1,2,1,1,197,28,220226,0,401,228,12,0,1980-01-06T03:03:43,1633357265.7254598,2021-10-04T17:21:05
315965037,594000,238444,1,2,1,1,210,30,235775,0,398,140,12,0,1980-01-06T03:03:57,1633357281.375525,2021-10-04T17:21:21
315965051,676000,252471,1,2,1,1,223,32,251274,0,398,28,12,0,1980-01-06T03:04:11,1633357294.454993,2021-10-04T17:21:34
315965064,489000,265500,1,2,1,1,234,33,258988,0,396,146,12,0,1980-01-06T03:04:24,1633357307.4351358,2021-10-04T17:21:47
315965079,529000,280529,1,2,1,1,248,35,274450,0,395,25,12,0,1980-01-06T03:04:39,1633357321.035861,2021-10-04T17:22:01
315965092,647000,293553,1,2,1,1,260,37,289909,0,395,143,12,0,1980-01-06T03:04:52,1633357333.9769568,2021-10-04T17:22:13
315965105,758000,306577,1,2,1,1,272,39,304246,0,392,3,12,0,1980-01-06T03:05:05,1633357349.6159408,2021-10-04T17:22:29
315965119,531000,320603,1,2,1,1,284,40,312066,0,395,129,12,0,1980-01-06T03:05:19,1633357363.165616,2021-10-04T17:22:43
315965133,654000,334629,1,2,1,1,297,42,328684,0,393,255,12,0,1980-01-06T03:05:33,1633357376.175773,2021-10-04T17:22:56
315965147,733000,348657,1,2,1,1,309,44,344228,0,393,128,12,0,1980-01-06T03:05:47,1633357389.736193,2021-10-04T17:23:09
315965174,928000,375711,1,2,1,1,334,48,375282,0,389,176,12,0,1980-01-06T03:06:14,1633357417.926429,2021-10-04T17:23:37
315965188,707000,389744,1,2,1,1,346,49,383139,0,393,127,12,0,1980-01-06T03:06:28,1633357431.476565,2021-10-04T17:23:51
