time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965032,585200,233175,233152,233152,233,0,0,0,0,0,196,13,1,1980-01-06T03:03:52,1633357275.176781,2021-10-04T17:21:15
315965057,585200,258175,258152,258152,258,0,0,0,0,0,238,13,1,1980-01-06T03:04:17,1633357300.025292,2021-10-04T17:21:40
315965082,585200,283175,283152,283152,283,0,0,0,0,0,22,13,1,1980-01-06T03:04:42,1633357325.4260879,2021-10-04T17:22:05
315965107,585200,308175,308152,308152,308,0,0,0,0,0,62,13,1,1980-01-06T03:05:07,1633357350.2056758,2021-10-04T17:22:30
315965132,585200,333175,333152,333152,333,0,0,0,0,0,104,13,1,1980-01-06T03:05:32,1633357375.005993,2021-10-04T17:22:55
315965157,585200,358175,358152,358152,358,0,0,0,0,0,144,13,1,1980-01-06T03:05:57,1633357399.7858489,2021-10-04T17:23:19
315965182,585200,383175,383152,383152,383,0,0,0,0,0,184,13,1,1980-01-06T03:06:22,1633357424.7462769,2021-10-04T17:23:44
315965207,748500,408175,408152,408152,408,0,0,0,0,0,226,13,1,1980-01-06T03:06:47,1633357450.1178288,2021-10-04T17:24:10
315965232,748500,433175,433152,433152,433,0,0,0,0,0,10,13,1,1980-01-06T03:07:12,1633357474.9885569,2021-10-04T17:24:34
315965257,748500,458175,458152,458152,458,0,0,0,0,0,50,13,1,1980-01-06T03:07:37,1633357499.90798,2021-10-04T17:24:59
315965282,748500,483175,483152,483152,483,0,0,0,0,0,92,13,1,1980-01-06T03:08:02,1633357524.696452,2021-10-04T17:25:24
315965307,748500,508175,508152,508152,508,0,0,0,0,0,132,13,1,1980-01-06T03:08:27,1633357549.588213,2021-10-04T17:25:49
315965332,748500,533175,533152,533152,533,0,0,0,0,0,172,13,1,1980-01-06T03:08:52,1633357574.4671478,2021-10-04T17:26:14
315965357,748500,558175,558152,558152,558,0,0,0,0,0,214,13,1,1980-01-06T03:09:17,1633357599.4669719,2021-10-04T17:26:39
315965382,748500,583175,583152,583152,583,0,0,0,0,0,254,13,1,1980-01-06T03:09:42,1633357624.4073758,2021-10-04T17:27:04
315965408,16700,608175,608152,608152,608,0,0,0,0,0,38,13,1,1980-01-06T03:10:08,1633357649.9166129,2021-10-04T17:27:29
315965433,16700,633175,633152,633152,633,0,0,0,0,0,80,13,1,1980-01-06T03:10:33,1633357674.858021,2021-10-04T17:27:54
315965458,16700,658175,658152,658152,658,0,0,0,0,0,120,13,1,1980-01-06T03:10:58,1633357699.6666288,2021-10-04T17:28:19
315965483,16700,683175,683152,683152,683,0,0,0,0,0,160,13,1,1980-01-06T03:11:23,1633357724.5167449,2021-10-04T17:28:44
315965508,16700,708175,708152,708152,708,0,0,0,0,0,202,13,1,1980-01-06T03:11:48,1633357749.4681199,2021-10-04T17:29:09
315965533,16700,733175,733152,733152,733,0,0,0,0,0,242,13,1,1980-01-06T03:12:13,1633357774.357017,2021-10-04T17:29:34
315965558,16700,758175,758152,758152,758,0,0,0,0,0,26,13,1,1980-01-06T03:12:38,1633357799.3789918,2021-10-04T17:29:59
315965583,16700,783175,783152,783152,783,0,0,0,0,0,68,13,1,1980-01-06T03:13:03,1633357824.417104,2021-10-04T17:30:24
315965608,143800,808175,808152,808152,808,0,0,0,0,0,108,13,1,1980-01-06T03:13:28,1633357849.547132,2021-10-04T17:30:49
315965633,143800,833175,833152,833152,833,0,0,0,0,0,148,13,1,1980-01-06T03:13:53,1633357874.4776008,2021-10-04T17:31:14
315965658,143800,858175,858152,858152,858,0,0,0,0,0,190,13,1,1980-01-06T03:14:18,1633357899.366793,2021-10-04T17:31:39
315965683,143800,883175,883152,883152,883,0,0,0,0,0,230,13,1,1980-01-06T03:14:43,1633357924.307065,2021-10-04T17:32:04
315965708,143800,908175,908152,908152,908,0,0,0,0,0,14,13,1,1980-01-06T03:15:08,1633357949.2176368,2021-10-04T17:32:29
315965733,143800,933175,933152,933152,933,0,0,0,0,0,56,13,1,1980-01-06T03:15:33,1633357974.288828,2021-10-04T17:32:54
315965758,143800,958175,958152,958152,958,0,0,0,0,0,96,13,1,1980-01-06T03:15:58,1633357999.3173048,2021-10-04T17:33:19
315965783,143800,983175,983152,983152,983,0,0,0,0,0,136,13,1,1980-01-06T03:16:23,1633358024.1972408,2021-10-04T17:33:44
315965808,143800,1008175,1008152,1008152,1008,0,0,0,0,0,178,13,1,1980-01-06T03:16:48,1633358049.1472728,2021-10-04T17:34:09
