time_s,time_us,time_steady,iTOW,fTOW,week,gpsFix,flags,ecefX,ecefY,ecefZ,pAcc,ecefVX,ecefVY,ecefVZ,sAcc,pDOP,reserved1,numSV,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian,lat,lon,h
315965011,377000,211363,138065000,0,2178,0,76,637813700,0,0,649519872,0,0,0,5444,9999,0,0,210,11,0,1980-01-06T03:03:31,1633357252.744736,2021-10-04T17:20:52,0.0,0.0,0.0
315965014,348000,214334,138068000,0,2178,0,76,637813700,0,0,649519872,0,0,0,5479,9999,0,0,32,11,0,1980-01-06T03:03:34,1633357257.7550209,2021-10-04T17:20:57,0.0,0.0,0.0
315965019,349000,219335,138073000,0,2178,0,76,637813700,0,0,649519872,0,0,0,5535,9999,0,0,160,11,0,1980-01-06T03:03:39,1633357262.7752209,2021-10-04T17:21:02,0.0,0.0,0.0
315965024,492000,224478,138078000,0,2178,0,76,637813700,0,0,649519936,0,0,0,5591,9999,0,0,34,11,0,1980-01-06T03:03:44,1633357268.37514,2021-10-04T17:21:08,0.0,0.0,0.0
315965029,350000,229335,138083000,0,2178,0,76,637813700,0,0,649520000,0,0,0,5647,9999,0,0,158,11,0,1980-01-06T03:03:49,1633357271.3249838,2021-10-04T17:21:11,0.0,0.0,0.0
315965034,352000,234338,138088000,0,2178,0,76,637813700,0,0,649520064,0,0,0,5702,9999,0,0,30,11,0,1980-01-06T03:03:54,1633357276.355053,2021-10-04T17:21:16,0.0,0.0,0.0
315965038,345000,238330,138092000,0,2178,0,76,637813700,0,0,649520128,0,0,0,5746,9999,0,0,135,11,0,1980-01-06T03:03:58,1633357281.966209,2021-10-04T17:21:21,0.0,0.0,0.0
315965047,383000,247358,138101000,0,2178,0,76,637813700,0,0,649520192,0,0,0,5843,9999,0,0,108,11,0,1980-01-06T03:04:07,1633357289.985285,2021-10-04T17:21:29,0.0,0.0,0.0
315965053,364000,253334,138107000,0,2178,0,76,637813700,0,0,649520320,0,0,0,5907,9999,0,0,5,11,0,1980-01-06T03:04:13,1633357295.625553,2021-10-04T17:21:35,0.0,0.0,0.0
315965057,348000,257314,138111000,0,2178,0,76,637813700,0,0,649520320,0,0,0,5949,9999,0,0,105,11,0,1980-01-06T03:04:17,1633357300.025292,2021-10-04T17:21:40,0.0,0.0,0.0
315965062,355000,262316,138116000,0,2178,0,76,637813700,0,0,649520384,0,0,0,6001,9999,0,0,232,11,0,1980-01-06T03:04:22,1633357302.9755719,2021-10-04T17:21:42,0.0,0.0,0.0
315965067,362000,267318,138121000,0,2178,0,76,637813700,0,0,649520512,0,0,0,6053,9999,0,0,103,11,0,1980-01-06T03:04:27,1633357308.616652,2021-10-04T17:21:48,0.0,0.0,0.0
315965070,383000,270336,138124000,0,2178,0,76,637813700,0,0,649520512,0,0,0,6084,9999,0,0,183,11,0,1980-01-06T03:04:30,1633357313.6252809,2021-10-04T17:21:53,0.0,0.0,0.0
315965075,388000,275336,138129000,0,2178,0,76,637813700,0,0,649520576,0,0,0,6135,9999,0,0,54,11,0,1980-01-06T03:04:35,1633357318.645565,2021-10-04T17:21:58,0.0,0.0,0.0
315965080,394000,280337,138134000,0,2178,0,76,637813700,0,0,649520640,0,0,0,6186,9999,0,0,181,11,0,1980-01-06T03:04:40,1633357321.615401,2021-10-04T17:22:01,0.0,0.0,0.0
