time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965010,397000,211405,187,187,5805,5805,0,0,2011,2011,2011,2011,0,0,1596,2345,3607,2011,187,0,0,0,0,0,1596,0,0,0,51,12,0,1980-01-06T03:03:30,1633357253.335481,2021-10-04T17:20:53
315965025,439000,226429,200,200,6235,6235,0,0,2162,2162,2162,2162,0,0,1711,2414,3873,2162,200,0,0,0,0,0,1711,0,0,0,0,12,0,1980-01-06T03:03:45,1633357268.37514,2021-10-04T17:21:08
315965039,520000,240450,213,213,6636,6636,0,0,2302,2302,2302,2302,0,0,1819,2452,4121,2302,213,0,0,0,0,0,1819,0,0,0,164,12,0,1980-01-06T03:03:59,1633357281.966209,2021-10-04T17:21:21
315965052,637000,253473,225,224,7007,7007,0,0,2431,2431,2431,2431,0,0,1920,2465,4351,2431,225,0,0,0,0,0,1920,0,0,0,37,12,0,1980-01-06T03:04:12,1633357295.0458798,2021-10-04T17:21:35
315965065,451000,266502,236,236,7380,7380,0,0,2562,2562,2562,2562,0,0,2020,2466,4582,2562,236,0,0,0,0,0,2020,0,0,0,156,12,0,1980-01-06T03:04:25,1633357308.0351489,2021-10-04T17:21:48
315965079,529000,280529,249,249,7782,7782,0,0,2702,2702,2702,2702,0,0,2129,2466,4831,2702,249,0,0,0,0,0,2129,0,0,0,26,12,0,1980-01-06T03:04:39,1633357321.615401,2021-10-04T17:22:01
315965093,609000,294556,262,262,8184,8184,0,0,2842,2842,2842,2842,0,0,2238,2466,5080,2842,262,0,0,0,0,0,2238,0,0,0,152,12,0,1980-01-06T03:04:53,1633357336.6255288,2021-10-04T17:22:16
315965106,722000,307580,273,273,8554,8554,0,0,2971,2971,2971,2971,0,0,2339,2466,5310,2971,273,0,0,0,0,0,2339,0,0,0,14,12,0,1980-01-06T03:05:06,1633357350.2056758,2021-10-04T17:22:30
315965120,841000,321603,286,286,8955,8955,0,0,3111,3111,3111,3111,0,0,2447,2466,5558,3111,286,0,0,0,0,0,2447,0,0,0,140,12,0,1980-01-06T03:05:20,1633357363.746093,2021-10-04T17:22:43
315965134,617000,335632,299,299,9357,9357,0,0,3251,3251,3251,3251,0,0,2556,2466,5807,3251,299,0,0,0,0,0,2556,0,0,0,10,12,0,1980-01-06T03:05:34,1633357376.756036,2021-10-04T17:22:56
315965148,697000,349660,311,311,9757,9757,0,0,3391,3391,3391,3391,0,0,2664,2469,6055,3391,311,0,0,0,0,0,2664,0,0,0,139,12,0,1980-01-06T03:05:48,1633357392.386473,2021-10-04T17:23:12
315965162,769000,363682,324,324,10159,10159,0,0,3531,3531,3531,3531,0,0,2773,2477,6304,3531,324,0,0,0,0,0,2773,0,0,0,17,12,0,1980-01-06T03:06:02,1633357405.445992,2021-10-04T17:23:25
315965175,891000,376715,336,336,10534,10534,0,0,3662,3662,3662,3662,0,0,2874,2531,6536,3662,336,0,0,0,0,0,2874,0,0,0,187,12,0,1980-01-06T03:06:15,1633357418.516425,2021-10-04T17:23:38
315965188,707000,389744,347,347,10904,10904,0,0,3791,3791,3791,3791,0,0,2975,2612,6766,3791,347,0,0,0,0,0,2975,0,0,0,128,12,0,1980-01-06T03:06:28,1633357432.086632,2021-10-04T17:23:52
315965202,794000,403780,360,360,11305,11305,0,0,3931,3931,3931,3931,0,0,3083,2678,7014,3931,360,0,0,0,0,0,3083,0,0,0,64,12,0,1980-01-06T03:06:42,1633357445.09658,2021-10-04T17:24:05
315965230,990000,431844,385,385,12108,12108,0,0,4211,4211,4211,4211,0,0,3301,2690,7512,4211,385,0,0,0,0,0,3301,0,0,0,72,12,0,1980-01-06T03:07:10,1633357474.378152,2021-10-04T17:24:34
315965245,68000,445877,398,398,12509,12509,0,0,4351,4351,4351,4351,0,0,3409,2690,7760,4351,398,0,0,0,0,0,3409,0,0,0,198,12,0,1980-01-06T03:07:25,1633357487.4366999,2021-10-04T17:24:47
315965259,141000,459910,411,411,12910,12910,0,0,4491,4491,4491,4491,0,0,3517,2690,8008,4491,411,0,0,0,0,0,3517,0,0,0,68,12,0,1980-01-06T03:07:39,1633357501.088048,2021-10-04T17:25:01
315965271,956000,472941,423,423,13285,13285,0,0,4622,4622,4622,4622,0,0,3618,2690,8240,4622,423,0,0,0,0,0,3618,0,0,0,186,12,0,1980-01-06T03:07:51,1633357514.117297,2021-10-04T17:25:14
315965286,27000,486970,435,435,13686,13686,0,0,4762,4762,4762,4762,0,0,3727,2692,8489,4762,435,0,0,0,0,0,3727,0,0,0,58,12,0,1980-01-06T03:08:06,1633357529.1068928,2021-10-04T17:25:29
315965299,197000,500065,447,447,14062,14062,0,0,4893,4893,4893,4893,0,0,3829,2701,8722,4893,447,0,0,0,0,0,3829,0,0,0,186,12,0,1980-01-06T03:08:19,1633357542.2165198,2021-10-04T17:25:42
315965311,85000,512094,458,458,14381,14381,0,0,5000,5000,5000,5000,0,0,3923,2764,8923,5000,458,0,0,0,0,0,3923,0,0,0,87,12,0,1980-01-06T03:08:31,1633357556.4265559,2021-10-04T17:25:56
315965326,160000,527125,472,472,14758,14757,0,0,5123,5123,5122,5122,0,0,4040,2840,9163,5122,472,0,0,0,0,0,4040,0,0,0,17,12,0,1980-01-06T03:08:46,1633357569.467016,2021-10-04T17:26:09
315965339,273000,540154,483,483,15106,15106,0,0,5240,5240,5240,5240,0,0,4143,2928,9383,5240,483,0,0,0,0,0,4143,0,0,0,207,12,0,1980-01-06T03:08:59,1633357582.486552,2021-10-04T17:26:22
315965369,342000,570220,510,510,15948,15948,0,0,5531,5531,5531,5531,0,0,4376,2964,9907,5531,510,0,0,0,0,0,4376,0,0,0,248,12,0,1980-01-06T03:09:29,1633357611.316936,2021-10-04T17:26:51
315965383,417000,584253,523,523,16345,16345,0,0,5669,5669,5669,5669,0,0,4484,2967,10153,5669,523,0,0,0,0,0,4484,0,0,0,121,12,0,1980-01-06T03:09:43,1633357624.986861,2021-10-04T17:27:04
315965396,229000,597279,535,535,16721,16721,0,0,5800,5800,5800,5800,0,0,4586,2967,10386,5800,535,0,0,0,0,0,4586,0,0,0,237,12,0,1980-01-06T03:09:56,1633357638.6268408,2021-10-04T17:27:18
315965410,485000,611303,548,548,17122,17122,0,0,5940,5940,5940,5940,0,0,4694,2967,10634,5940,548,0,0,0,0,0,4694,0,0,0,107,12,0,1980-01-06T03:10:10,1633357653.816648,2021-10-04T17:27:33
315965424,554000,625332,560,560,17523,17523,0,0,6080,6080,6080,6080,0,0,4803,2967,10883,6080,560,0,0,0,0,0,4803,0,0,0,233,12,0,1980-01-06T03:10:24,1633357667.4267719,2021-10-04T17:27:47
315965438,621000,639361,573,573,17925,17925,0,0,6220,6220,6220,6220,0,0,4912,2967,11132,6220,573,0,0,0,0,0,4912,0,0,0,103,12,0,1980-01-06T03:10:38,1633357680.426725,2021-10-04T17:28:00
315965451,723000,652384,585,585,18300,18300,0,0,6351,6351,6351,6351,0,0,5013,2967,11364,6351,585,0,0,0,0,0,5013,0,0,0,221,12,0,1980-01-06T03:10:51,1633357694.016748,2021-10-04T17:28:14
315965464,761000,665413,596,596,18670,18670,0,0,6480,6480,6480,6480,0,0,5114,2967,11594,6480,596,0,0,0,0,0,5114,0,0,0,81,12,0,1980-01-06T03:11:04,1633357707.057005,2021-10-04T17:28:27
315965479,490000,680441,610,610,19103,19103,0,0,6631,6631,6631,6631,0,0,5231,2967,11862,6631,610,0,0,0,0,0,5231,0,0,0,217,12,0,1980-01-06T03:11:19,1633357722.1669478,2021-10-04T17:28:42
315965493,558000,694470,623,623,19504,19504,0,0,6771,6771,6771,6771,0,0,5339,2967,12110,6771,623,0,0,0,0,0,5339,0,0,0,87,12,0,1980-01-06T03:11:33,1633357735.786948,2021-10-04T17:28:55
315965506,716000,707499,634,634,19874,19874,0,0,6900,6900,6900,6900,0,0,5440,2967,12340,6900,634,0,0,0,0,0,5440,0,0,0,203,12,0,1980-01-06T03:11:46,1633357749.4681199,2021-10-04T17:29:09
