time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965014,987000,215577,0,1,147,1,1148,1,147,1,1148,244,13,0,1980-01-06T03:03:34,1633357257.155241,2021-10-04T17:20:57
315965027,986900,228577,0,1,147,1,1148,1,147,1,1148,143,13,0,1980-01-06T03:03:47,1633357270.1548998,2021-10-04T17:21:10
315965041,987000,242577,0,1,147,1,1148,1,147,1,1148,52,13,0,1980-01-06T03:04:01,1633357283.786085,2021-10-04T17:21:23
315965055,986900,256577,0,1,147,1,1148,1,147,1,1148,218,13,0,1980-01-06T03:04:15,1633357299.435184,2021-10-04T17:21:39
315965068,987000,269577,0,1,147,1,1148,1,147,1,1148,117,13,0,1980-01-06T03:04:28,1633357312.4462929,2021-10-04T17:21:52
315965082,986900,283577,0,1,147,1,1148,1,147,1,1148,27,13,0,1980-01-06T03:04:42,1633357325.4260879,2021-10-04T17:22:05
315965095,987000,296577,0,1,147,1,1148,1,147,1,1148,181,13,0,1980-01-06T03:04:55,1633357338.385428,2021-10-04T17:22:18
315965109,986900,310577,0,1,147,1,1148,1,147,1,1148,91,13,0,1980-01-06T03:05:09,1633357352.025569,2021-10-04T17:22:32
315965124,986900,325577,0,1,147,1,1148,1,147,1,1148,13,13,0,1980-01-06T03:05:24,1633357367.5961368,2021-10-04T17:22:47
315965137,987000,338577,0,1,147,1,1148,1,147,1,1148,168,13,0,1980-01-06T03:05:37,1633357380.636304,2021-10-04T17:23:00
315965150,986900,351577,0,1,147,1,1148,1,147,1,1148,66,13,0,1980-01-06T03:05:50,1633357394.146021,2021-10-04T17:23:14
315965164,987000,365577,0,1,147,1,1148,1,147,1,1148,232,13,0,1980-01-06T03:06:04,1633357407.2068129,2021-10-04T17:23:27
