time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965015,983200,216573,18.359195709228516,255,13,0,1980-01-06T03:03:35,1633357257.7550209,2021-10-04T17:20:57
315965024,983200,225573,17.06688690185547,106,13,0,1980-01-06T03:03:44,1633357265.7254598,2021-10-04T17:21:05
315965033,983200,234573,16.09765625,213,13,0,1980-01-06T03:03:53,1633357276.355053,2021-10-04T17:21:16
315965042,983200,243573,15.521737098693848,64,13,0,1980-01-06T03:04:02,1633357284.3654358,2021-10-04T17:21:24
315965052,983200,253573,15.100333213806152,182,13,0,1980-01-06T03:04:12,1633357295.0458798,2021-10-04T17:21:35
315965060,983200,261573,14.931770324707031,21,13,0,1980-01-06T03:04:20,1633357302.3958719,2021-10-04T17:21:42
315965070,983200,271573,14.791302680969238,139,13,0,1980-01-06T03:04:30,1633357313.036629,2021-10-04T17:21:53
315965078,983200,279573,14.749162673950195,235,13,0,1980-01-06T03:04:38,1633357321.615401,2021-10-04T17:22:01
315965087,983200,288573,14.664880752563477,86,13,0,1980-01-06T03:04:47,1633357331.035529,2021-10-04T17:22:11
315965097,983200,298573,14.58060073852539,204,13,0,1980-01-06T03:04:57,1633357339.605645,2021-10-04T17:22:19
315965106,983200,307573,14.482272148132324,54,13,0,1980-01-06T03:05:06,1633357349.6159408,2021-10-04T17:22:29
315965115,983200,316573,14.355850219726562,161,13,0,1980-01-06T03:05:15,1633357357.5856209,2021-10-04T17:22:37
315965124,983200,325573,14.299664497375488,12,13,0,1980-01-06T03:05:24,1633357368.1860769,2021-10-04T17:22:48
315965133,983200,334573,14.22943115234375,119,13,0,1980-01-06T03:05:33,1633357376.756036,2021-10-04T17:22:56
315965142,983200,343573,14.201337814331055,226,13,0,1980-01-06T03:05:42,1633357386.1863048,2021-10-04T17:23:06
315965152,983200,353573,14.271570205688477,88,13,0,1980-01-06T03:05:52,1633357394.736773,2021-10-04T17:23:14
315965170,983200,371573,14.22943115234375,45,13,0,1980-01-06T03:06:10,1633357412.816872,2021-10-04T17:23:32
315965179,983200,380573,57.04413986206055,152,13,0,1980-01-06T03:06:19,1633357423.546413,2021-10-04T17:23:43
315965188,983200,389573,56.94581604003906,3,13,0,1980-01-06T03:06:28,1633357431.476565,2021-10-04T17:23:51
315965197,983200,398573,56.917724609375,110,13,0,1980-01-06T03:06:37,1633357439.4577239,2021-10-04T17:23:59
315965207,146500,407573,56.9036750793457,216,13,0,1980-01-06T03:06:47,1633357450.1178288,2021-10-04T17:24:10
315965226,146500,426573,11.841470718383789,187,13,0,1980-01-06T03:07:06,1633357468.126569,2021-10-04T17:24:28
315965235,146500,435573,6.377257347106934,38,13,0,1980-01-06T03:07:15,1633357476.746724,2021-10-04T17:24:36
315965244,146500,444573,4.494983196258545,145,13,0,1980-01-06T03:07:24,1633357487.4366999,2021-10-04T17:24:47
315965253,146500,453573,4.003344535827637,252,13,0,1980-01-06T03:07:33,1633357494.816205,2021-10-04T17:24:54
315965263,146500,463573,3.9471569061279297,114,13,0,1980-01-06T03:07:43,1633357505.5465438,2021-10-04T17:25:05
315965273,146500,473573,4.087625026702881,232,13,0,1980-01-06T03:07:53,1633357514.117297,2021-10-04T17:25:14
315965282,146500,482573,4.382608413696289,82,13,0,1980-01-06T03:08:02,1633357524.1167839,2021-10-04T17:25:24
315965291,146500,491573,4.86020040512085,189,13,0,1980-01-06T03:08:11,1633357532.126345,2021-10-04T17:25:32
315965300,146500,500573,5.576588153839111,40,13,0,1980-01-06T03:08:20,1633357542.8166249,2021-10-04T17:25:42
315965309,146500,509573,6.447490692138672,147,13,0,1980-01-06T03:08:29,1633357550.76774,2021-10-04T17:25:50
315965319,146500,519573,8.09096908569336,11,13,0,1980-01-06T03:08:39,1633357561.486644,2021-10-04T17:26:01
315965328,146500,528573,57.04413986206055,118,13,0,1980-01-06T03:08:48,1633357570.046769,2021-10-04T17:26:10
315965337,146500,537573,56.94581604003906,224,13,0,1980-01-06T03:08:57,1633357579.496728,2021-10-04T17:26:19
315965346,146500,546573,56.9317626953125,75,13,0,1980-01-06T03:09:06,1633357588.156728,2021-10-04T17:26:28
315965356,146500,556573,34.20401382446289,193,13,0,1980-01-06T03:09:16,1633357598.2772238,2021-10-04T17:26:38
315965364,146500,564573,17.825416564941406,33,13,0,1980-01-06T03:09:24,1633357606.2868009,2021-10-04T17:26:46
315965383,146500,583573,6.545818328857422,2,13,0,1980-01-06T03:09:43,1633357624.986861,2021-10-04T17:27:04
315965393,146500,593573,5.393979549407959,120,13,0,1980-01-06T03:09:53,1633357635.666764,2021-10-04T17:27:15
315965402,414700,602573,5.042809009552002,226,13,0,1980-01-06T03:10:02,1633357643.7074769,2021-10-04T17:27:23
315965411,414700,611573,4.494983196258545,77,13,0,1980-01-06T03:10:11,1633357654.4067729,2021-10-04T17:27:34
315965420,414700,620573,3.890969753265381,184,13,0,1980-01-06T03:10:20,1633357662.366756,2021-10-04T17:27:42
315965429,414700,629573,3.8488292694091797,35,13,0,1980-01-06T03:10:29,1633357672.4872649,2021-10-04T17:27:52
315965438,414700,638573,4.031437873840332,142,13,0,1980-01-06T03:10:38,1633357681.0367608,2021-10-04T17:28:01
315965457,414700,657573,5.14113712310791,112,13,0,1980-01-06T03:10:57,1633357699.0675008,2021-10-04T17:28:19
315965466,414700,666573,33.90903091430664,219,13,0,1980-01-06T03:11:06,1633357707.057005,2021-10-04T17:28:27
315965475,414700,675573,56.98795700073242,70,13,0,1980-01-06T03:11:15,1633357717.1769478,2021-10-04T17:28:37
315965484,414700,684573,56.9317626953125,177,13,0,1980-01-06T03:11:24,1633357725.6882129,2021-10-04T17:28:45
315965494,414700,694573,56.9317626953125,39,13,0,1980-01-06T03:11:34,1633357736.36702,2021-10-04T17:28:56
315965503,414700,703573,29.891637802124023,146,13,0,1980-01-06T03:11:43,1633357744.3870769,2021-10-04T17:29:04
315965512,414700,712573,12.319063186645508,252,13,0,1980-01-06T03:11:52,1633357754.476768,2021-10-04T17:29:14
315965521,414700,721573,6.489631175994873,103,13,0,1980-01-06T03:12:01,1633357762.5271769,2021-10-04T17:29:22
315965531,414700,731573,4.312373638153076,221,13,0,1980-01-06T03:12:11,1633357773.1773648,2021-10-04T17:29:33
315965540,414700,740573,3.8488292694091797,72,13,0,1980-01-06T03:12:20,1633357781.2468798,2021-10-04T17:29:41
315965549,414700,749573,3.8628761768341064,179,13,0,1980-01-06T03:12:29,1633357791.956868,2021-10-04T17:29:51
315965558,414700,758573,4.073577880859375,30,13,0,1980-01-06T03:12:38,1633357799.968561,2021-10-04T17:29:59
315965567,414700,767573,4.298327445983887,136,13,0,1980-01-06T03:12:47,1633357810.096885,2021-10-04T17:30:10
315965577,414700,777573,4.607357978820801,0,13,0,1980-01-06T03:12:57,1633357818.758241,2021-10-04T17:30:18
315965587,414700,787573,5.084949970245361,118,13,0,1980-01-06T03:13:07,1633357829.567188,2021-10-04T17:30:29
315965595,414700,795573,5.408026218414307,214,13,0,1980-01-06T03:13:15,1633357837.057169,2021-10-04T17:30:37
315965605,541800,805573,5.913712024688721,76,13,0,1980-01-06T03:13:25,1633357847.7872288,2021-10-04T17:30:47
315965615,541800,815573,53.63076400756836,194,13,0,1980-01-06T03:13:35,1633357856.327329,2021-10-04T17:30:56
315965624,541800,824573,56.917724609375,45,13,0,1980-01-06T03:13:44,1633357866.467373,2021-10-04T17:31:06
315965633,541800,833573,56.98795700073242,152,13,0,1980-01-06T03:13:53,1633357874.4776008,2021-10-04T17:31:14
315965642,541800,842573,56.95986557006836,2,13,0,1980-01-06T03:14:02,1633357885.167033,2021-10-04T17:31:25
315965650,541800,850573,35.65083312988281,98,13,0,1980-01-06T03:14:10,1633357893.1670918,2021-10-04T17:31:33
315965670,541800,870573,8.301671028137207,80,13,0,1980-01-06T03:14:30,1633357911.877053,2021-10-04T17:31:51
315965679,541800,879573,53.89765167236328,187,13,0,1980-01-06T03:14:39,1633357921.957273,2021-10-04T17:32:01
315965688,541800,888573,52.04347610473633,38,13,0,1980-01-06T03:14:48,1633357930.556972,2021-10-04T17:32:10
315965706,541800,906573,9.411370277404785,251,13,0,1980-01-06T03:15:06,1633357948.0581448,2021-10-04T17:32:28
315965715,541800,915573,5.506353855133057,102,13,0,1980-01-06T03:15:15,1633357956.676957,2021-10-04T17:32:36
315965724,541800,924573,4.228093147277832,209,13,0,1980-01-06T03:15:24,1633357966.846873,2021-10-04T17:32:46
315965733,541800,933573,3.890969753265381,60,13,0,1980-01-06T03:15:33,1633357974.8695278,2021-10-04T17:32:54
315965743,541800,943573,3.975250482559204,178,13,0,1980-01-06T03:15:43,1633357985.618084,2021-10-04T17:33:05
315965753,541800,953573,4.284280300140381,40,13,0,1980-01-06T03:15:53,1633357996.937005,2021-10-04T17:33:16
315965762,541800,962573,19.79197120666504,146,13,0,1980-01-06T03:16:02,1633358004.3870718,2021-10-04T17:33:24
