time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965015,183200,215773,4058,3814,3509,3,0.06299538165330887,3751,152,57,1,0.16004911065101624,4048,3214,2697,3,0.004328875802457333,245,13,0,1980-01-06T03:03:35,1633357258.355156,2021-10-04T17:20:58
315965023,183200,223773,4057,3814,3506,3,0.06331522017717361,3757,154,57,1,0.16307222843170166,4046,3225,2712,3,0.004200359340757132,84,13,0,1980-01-06T03:03:43,1633357265.114928,2021-10-04T17:21:05
315965030,183200,230773,4055,3813,3507,3,0.06320858001708984,3759,156,57,1,0.16410361230373383,4049,3234,2723,3,0.00410812720656395,167,13,0,1980-01-06T03:03:50,1633357271.9153929,2021-10-04T17:21:11
315965037,183200,237773,4056,3813,3509,3,0.06299538165330887,3761,157,58,1,0.16514714062213898,4049,3241,2733,3,0.004025730304419994,250,13,0,1980-01-06T03:03:57,1633357280.765025,2021-10-04T17:21:20
315965051,183200,251773,4062,3809,3490,3,0.06502550095319748,3771,159,58,1,0.17055544257164001,4054,3234,2718,3,0.004149842541664839,160,13,0,1980-01-06T03:04:11,1633357293.8350399,2021-10-04T17:21:33
315965057,183200,257773,4062,3816,3506,3,0.06331522017717361,3770,158,59,1,0.1699998527765274,4058,3250,2743,3,0.0039446912705898285,231,13,0,1980-01-06T03:04:17,1633357300.618144,2021-10-04T17:21:40
315965064,183200,264773,4064,3813,3502,3,0.06374207884073257,3768,158,59,1,0.16889871656894684,4053,3252,2749,3,0.0038967092987149954,59,13,0,1980-01-06T03:04:24,1633357307.4351358,2021-10-04T17:21:47
315965070,183200,270773,4065,3816,3505,3,0.06342189013957977,3774,161,59,1,0.17224274575710297,4056,3268,2767,3,0.0037556057795882225,130,13,0,1980-01-06T03:04:30,1633357313.036629,2021-10-04T17:21:53
315965078,183200,278773,4064,3817,3506,3,0.06331522017717361,3779,162,59,1,0.1751251071691513,4058,3277,2778,3,0.0036714342422783375,225,13,0,1980-01-06T03:04:38,1633357320.435277,2021-10-04T17:22:00
315965085,183200,285773,4063,3812,3502,3,0.06374207884073257,3775,162,61,1,0.1728121042251587,4054,3279,2781,3,0.0036487444303929806,52,13,0,1980-01-06T03:04:45,1633357326.585772,2021-10-04T17:22:06
315965092,183200,292773,4060,3814,3503,3,0.06363532692193985,3778,164,60,1,0.1745414435863495,4052,3288,2795,3,0.003544346196576953,134,13,0,1980-01-06T03:04:52,1633357333.385716,2021-10-04T17:22:13
315965098,183200,298773,4035,3806,3514,3,0.06246288865804672,3773,171,63,1,0.1716768741607666,4030,3316,2845,3,0.003190802177414298,206,13,0,1980-01-06T03:04:58,1633357339.605645,2021-10-04T17:22:19
315965105,183200,305773,4061,3811,3500,3,0.06395568698644638,3786,168,62,1,0.17931495606899261,4053,3295,2803,3,0.003485775785520673,33,13,0,1980-01-06T03:05:05,1633357349.0060918,2021-10-04T17:22:29
315965111,183200,311773,4061,3812,3501,3,0.06384887546300888,3785,168,63,1,0.17870497703552246,4054,3296,2806,3,0.0034640126395970583,104,13,0,1980-01-06T03:05:11,1633357355.245705,2021-10-04T17:22:35
315965119,183200,319773,4065,3818,3508,3,0.06310196965932846,3791,170,62,1,0.18242418766021729,4059,3310,2824,3,0.0033356999047100544,199,13,0,1980-01-06T03:05:19,1633357361.9861288,2021-10-04T17:22:41
