time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965015,783200,216395,13.0,102472,-95.0438232421875,253,13,1,1980-01-06T03:03:35,1633357257.7550209,2021-10-04T17:20:57
315965022,783200,223395,12.960000038146973,101889,-46.843875885009766,80,13,1,1980-01-06T03:03:42,1633357265.114928,2021-10-04T17:21:05
315965029,783200,230395,12.789999961853027,101282,3.581234931945801,162,13,1,1980-01-06T03:03:49,1633357271.3249838,2021-10-04T17:21:11
315965036,783200,237395,12.649999618530273,100678,53.99908447265625,246,13,1,1980-01-06T03:03:56,1633357278.1152399,2021-10-04T17:21:18
315965050,783200,251395,12.4399995803833,99552,148.6493377685547,155,13,1,1980-01-06T03:04:10,1633357293.8350399,2021-10-04T17:21:33
315965056,783200,257395,12.300000190734863,99112,185.87222290039062,226,13,1,1980-01-06T03:04:16,1633357300.025292,2021-10-04T17:21:40
315965064,783200,265395,12.119999885559082,98528,235.4842987060547,66,13,1,1980-01-06T03:04:24,1633357306.8055959,2021-10-04T17:21:46
315965070,783200,271395,11.859999656677246,98087,273.10693359375,137,13,1,1980-01-06T03:04:30,1633357313.036629,2021-10-04T17:21:53
315965077,783200,278395,11.739999771118164,97553,318.8475341796875,220,13,1,1980-01-06T03:04:37,1633357320.435277,2021-10-04T17:22:00
315965083,783200,284395,11.59000015258789,97126,355.570068359375,35,13,1,1980-01-06T03:04:43,1633357326.585772,2021-10-04T17:22:06
315965091,783200,292395,11.40999984741211,96517,408.1719055175781,130,13,1,1980-01-06T03:04:51,1633357333.385716,2021-10-04T17:22:13
315965097,783200,298395,11.25,96063,447.5617980957031,202,13,1,1980-01-06T03:04:57,1633357339.605645,2021-10-04T17:22:19
315965104,783200,305395,11.109999656677246,95518,495.04742431640625,28,13,1,1980-01-06T03:05:04,1633357346.367241,2021-10-04T17:22:26
315965111,783200,312395,10.880000114440918,94980,542.1383666992188,112,13,1,1980-01-06T03:05:11,1633357352.6064079,2021-10-04T17:22:32
