time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965011,537870,211977,12.125,51,10,3,1980-01-06T03:03:31,1633357253.335481,2021-10-04T17:20:53
315965018,626801,219076,12.0625,113,10,3,1980-01-06T03:03:38,1633357262.194969,2021-10-04T17:21:02
315965025,629422,226162,11.8125,175,10,3,1980-01-06T03:03:45,1633357268.37514,2021-10-04T17:21:08
315965032,633188,233074,11.375,233,10,3,1980-01-06T03:03:52,1633357275.176781,2021-10-04T17:21:15
315965039,656839,240114,11.125,39,10,3,1980-01-06T03:03:59,1633357282.5850449,2021-10-04T17:21:22
315965045,678815,246116,11.0,91,10,3,1980-01-06T03:04:05,1633357288.205232,2021-10-04T17:21:28
315965053,676825,254134,10.6875,163,10,3,1980-01-06T03:04:13,1633357295.625553,2021-10-04T17:21:35
315965059,729526,260254,10.5625,215,10,3,1980-01-06T03:04:19,1633357301.8157399,2021-10-04T17:21:41
315965066,727558,267192,10.3125,21,10,3,1980-01-06T03:04:26,1633357308.616652,2021-10-04T17:21:48
315965072,748488,273251,10.0625,73,10,3,1980-01-06T03:04:32,1633357314.816664,2021-10-04T17:21:54
315965079,746828,280184,9.9375,131,10,3,1980-01-06T03:04:39,1633357324.246152,2021-10-04T17:22:04
315965086,746779,287184,9.75,193,10,3,1980-01-06T03:04:46,1633357330.415524,2021-10-04T17:22:10
315965093,759837,294209,9.4375,255,10,3,1980-01-06T03:04:53,1633357337.216116,2021-10-04T17:22:17
315965100,798794,301265,9.3125,61,10,3,1980-01-06T03:05:00,1633357343.3956568,2021-10-04T17:22:23
315965107,811977,308236,8.875,123,10,3,1980-01-06T03:05:07,1633357350.2056758,2021-10-04T17:22:30
315965113,900962,314300,8.6875,175,10,3,1980-01-06T03:05:13,1633357356.405601,2021-10-04T17:22:36
315965121,898800,322301,8.375,243,10,3,1980-01-06T03:05:21,1633357363.746093,2021-10-04T17:22:43
315965127,908803,328374,8.125,39,10,3,1980-01-06T03:05:27,1633357370.5473728,2021-10-04T17:22:50
315965134,901704,335303,7.875,101,10,3,1980-01-06T03:05:34,1633357377.3656929,2021-10-04T17:22:57
315965141,919075,342326,7.4375,163,10,3,1980-01-06T03:05:41,1633357383.5461118,2021-10-04T17:23:03
315965148,968704,349368,7.3125,225,10,3,1980-01-06T03:05:48,1633357392.386473,2021-10-04T17:23:12
315965163,48702,363449,6.5625,89,10,3,1980-01-06T03:06:03,1633357405.445992,2021-10-04T17:23:25
315965170,128784,370600,6.125,151,10,3,1980-01-06T03:06:10,1633357412.225973,2021-10-04T17:23:32
315965176,131848,376544,5.5625,203,10,3,1980-01-06T03:06:16,1633357419.136065,2021-10-04T17:23:39
315965183,129019,383533,5.25,9,10,3,1980-01-06T03:06:23,1633357425.3259199,2021-10-04T17:23:45
315965190,224857,390624,5.0,71,10,3,1980-01-06T03:06:30,1633357432.086632,2021-10-04T17:23:52
315965196,218793,396691,4.875,123,10,3,1980-01-06T03:06:36,1633357438.276541,2021-10-04T17:23:58
315965203,339732,403626,4.5,185,10,3,1980-01-06T03:06:43,1633357445.09658,2021-10-04T17:24:05
315965210,359891,410635,4.25,243,10,3,1980-01-06T03:06:50,1633357451.9262118,2021-10-04T17:24:11
315965225,389666,425664,3.5,121,10,3,1980-01-06T03:07:05,1633357467.5466769,2021-10-04T17:24:27
315965231,399761,431681,3.375,173,10,3,1980-01-06T03:07:11,1633357473.778805,2021-10-04T17:24:33
315965238,419774,438692,2.75,235,10,3,1980-01-06T03:07:18,1633357480.586205,2021-10-04T17:24:40
315965245,432363,445811,2.375,41,10,3,1980-01-06T03:07:25,1633357487.4366999,2021-10-04T17:24:47
315965251,433393,451746,2.125,93,10,3,1980-01-06T03:07:31,1633357493.6366649,2021-10-04T17:24:53
315965258,489631,458846,1.5,151,10,3,1980-01-06T03:07:38,1633357500.498836,2021-10-04T17:25:00
315965264,532472,464817,1.5625,203,10,3,1980-01-06T03:07:44,1633357506.71748,2021-10-04T17:25:06
315965271,569734,471920,1.6875,9,10,3,1980-01-06T03:07:51,1633357513.538404,2021-10-04T17:25:13
315965278,622386,478914,1.8125,71,10,3,1980-01-06T03:07:58,1633357520.2869,2021-10-04T17:25:20
315965285,622948,485914,1.875,133,10,3,1980-01-06T03:08:05,1633357529.1068928,2021-10-04T17:25:29
315965299,675881,499988,1.875,253,10,3,1980-01-06T03:08:19,1633357542.8166249,2021-10-04T17:25:42
315965306,698928,506939,1.875,59,10,3,1980-01-06T03:08:26,1633357548.996981,2021-10-04T17:25:48
315965314,715863,514975,1.875,127,10,3,1980-01-06T03:08:34,1633357556.4265559,2021-10-04T17:25:56
315965320,735494,521071,1.9375,183,10,3,1980-01-06T03:08:40,1633357562.6465929,2021-10-04T17:26:02
315965327,758506,528010,2.125,241,10,3,1980-01-06T03:08:47,1633357569.467016,2021-10-04T17:26:09
315965333,775923,534080,2.125,37,10,3,1980-01-06T03:08:53,1633357575.6469438,2021-10-04T17:26:15
315965340,776335,541017,2.0625,99,10,3,1980-01-06T03:09:00,1633357582.486552,2021-10-04T17:26:22
315965355,768225,556086,2.0,229,10,3,1980-01-06T03:09:15,1633357598.2772238,2021-10-04T17:26:38
315965361,855890,562120,1.9375,29,10,3,1980-01-06T03:09:21,1633357604.49664,2021-10-04T17:26:44
315965368,858427,569185,1.6875,87,10,3,1980-01-06T03:09:28,1633357611.316936,2021-10-04T17:26:51
315965374,945514,575289,1.6875,143,10,3,1980-01-06T03:09:34,1633357617.57828,2021-10-04T17:26:57
315965382,7818,582263,1.5625,201,10,3,1980-01-06T03:09:42,1633357624.4073758,2021-10-04T17:27:04
315965388,935593,589175,1.4375,7,10,3,1980-01-06T03:09:48,1633357631.216616,2021-10-04T17:27:11
315965396,935593,597175,1.4375,75,10,3,1980-01-06T03:09:56,1633357638.027021,2021-10-04T17:27:18
315965404,167527,604175,1.375,137,10,3,1980-01-06T03:10:04,1633357644.907044,2021-10-04T17:27:24
315965411,230213,611247,1.125,199,10,3,1980-01-06T03:10:11,1633357653.816648,2021-10-04T17:27:33
315965424,280147,624304,1.0625,57,10,3,1980-01-06T03:10:24,1633357666.8267329,2021-10-04T17:27:46
315965430,309824,630310,0.9375,109,10,3,1980-01-06T03:10:30,1633357673.6771078,2021-10-04T17:27:53
315965437,327403,637335,0.75,171,10,3,1980-01-06T03:10:37,1633357680.426725,2021-10-04T17:28:00
315965444,397425,644476,0.6875,233,10,3,1980-01-06T03:10:44,1633357686.61686,2021-10-04T17:28:06
315965451,407427,651449,0.5625,39,10,3,1980-01-06T03:10:51,1633357693.43712,2021-10-04T17:28:13
315965458,417436,658444,0.375,97,10,3,1980-01-06T03:10:58,1633357699.6666288,2021-10-04T17:28:19
315965465,400154,665399,0.25,159,10,3,1980-01-06T03:11:05,1633357706.4767199,2021-10-04T17:28:26
315965471,397418,671423,0.125,211,10,3,1980-01-06T03:11:11,1633357713.2667398,2021-10-04T17:28:33
315965478,460356,678484,-0.0625,17,10,3,1980-01-06T03:11:18,1633357722.1669478,2021-10-04T17:28:42
315965492,478462,692497,-0.375,141,10,3,1980-01-06T03:11:32,1633357735.2071118,2021-10-04T17:28:55
315965499,487710,699507,-0.4375,199,10,3,1980-01-06T03:11:39,1633357741.9769008,2021-10-04T17:29:01
315965506,587743,706587,-0.6875,5,10,3,1980-01-06T03:11:46,1633357748.887981,2021-10-04T17:29:08
315965513,637743,713554,-0.75,67,10,3,1980-01-06T03:11:53,1633357755.056813,2021-10-04T17:29:15
315965520,597912,720526,-0.875,129,10,3,1980-01-06T03:12:00,1633357761.907189,2021-10-04T17:29:21
315965526,597930,726592,-1.0,181,10,3,1980-01-06T03:12:06,1633357768.129024,2021-10-04T17:29:28
315965533,605015,733532,-1.0625,243,10,3,1980-01-06T03:12:13,1633357774.9479718,2021-10-04T17:29:34
315965540,606076,740555,-1.25,49,10,3,1980-01-06T03:12:20,1633357781.866808,2021-10-04T17:29:41
315965547,677741,747605,-1.4375,107,10,3,1980-01-06T03:12:27,1633357790.7674599,2021-10-04T17:29:50
315965554,685008,754610,-1.625,169,10,3,1980-01-06T03:12:34,1633357797.0469449,2021-10-04T17:29:57
315965561,821228,761751,-2.0,231,10,3,1980-01-06T03:12:41,1633357803.8788998,2021-10-04T17:30:03
315965567,825361,767836,-2.125,27,10,3,1980-01-06T03:12:47,1633357810.687192,2021-10-04T17:30:10
315965575,885149,775880,-2.25,99,10,3,1980-01-06T03:12:55,1633357817.5676289,2021-10-04T17:30:17
315965581,895565,781814,-2.6875,151,10,3,1980-01-06T03:13:01,1633357824.417104,2021-10-04T17:30:24
315965590,5164,789951,-2.6875,223,10,3,1980-01-06T03:13:10,1633357831.3697639,2021-10-04T17:30:31
315965596,7807,796014,-2.75,19,10,3,1980-01-06T03:13:16,1633357837.657469,2021-10-04T17:30:37
315965604,104226,803985,-3.0,87,10,3,1980-01-06T03:13:24,1633357844.499413,2021-10-04T17:30:44
315965610,154711,810039,-3.125,139,10,3,1980-01-06T03:13:30,1633357850.707545,2021-10-04T17:30:50
315965617,194503,817076,-3.4375,201,10,3,1980-01-06T03:13:37,1633357859.6174169,2021-10-04T17:30:59
315965624,206947,824093,-3.6875,7,10,3,1980-01-06T03:13:44,1633357866.467373,2021-10-04T17:31:06
315965631,300294,831184,-4.0,69,10,3,1980-01-06T03:13:51,1633357873.277413,2021-10-04T17:31:13
315965637,295157,837249,-4.125,121,10,3,1980-01-06T03:13:57,1633357879.5470169,2021-10-04T17:31:19
315965644,376428,844255,-4.4375,183,10,3,1980-01-06T03:14:04,1633357886.327164,2021-10-04T17:31:26
315965650,415312,850373,-4.625,235,10,3,1980-01-06T03:14:10,1633357892.57726,2021-10-04T17:31:32
315965658,416985,858373,-4.8125,47,10,3,1980-01-06T03:14:18,1633357899.948197,2021-10-04T17:31:39
315965665,454444,865335,-5.125,109,10,3,1980-01-06T03:14:25,1633357906.8269958,2021-10-04T17:31:46
315965672,484617,872365,-5.625,171,10,3,1980-01-06T03:14:32,1633357915.747068,2021-10-04T17:31:55
315965679,556890,879443,-5.8125,233,10,3,1980-01-06T03:14:39,1633357921.957273,2021-10-04T17:32:01
315965686,580907,886552,-6.1875,39,10,3,1980-01-06T03:14:46,1633357928.7969398,2021-10-04T17:32:08
315965692,588322,892476,-6.3125,91,10,3,1980-01-06T03:14:52,1633357934.997052,2021-10-04T17:32:14
315965699,646836,899624,-6.5,153,10,3,1980-01-06T03:14:59,1633357941.8068879,2021-10-04T17:32:21
315965705,647031,905536,-6.875,205,10,3,1980-01-06T03:15:05,1633357948.0581448,2021-10-04T17:32:28
315965712,684590,912647,-7.125,7,10,3,1980-01-06T03:15:12,1633357954.906937,2021-10-04T17:32:34
315965719,740201,919632,-7.3125,69,10,3,1980-01-06T03:15:19,1633357961.777173,2021-10-04T17:32:41
315965727,804115,927684,-7.75,141,10,3,1980-01-06T03:15:27,1633357968.6171598,2021-10-04T17:32:48
315965733,855841,933731,-8.25,193,10,3,1980-01-06T03:15:33,1633357974.8695278,2021-10-04T17:32:54
315965740,924123,940804,-8.5,255,10,3,1980-01-06T03:15:40,1633357981.75688,2021-10-04T17:33:01
315965746,986848,946877,-8.625,51,10,3,1980-01-06T03:15:46,1633357987.9771369,2021-10-04T17:33:07
315965755,55426,954961,-8.875,123,10,3,1980-01-06T03:15:55,1633357997.516885,2021-10-04T17:33:17
315965761,128200,961006,-9.125,175,10,3,1980-01-06T03:16:01,1633358003.806865,2021-10-04T17:33:23
315965769,214209,969108,-9.5,243,10,3,1980-01-06T03:16:09,1633358011.216908,2021-10-04T17:33:31
315965775,244418,975207,-9.9375,39,10,3,1980-01-06T03:16:15,1633358017.407009,2021-10-04T17:33:37
315965782,254941,982136,-10.1875,101,10,3,1980-01-06T03:16:22,1633358024.1972408,2021-10-04T17:33:44
315965789,254411,989132,-10.1875,163,10,3,1980-01-06T03:16:29,1633358030.407176,2021-10-04T17:33:50
315965796,264803,996144,-10.5625,225,10,3,1980-01-06T03:16:36,1633358037.2176719,2021-10-04T17:33:57
315965802,309728,1002164,-10.75,21,10,3,1980-01-06T03:16:42,1633358044.0181448,2021-10-04T17:34:04
315965810,330222,1010188,-11.0,89,10,3,1980-01-06T03:16:50,1633358053.0376048,2021-10-04T17:34:13
315965816,399503,1016266,-11.125,141,10,3,1980-01-06T03:16:56,1633358059.287257,2021-10-04T17:34:19
315965823,512347,1023365,-11.4375,203,10,3,1980-01-06T03:17:03,1633358066.157289,2021-10-04T17:34:26
315965830,512148,1030378,-11.75,9,10,3,1980-01-06T03:17:10,1633358072.446969,2021-10-04T17:34:32
315965837,502187,1037369,-12.0,71,10,3,1980-01-06T03:17:17,1633358079.287004,2021-10-04T17:34:39
315965844,579365,1044504,-12.375,133,10,3,1980-01-06T03:17:24,1633358086.086936,2021-10-04T17:34:46
315965851,569481,1051454,-12.625,195,10,3,1980-01-06T03:17:31,1633358093.5167959,2021-10-04T17:34:53
315965858,632112,1058505,-12.9375,253,10,3,1980-01-06T03:17:38,1633358099.7168489,2021-10-04T17:34:59
315965865,639498,1065506,-13.25,59,10,3,1980-01-06T03:17:45,1633358106.576881,2021-10-04T17:35:06
315965871,669481,1071536,-13.5,111,10,3,1980-01-06T03:17:51,1633358112.836652,2021-10-04T17:35:12
315965878,732216,1078604,-13.75,173,10,3,1980-01-06T03:17:58,1633358123.667568,2021-10-04T17:35:23
315965886,759592,1086616,-14.0,245,10,3,1980-01-06T03:18:06,1633358129.94736,2021-10-04T17:35:29
315965895,792248,1095729,-14.3125,67,10,3,1980-01-06T03:18:15,1633358137.4667199,2021-10-04T17:35:37
315965902,54800,1101676,-14.625,119,10,3,1980-01-06T03:18:22,1633358143.697712,2021-10-04T17:35:43
315965909,57423,1108684,-14.8125,181,10,3,1980-01-06T03:18:29,1633358150.596837,2021-10-04T17:35:50
