time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965238,999000,439876,1.563995361328125,7.892000198364258,146,12,1,1980-01-06T03:07:18,1633357481.5563328,2021-10-04T17:24:41
315965286,963000,487949,1.52691650390625,7.920000076293945,66,12,1,1980-01-06T03:08:06,1633357530.057724,2021-10-04T17:25:30
315965555,470000,756415,1.51995849609375,7.8480000495910645,209,12,1,1980-01-06T03:12:35,1633357798.622956,2021-10-04T17:29:58
315965583,567000,784440,1.52398681640625,7.831999778747559,63,12,1,1980-01-06T03:13:03,1633357825.4278078,2021-10-04T17:30:25
315965604,973000,805793,1.590911865234375,7.828000068664551,62,12,1,1980-01-06T03:13:24,1633357847.6114209,2021-10-04T17:30:47
315965666,826000,867867,1.29693603515625,7.8520002365112305,168,12,1,1980-01-06T03:14:26,1633357909.889329,2021-10-04T17:31:49
315965742,926000,943958,1.346923828125,7.820000171661377,82,12,1,1980-01-06T03:15:42,1633357985.411521,2021-10-04T17:33:05
315965776,979000,978075,1.80194091796875,7.723999977111816,30,12,1,1980-01-06T03:16:16,1633358018.941596,2021-10-04T17:33:38
315965804,349000,1005420,1.312957763671875,7.803999900817871,167,12,1,1980-01-06T03:16:44,1633358047.676776,2021-10-04T17:34:07
315965846,69000,1047421,1.721923828125,7.703999996185303,68,12,1,1980-01-06T03:17:26,1633358087.619372,2021-10-04T17:34:47
315965917,7000,1118187,1.553924560546875,7.703999996185303,246,12,1,1980-01-06T03:18:37,1633358158.420825,2021-10-04T17:35:58
315966104,319000,1305606,1.256927490234375,7.604000091552734,133,12,1,1980-01-06T03:21:44,1633358345.971452,2021-10-04T17:39:05
315966104,319000,1305606,1.256927490234375,7.604000091552734,133,12,1,1980-01-06T03:21:44,1633358351.922812,2021-10-04T17:39:11
315966271,688000,1473192,1.532958984375,7.455999851226807,106,12,1,1980-01-06T03:24:31,1633358514.121644,2021-10-04T17:41:54
