time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965233,882000,434855,10.317978858947754,3.286187171936035,0.0,177,12,0,1980-01-06T03:07:13,1633357475.95154,2021-10-04T17:24:35
315965270,996000,471943,8.81140422821045,3.283837080001831,0.0,214,12,0,1980-01-06T03:07:50,1633357513.286885,2021-10-04T17:25:13
315965279,959000,480963,8.708353996276855,3.2782511711120605,0.0,223,12,0,1980-01-06T03:07:59,1633357523.266276,2021-10-04T17:25:23
315965353,353000,554194,9.05724811553955,3.2763712406158447,0.0,40,12,0,1980-01-06T03:09:13,1633357595.332844,2021-10-04T17:26:35
315965389,198000,590270,8.520081520080566,3.2898170948028564,0.0,76,12,0,1980-01-06T03:09:49,1633357631.527945,2021-10-04T17:27:11
315965500,625000,701520,6.904722690582275,3.2893548011779785,0.0,187,12,0,1980-01-06T03:11:40,1633357742.9247038,2021-10-04T17:29:02
315965554,723000,755633,5.59635591506958,3.283245086669922,0.0,241,12,0,1980-01-06T03:12:34,1633357798.0219169,2021-10-04T17:29:58
315965564,933000,765653,5.672664165496826,3.2839250564575195,0.0,251,12,0,1980-01-06T03:12:44,1633357806.6072009,2021-10-04T17:30:06
315965574,855000,775674,5.443171977996826,3.288210153579712,0.0,5,12,0,1980-01-06T03:12:54,1633357817.469241,2021-10-04T17:30:17
315965703,803000,904956,1.5867153406143188,3.276764392852783,0.0,134,12,0,1980-01-06T03:15:03,1633357947.244197,2021-10-04T17:32:27
315965703,803000,904956,1.5867153406143188,3.276764392852783,0.0,134,12,0,1980-01-06T03:15:03,1633357947.632545,2021-10-04T17:32:27
315965862,55000,1063248,-3.0272018909454346,3.2830913066864014,0.0,36,12,0,1980-01-06T03:17:42,1633358104.584949,2021-10-04T17:35:04
315965910,159000,1111309,-4.750465393066406,3.302863121032715,0.0,84,12,0,1980-01-06T03:18:30,1633358151.5836918,2021-10-04T17:35:51
