time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965235,346500,435773,4037,3826,3555,3,0.05812244117259979,3850,243,90,1,0.22854816913604736,4030,3514,3130,3,0.001659744419157505,40,13,0,1980-01-06T03:07:15,1633357477.115537,2021-10-04T17:24:37
315965373,346500,573773,4059,3856,3589,3,0.05455567687749863,3917,317,117,2,0.3394423723220825,4057,3648,3323,3,0.000984659418463707,142,13,0,1980-01-06T03:09:33,1633357616.7808359,2021-10-04T17:26:56
315965551,614700,751773,4058,3866,3613,3,0.052053991705179214,3936,364,134,2,0.3931897282600403,4055,3738,3473,3,0.0006092386902309954,205,13,0,1980-01-06T03:12:31,1633357794.1643958,2021-10-04T17:29:54
315965593,614700,793773,4054,3859,3602,3,0.05319904163479805,3923,342,127,2,0.36788904666900635,4052,3721,3446,3,0.0006684846593998373,192,13,0,1980-01-06T03:13:13,1633357836.8750598,2021-10-04T17:30:36
315965648,741800,848773,4057,3884,3654,3,0.047807250171899796,3956,428,158,2,0.46828004717826843,4056,3779,3544,3,0.00046929644304327667,77,13,0,1980-01-06T03:14:08,1633357891.696384,2021-10-04T17:31:31
315965718,741800,918773,4059,3881,3648,3,0.0484267883002758,3964,453,167,2,0.49823933839797974,4059,3815,3600,3,0.0003741120744962245,140,13,0,1980-01-06T03:15:18,1633357961.0467088,2021-10-04T17:32:41
315965753,741800,953773,4056,3880,3642,3,0.04904694855213165,3956,433,160,2,0.4742429852485657,4055,3812,3599,3,0.00037570029962807894,43,13,0,1980-01-06T03:15:53,1633357994.5643768,2021-10-04T17:33:14
315965766,741800,966773,4020,3869,3662,3,0.04698215797543526,3934,484,182,2,0.5358993411064148,4021,3810,3621,3,0.0003416674444451928,197,13,0,1980-01-06T03:16:06,1633358010.419541,2021-10-04T17:33:30
315966212,263200,1411773,4045,3915,3734,3,0.03959650173783302,4009,959,381,2,1.1976251602172852,4047,3973,3897,3,5.959920599707402e-05,101,13,0,1980-01-06T03:23:32,1633358453.350905,2021-10-04T17:40:53
315966227,263200,1426773,4042,3907,3723,3,0.040721043944358826,4004,981,392,2,1.2328349351882935,4042,3968,3896,3,6.0184276662766933e-05,23,13,0,1980-01-06T03:23:47,1633358469.313505,2021-10-04T17:41:09
315966262,263200,1461773,4044,3920,3752,3,0.037758346647024155,4010,1013,406,2,1.284899353981018,4045,3978,3912,3,5.117216642247513e-05,183,13,0,1980-01-06T03:24:22,1633358503.273953,2021-10-04T17:41:43
