time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965235,924900,436373,11.630000114440918,111539,-817.4027099609375,46,13,2,1980-01-06T03:07:15,1633357477.115537,2021-10-04T17:24:37
315965248,924900,449373,11.399999618530273,104162,-233.51792907714844,200,13,2,1980-01-06T03:07:28,1633357492.1996639,2021-10-04T17:24:52
315965255,924900,456373,11.270000457763672,100521,67.1441650390625,28,13,2,1980-01-06T03:07:35,1633357499.1164849,2021-10-04T17:24:59
315965275,924900,476373,10.850000381469727,91063,891.6886596679688,8,13,2,1980-01-06T03:07:55,1633357518.9054408,2021-10-04T17:25:18
315965331,925000,532373,9.739999771118164,136900,-1000.0,161,13,2,1980-01-06T03:08:51,1633357574.246672,2021-10-04T17:26:14
315965455,193100,655373,8.109999656677246,72029,2788.16357421875,85,13,2,1980-01-06T03:10:55,1633357698.2443209,2021-10-04T17:28:18
315965545,193100,745373,6.869999885559082,83730,1580.3153076171875,129,13,2,1980-01-06T03:12:25,1633357787.242189,2021-10-04T17:29:47
315965580,193100,780373,6.369999885559082,69942,3020.131103515625,33,13,2,1980-01-06T03:13:00,1633357823.089536,2021-10-04T17:30:23
315965594,193100,794373,6.170000076293945,65801,3497.561767578125,198,13,2,1980-01-06T03:13:14,1633357836.266912,2021-10-04T17:30:36
315965628,320200,828373,5.570000171661377,117803,-1000.0,91,13,2,1980-01-06T03:13:48,1633357869.8150039,2021-10-04T17:31:09
315965752,320200,952373,3.0799999237060547,68913,3136.579833984375,25,13,2,1980-01-06T03:15:52,1633357993.9364479,2021-10-04T17:33:13
315965767,320200,967373,2.630000114440918,113744,-985.8270874023438,203,13,2,1980-01-06T03:16:07,1633358009.7926478,2021-10-04T17:33:29
315965935,591600,1135373,-1.1299999952316284,100532,66.22276306152344,149,13,2,1980-01-06T03:18:55,1633358176.742836,2021-10-04T17:36:16
315966051,591500,1251373,-4.21999979019165,93274,692.91357421875,246,13,2,1980-01-06T03:20:51,1633358294.317777,2021-10-04T17:38:14
315966260,841600,1460373,-10.069999694824219,62082,3947.61279296875,165,13,2,1980-01-06T03:24:20,1633358503.273953,2021-10-04T17:41:43
