time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965233,122000,434073,7.9375,95,12,2,1980-01-06T03:07:13,1633357475.95154,2021-10-04T17:24:35
315965351,12000,552075,6.25,70,12,2,1980-01-06T03:09:11,1633357593.547941,2021-10-04T17:26:33
315965502,108000,703073,4.5,164,12,2,1980-01-06T03:11:42,1633357744.530284,2021-10-04T17:29:04
315965530,236000,731074,3.8125,161,12,2,1980-01-06T03:12:10,1633357773.3872528,2021-10-04T17:29:33
315965550,329000,751074,3.3125,123,12,2,1980-01-06T03:12:30,1633357793.0266159,2021-10-04T17:29:53
315965661,245000,862075,1.0625,117,12,2,1980-01-06T03:14:21,1633357904.149072,2021-10-04T17:31:44
315965702,945000,904074,0.0625,239,12,2,1980-01-06T03:15:02,1633357944.540108,2021-10-04T17:32:24
315965812,991000,1014074,-2.75,22,12,2,1980-01-06T03:16:52,1633358055.1639879,2021-10-04T17:34:15
315965854,715000,1056076,-4.0625,199,12,2,1980-01-06T03:17:34,1633358097.7336838,2021-10-04T17:34:57
315965897,795000,1099075,-5.0,247,12,2,1980-01-06T03:18:17,1633358139.552109,2021-10-04T17:35:39
315965925,955000,1127075,-5.3125,93,12,2,1980-01-06T03:18:45,1633358168.619225,2021-10-04T17:36:08
315966260,776000,1462076,-17.8125,5,12,2,1980-01-06T03:24:20,1633358502.7102878,2021-10-04T17:41:42
