time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357252,153409,True,647,235,-85,-8,-92,2021-10-04T17:20:52,1633357252.154973,2021-10-04T17:20:52
1633357252,743141,True,648,236,-82,-3,-87,2021-10-04T17:20:52,1633357252.744738,2021-10-04T17:20:52
1633357253,333302,True,649,237,-82,-1,-85,2021-10-04T17:20:53,1633357253.335483,2021-10-04T17:20:53
1633357256,573290,True,650,239,-78,4,-79,2021-10-04T17:20:56,1633357256.574842,2021-10-04T17:20:56
1633357257,153613,True,651,240,-77,5,-78,2021-10-04T17:20:57,1633357257.155241,2021-10-04T17:20:57
1633357257,753157,True,652,241,-76,6,-77,2021-10-04T17:20:57,1633357257.755021,2021-10-04T17:20:57
1633357258,353498,True,653,242,-76,6,-77,2021-10-04T17:20:58,1633357258.355158,2021-10-04T17:20:58
1633357258,943234,True,654,243,-76,6,-77,2021-10-04T17:20:58,1633357258.944802,2021-10-04T17:20:58
1633357259,543170,True,655,244,-76,6,-76,2021-10-04T17:20:59,1633357259.54582,2021-10-04T17:20:59
1633357262,193413,True,656,245,-75,6,-76,2021-10-04T17:21:02,1633357262.194969,2021-10-04T17:21:02
1633357262,773447,True,657,246,-75,6,-76,2021-10-04T17:21:02,1633357262.775223,2021-10-04T17:21:02
1633357263,353250,True,658,247,-73,8,-73,2021-10-04T17:21:03,1633357263.356009,2021-10-04T17:21:03
1633357263,943270,True,659,248,-70,9,-71,2021-10-04T17:21:03,1633357263.944871,2021-10-04T17:21:03
1633357264,533285,True,660,249,-71,8,-72,2021-10-04T17:21:04,1633357264.534904,2021-10-04T17:21:04
1633357265,113228,True,661,250,-73,8,-74,2021-10-04T17:21:05,1633357265.114928,2021-10-04T17:21:05
1633357265,723453,True,662,251,-71,8,-72,2021-10-04T17:21:05,1633357265.725462,2021-10-04T17:21:05
1633357268,373523,True,663,252,-67,11,-67,2021-10-04T17:21:08,1633357268.37514,2021-10-04T17:21:08
1633357268,954574,True,664,253,-67,11,-68,2021-10-04T17:21:08,1633357268.95661,2021-10-04T17:21:08
1633357269,543527,True,665,254,-69,10,-69,2021-10-04T17:21:09,1633357269.545068,2021-10-04T17:21:09
1633357270,153300,True,666,255,-69,10,-70,2021-10-04T17:21:10,1633357270.154902,2021-10-04T17:21:10
1633357270,743841,True,667,256,-67,11,-68,2021-10-04T17:21:10,1633357270.745544,2021-10-04T17:21:10
1633357271,323354,True,668,257,-65,11,-66,2021-10-04T17:21:11,1633357271.324986,2021-10-04T17:21:11
1633357271,913398,True,669,258,-66,11,-67,2021-10-04T17:21:11,1633357271.915395,2021-10-04T17:21:11
1633357274,593450,True,670,259,-67,11,-67,2021-10-04T17:21:14,1633357274.595033,2021-10-04T17:21:14
1633357275,173334,True,671,260,-65,11,-66,2021-10-04T17:21:15,1633357275.176781,2021-10-04T17:21:15
1633357275,753500,True,672,261,-64,12,-65,2021-10-04T17:21:15,1633357275.756834,2021-10-04T17:21:15
1633357276,353505,True,673,262,-66,11,-66,2021-10-04T17:21:16,1633357276.355055,2021-10-04T17:21:16
1633357276,933408,True,674,263,-67,11,-68,2021-10-04T17:21:16,1633357276.935525,2021-10-04T17:21:16
1633357277,523482,True,675,264,-66,11,-67,2021-10-04T17:21:17,1633357277.525836,2021-10-04T17:21:17
1633357278,113617,True,676,265,-63,12,-64,2021-10-04T17:21:18,1633357278.115242,2021-10-04T17:21:18
1633357280,763475,True,677,266,-64,11,-65,2021-10-04T17:21:20,1633357280.765027,2021-10-04T17:21:20
1633357281,373540,True,678,267,-65,11,-66,2021-10-04T17:21:21,1633357281.375525,2021-10-04T17:21:21
1633357281,963393,True,679,268,-65,11,-66,2021-10-04T17:21:21,1633357281.966209,2021-10-04T17:21:21
1633357282,583447,True,680,269,-67,12,-67,2021-10-04T17:21:22,1633357282.585045,2021-10-04T17:21:22
1633357283,183387,True,681,270,-65,11,-66,2021-10-04T17:21:23,1633357283.18526,2021-10-04T17:21:23
1633357283,784127,True,682,271,-64,13,-64,2021-10-04T17:21:23,1633357283.786087,2021-10-04T17:21:23
1633357284,363438,True,683,272,-63,11,-63,2021-10-04T17:21:24,1633357284.365436,2021-10-04T17:21:24
