time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357252,153716,647,-85,-8,-92,2021-10-04T17:20:52,1633357252.156738,2021-10-04T17:20:52
1633357252,743223,648,-82,-3,-87,2021-10-04T17:20:52,1633357252.746717,2021-10-04T17:20:52
1633357253,333654,649,-82,-1,-85,2021-10-04T17:20:53,1633357253.33708,2021-10-04T17:20:53
1633357256,573603,650,-78,4,-79,2021-10-04T17:20:56,1633357256.576749,2021-10-04T17:20:56
1633357257,153695,651,-77,5,-78,2021-10-04T17:20:57,1633357257.157632,2021-10-04T17:20:57
1633357257,753239,652,-76,6,-77,2021-10-04T17:20:57,1633357257.756606,2021-10-04T17:20:57
1633357258,353575,653,-76,6,-77,2021-10-04T17:20:58,1633357258.356669,2021-10-04T17:20:58
1633357258,943533,654,-76,6,-77,2021-10-04T17:20:58,1633357258.946491,2021-10-04T17:20:58
1633357259,543482,655,-76,6,-76,2021-10-04T17:20:59,1633357259.547775,2021-10-04T17:20:59
1633357262,193871,656,-75,6,-76,2021-10-04T17:21:02,1633357262.196639,2021-10-04T17:21:02
1633357262,773774,657,-75,6,-76,2021-10-04T17:21:02,1633357262.776808,2021-10-04T17:21:02
1633357263,353331,658,-73,8,-73,2021-10-04T17:21:03,1633357263.35884,2021-10-04T17:21:03
1633357263,943558,659,-70,9,-71,2021-10-04T17:21:03,1633357263.946419,2021-10-04T17:21:03
1633357264,533612,660,-71,8,-72,2021-10-04T17:21:04,1633357264.537,2021-10-04T17:21:04
1633357265,113311,661,-73,8,-74,2021-10-04T17:21:05,1633357265.116954,2021-10-04T17:21:05
1633357265,723808,662,-71,8,-72,2021-10-04T17:21:05,1633357265.726918,2021-10-04T17:21:05
1633357268,373863,663,-67,11,-67,2021-10-04T17:21:08,1633357268.376646,2021-10-04T17:21:08
1633357268,954659,664,-67,11,-68,2021-10-04T17:21:08,1633357268.958548,2021-10-04T17:21:08
1633357269,543802,665,-69,10,-69,2021-10-04T17:21:09,1633357269.550909,2021-10-04T17:21:09
