error_adc_calib,error_rc13m_calib,time_s,hdr_errors,crc_errors,srv_rx_frames,requested_pa_power,pkt_received,error_img_calib,error_pll_lock,srv_rx_done,error_rc64k_calib,time_us,error_pll_calib,error_xosc_start,srv_tx_frames,current_pa_power,log_timestamp,log_timestamp_gregorian,error_pa_ramp,time_gregorian
False,False,1633356833,0,2,647,-1,645,False,False,32497,False,330148,False,False,2,22,1633356833.332632,2021-10-04T17:13:53,False,1633356833.330148
False,False,1633356835,0,2,647,-1,645,False,False,32506,False,337895,False,False,2,22,1633356835.339577,2021-10-04T17:13:55,False,1633356835.337895
False,False,1633356837,0,2,647,-1,645,False,False,32515,False,344820,False,False,2,22,1633356837.346632,2021-10-04T17:13:57,False,1633356837.34482
False,False,1633356839,0,2,647,-1,645,False,False,32524,False,350083,False,False,2,22,1633356839.351701,2021-10-04T17:13:59,False,1633356839.350083
False,False,1633356841,0,2,647,-1,645,False,False,32533,False,353803,False,False,2,22,1633356841.355581,2021-10-04T17:14:01,False,1633356841.353803
False,False,1633356843,0,2,647,-1,645,False,False,32542,False,360377,False,False,2,22,1633356843.362083,2021-10-04T17:14:03,False,1633356843.360377
False,False,1633356845,0,2,647,-1,645,False,False,32551,False,364340,False,False,2,22,1633356845.366128,2021-10-04T17:14:05,False,1633356845.36434
False,False,1633356847,0,2,647,-1,645,False,False,32560,False,371163,False,False,2,22,1633356847.372646,2021-10-04T17:14:07,False,1633356847.371163
False,False,1633356849,0,2,647,-1,645,False,False,32569,False,375456,False,False,2,22,1633356849.377371,2021-10-04T17:14:09,False,1633356849.375456
False,False,1633356851,0,2,647,-1,645,False,False,32578,False,383536,False,False,2,22,1633356851.385487,2021-10-04T17:14:11,False,1633356851.383536
False,False,1633356853,0,2,647,-1,645,False,False,32587,False,388280,False,False,2,22,1633356853.38975,2021-10-04T17:14:13,False,1633356853.38828
False,False,1633356855,0,2,647,-1,645,False,False,32596,False,393644,False,False,2,22,1633356855.395642,2021-10-04T17:14:15,False,1633356855.393644
False,False,1633356857,0,2,647,-1,645,False,False,32605,False,400573,False,False,2,22,1633356857.402226,2021-10-04T17:14:17,False,1633356857.400573
False,False,1633356859,0,2,647,-1,645,False,False,32614,False,407452,False,False,2,22,1633356859.409194,2021-10-04T17:14:19,False,1633356859.407452
False,False,1633356861,0,2,647,-1,645,False,False,32623,False,416128,False,False,2,22,1633356861.418359,2021-10-04T17:14:21,False,1633356861.416128
False,False,1633356863,0,2,647,-1,645,False,False,32632,False,420780,False,False,2,22,1633356863.424052,2021-10-04T17:14:23,False,1633356863.42078
False,False,1633356865,0,2,647,-1,645,False,False,32641,False,438289,False,False,2,22,1633356865.440536,2021-10-04T17:14:25,False,1633356865.438289
False,False,1633356867,0,2,647,-1,645,False,False,32650,False,444175,False,False,2,22,1633356867.446906,2021-10-04T17:14:27,False,1633356867.444175
False,False,1633356869,0,2,647,-1,645,False,False,32659,False,452398,False,False,2,22,1633356869.453955,2021-10-04T17:14:29,False,1633356869.452398
False,False,1633356871,0,2,647,-1,645,False,False,32668,False,458061,False,False,2,22,1633356871.459624,2021-10-04T17:14:31,False,1633356871.458061
False,False,1633356873,0,2,647,-1,645,False,False,32677,False,462519,False,False,2,22,1633356873.464467,2021-10-04T17:14:33,False,1633356873.462519
False,False,1633356875,0,2,647,-1,645,False,False,32686,False,468114,False,False,2,22,1633356875.471802,2021-10-04T17:14:35,False,1633356875.468114
False,False,1633356877,0,2,647,-1,645,False,False,32695,False,472683,False,False,2,22,1633356877.477771,2021-10-04T17:14:37,False,1633356877.472683
False,False,1633356879,0,2,647,-1,645,False,False,32704,False,477266,False,False,2,22,1633356879.479335,2021-10-04T17:14:39,False,1633356879.477266
