time_us,snr,rssi_bytes,time_s,crc_bytes,cookie,log_timestamp,log_timestamp_gregorian,frame_no,tap_bytes,time_gregorian
61719,1,0100c890e0,1633357438,4d5d,677,1633357438.008321,2021-10-04T17:23:58,444,00000000000000000000000000,1633357438.061719
9103918,6,06004c07e0,1633357443,d040,678,1633357443.912283,2021-10-04T17:24:03,1868,00000000000000000000000000,1633357452.103918
8145177,2,0200c890e0,1633357444,657d,679,1633357444.816648,2021-10-04T17:24:04,452,00000000000000000000000000,1633357452.145177
816206,7,0700c890e0,1633357451,57db,680,1633357451.084589,2021-10-04T17:24:11,459,00000000000000000000000000,1633357451.816206
6568524,2,0200c890e0,1633357451,94f2,681,1633357451.659138,2021-10-04T17:24:11,460,00000000000000000000000000,1633357457.568524
2846605,4,0400c890e0,1633357452,b28a,682,1633357452.28673,2021-10-04T17:24:12,461,00000000000000000000000000,1633357454.846605
9495773,14,0e00c890e0,1633357475,6929,683,1633357475.95154,2021-10-04T17:24:35,487,00000000000000000000000000,1633357484.495773
4969797,15,0f00c890e0,1633357476,3b93,684,1633357476.498989,2021-10-04T17:24:36,488,00000000000000000000000000,1633357480.969797
1132893,11,0b00c890e0,1633357477,b566,685,1633357477.115539,2021-10-04T17:24:37,489,00000000000000000000000000,1633357478.132893
7523610,15,0f00c890e0,1633357479,ff59,686,1633357479.754381,2021-10-04T17:24:39,490,00000000000000000000000000,1633357486.52361
3794598,15,0f00c890e0,1633357480,cf99,687,1633357480.381717,2021-10-04T17:24:40,491,00000000000000000000000000,1633357483.794598
5541849,12,0c00c890e0,1633357481,0c0d,688,1633357481.556335,2021-10-04T17:24:41,493,00000000000000000000000000,1633357486.541849
1295182,14,0e00c890e0,1633357482,1df2,689,1633357482.131592,2021-10-04T17:24:42,494,00000000000000000000000000,1633357483.295182
3130342,10,0a00c890e0,1633357483,99d2,690,1633357483.31511,2021-10-04T17:24:43,496,00000000000000000000000000,1633357486.130342
329144,10,0a00c890e0,1633357486,1e25,691,1633357486.034782,2021-10-04T17:24:46,497,00000000000000000000000000,1633357486.329144
5688722,14,0e00c890e0,1633357486,8ac2,692,1633357486.570907,2021-10-04T17:24:46,498,00000000000000000000000000,1633357491.688722
2145650,12,0c00c890e0,1633357487,d977,693,1633357487.216614,2021-10-04T17:24:47,499,00000000000000000000000000,1633357489.14565
7968754,12,0c00c890e0,1633357487,9dfd,694,1633357487.799355,2021-10-04T17:24:47,500,00000000000000000000000000,1633357494.968754
1375410,1,0100589ee0,1633357488,180d,695,1633357488.139698,2021-10-04T17:24:48,32821,00000000000000000000000000,1633357489.37541
9515469,15,0f00c890e0,1633357488,7ffd,696,1633357488.95361,2021-10-04T17:24:48,502,00000000000000000000000000,1633357497.515469
6419355,14,0e00c890e0,1633357489,9e76,697,1633357489.643979,2021-10-04T17:24:49,503,00000000000000000000000000,1633357495.419355
1974565,14,0e00c890e0,1633357492,7ecd,698,1633357492.199664,2021-10-04T17:24:52,504,00000000000000000000000000,1633357493.974565
8301844,14,0e00c890e0,1633357492,3859,699,1633357492.832232,2021-10-04T17:24:52,505,00000000000000000000000000,1633357500.301844
3677494,9,0900c890e0,1633357493,4ef7,700,1633357493.369694,2021-10-04T17:24:53,506,00000000000000000000000000,1633357496.677494
43053,12,0c00c890e0,1633357494,bf0f,701,1633357494.007935,2021-10-04T17:24:54,507,00000000000000000000000000,1633357494.043053
5691125,10,0a00c890e0,1633357494,fca0,702,1633357494.571058,2021-10-04T17:24:54,508,00000000000000000000000000,1633357499.691125
7354161,8,0800c890e0,1633357495,3b39,703,1633357495.738257,2021-10-04T17:24:55,510,00000000000000000000000000,1633357502.354161
4861073,3,0300c890e0,1633357498,f33e,704,1633357498.48826,2021-10-04T17:24:58,511,00000000000000000000000000,1633357502.861073
1142399,13,0d00c890e0,1633357499,5971,705,1633357499.116487,2021-10-04T17:24:59,512,00000000000000000000000000,1633357500.142399
8410670,11,0b00c890e0,1633357500,fde9,706,1633357500.843127,2021-10-04T17:25:00,515,00000000000000000000000000,1633357508.41067
4866192,13,0d00c890e0,1633357501,ec0b,707,1633357501.488612,2021-10-04T17:25:01,516,00000000000000000000000000,1633357505.866192
6644127,11,0b00c890e0,1633357504,5bee,708,1633357504.666548,2021-10-04T17:25:04,518,00000000000000000000000000,1633357510.644127
3119375,11,0b00c890e0,1633357505,5dd6,709,1633357505.314079,2021-10-04T17:25:05,519,00000000000000000000000000,1633357508.119375
9356846,11,0b00c890e0,1633357505,bce4,710,1633357505.937617,2021-10-04T17:25:05,520,00000000000000000000000000,1633357514.356846
5049052,9,0900c890e0,1633357506,772e,711,1633357506.507076,2021-10-04T17:25:06,521,00000000000000000000000000,1633357511.049052
6617341,11,0b00c890e0,1633357507,09cc,712,1633357507.664009,2021-10-04T17:25:07,523,00000000000000000000000000,1633357513.617341
2940280,7,0700c890e0,1633357508,c23d,713,1633357508.296653,2021-10-04T17:25:08,2,00000000000000000000000000,1633357510.94028
5725600,11,0b00c890e0,1633357511,ef32,714,1633357511.575273,2021-10-04T17:25:11,526,00000000000000000000000000,1633357516.7256
1177868,13,0d00c890e0,1633357512,e3ea,715,1633357512.119939,2021-10-04T17:25:12,527,00000000000000000000000000,1633357513.177868
7479648,13,0d00c890e0,1633357512,e20e,716,1633357512.74982,2021-10-04T17:25:12,528,00000000000000000000000000,1633357519.479648
2848443,13,0d00c890e0,1633357513,06a9,717,1633357513.286885,2021-10-04T17:25:13,529,00000000000000000000000000,1633357515.848443
2028186,15,0f00c890e0,1633357517,2768,718,1633357517.206686,2021-10-04T17:25:17,532,00000000000000000000000000,1633357519.028186
7454018,10,0a00c890e0,1633357517,19f1,719,1633357517.748569,2021-10-04T17:25:17,533,00000000000000000000000000,1633357524.454018
2874395,10,0a00c890e0,1633357518,0758,720,1633357518.289438,2021-10-04T17:25:18,534,00000000000000000000000000,1633357520.874395
9032239,10,0a00c890e0,1633357518,ec05,721,1633357518.905443,2021-10-04T17:25:18,535,00000000000000000000000000,1633357527.032239
4533495,10,0a00c890e0,1633357519,3c18,722,1633357519.455244,2021-10-04T17:25:19,536,00000000000000000000000000,1633357523.533495
870544,13,0d00c890e0,1633357520,39d3,723,1633357520.089102,2021-10-04T17:25:20,537,00000000000000000000000000,1633357520.870544
