time_s,time_us,time_steady,updated_time_steady,updated_time_from_s,updated_time_from_us,updated_time_from_base,updated_time_to_s,updated_time_to_us,updated_time_to_base,count_of_time_updates,count_of_aggressive_time_updates,imi_time_sync_steady,imi_count_of_syncs,imi_time_s,imi_time_us,imi_time_base,seq,srcSystem,srcComponent,time_gregorian
1,8048,1003,0,0,0,0,0,0,0,0,0,225,1,0,229575,0,4,10,0,1970-01-01T03:00:01
2,17492,2013,0,0,0,0,0,0,0,0,0,225,1,0,229575,0,7,10,0,1970-01-01T03:00:02
3,7631,3003,0,0,0,0,0,0,0,0,0,2623,3,2,628020,0,10,10,0,1970-01-01T03:00:03
4,8016,4003,0,0,0,0,0,0,0,0,0,2623,3,2,628020,0,13,10,0,1970-01-01T03:00:04
5,8022,5003,0,0,0,0,0,0,0,0,0,3823,4,3,828021,0,16,10,0,1970-01-01T03:00:05
315964803,294394,6003,5071,5,75940,0,315964802,362506,1,1,1,5023,5,5,27999,0,19,10,0,1980-01-06T03:00:03
315964804,294028,7003,5071,5,75940,0,315964802,362506,1,1,1,6123,6,315964803,414391,1,22,10,0,1980-01-06T03:00:04
315964805,294036,8003,5071,5,75940,0,315964802,362506,1,1,1,7223,7,315964804,514395,1,25,10,0,1980-01-06T03:00:05
315964806,294036,9003,5071,5,75940,0,315964802,362506,1,1,1,8323,8,315964805,614403,1,28,10,0,1980-01-06T03:00:06
315964807,293999,10003,5071,5,75940,0,315964802,362506,1,1,1,8323,8,315964805,614403,1,31,10,0,1980-01-06T03:00:07
315964808,294394,11003,5071,5,75940,0,315964802,362506,1,1,1,8323,8,315964805,614403,1,34,10,0,1980-01-06T03:00:08
315964809,293979,12003,5071,5,75940,0,315964802,362506,1,1,1,11643,11,315964808,934397,1,37,10,0,1980-01-06T03:00:09
315964810,294402,13003,5071,5,75940,0,315964802,362506,1,1,1,12743,12,315964810,33993,1,40,10,0,1980-01-06T03:00:10
315964811,303931,14013,5071,5,75940,0,315964802,362506,1,1,1,13843,13,315964811,134036,1,43,10,0,1980-01-06T03:00:11
315964812,294350,15003,5071,5,75940,0,315964802,362506,1,1,1,13843,13,315964811,134036,1,46,10,0,1980-01-06T03:00:12
315964813,293997,16003,5071,5,75940,0,315964802,362506,1,1,1,14943,14,315964812,234395,1,49,10,0,1980-01-06T03:00:13
315964814,303857,17013,5071,5,75940,0,315964802,362506,1,1,1,16043,15,315964813,334389,1,52,10,0,1980-01-06T03:00:14
315964815,293991,18003,5071,5,75940,0,315964802,362506,1,1,1,17183,16,315964814,474396,1,55,10,0,1980-01-06T03:00:15
315964816,303911,19013,5071,5,75940,0,315964802,362506,1,1,1,18283,17,315964815,574042,1,58,10,0,1980-01-06T03:00:16
315964817,294401,20003,5071,5,75940,0,315964802,362506,1,1,1,18283,17,315964815,574042,1,61,10,0,1980-01-06T03:00:17
315964818,294394,21003,5071,5,75940,0,315964802,362506,1,1,1,20483,19,315964817,774399,1,64,10,0,1980-01-06T03:00:18
315964819,294398,22003,5071,5,75940,0,315964802,362506,1,1,1,21583,20,315964818,874397,1,67,10,0,1980-01-06T03:00:19
315964820,304311,23013,5071,5,75940,0,315964802,362506,1,1,1,22683,21,315964819,974393,1,70,10,0,1980-01-06T03:00:20
315964821,293991,24003,5071,5,75940,0,315964802,362506,1,1,1,22683,21,315964819,974393,1,73,10,0,1980-01-06T03:00:21
315964822,294386,25003,5071,5,75940,0,315964802,362506,1,1,1,22683,21,315964819,974393,1,76,10,0,1980-01-06T03:00:22
315964823,294004,26003,5071,5,75940,0,315964802,362506,1,1,1,24883,23,315964822,174391,1,79,10,0,1980-01-06T03:00:23
315964824,303850,27013,5071,5,75940,0,315964802,362506,1,1,1,26083,24,315964823,374387,1,82,10,0,1980-01-06T03:00:24
315964825,294005,28003,5071,5,75940,0,315964802,362506,1,1,1,27283,25,315964824,574387,1,85,10,0,1980-01-06T03:00:25
315964826,303849,29013,5071,5,75940,0,315964802,362506,1,1,1,28483,26,315964825,774397,1,88,10,0,1980-01-06T03:00:26
315964827,294390,30003,5071,5,75940,0,315964802,362506,1,1,1,29683,27,315964826,974398,1,91,10,0,1980-01-06T03:00:27
315964828,294393,31003,5071,5,75940,0,315964802,362506,1,1,1,30783,28,315964828,74415,1,94,10,0,1980-01-06T03:00:28
315964829,294382,32003,5071,5,75940,0,315964802,362506,1,1,1,30783,28,315964828,74415,1,97,10,0,1980-01-06T03:00:29
315964830,294394,33003,5071,5,75940,0,315964802,362506,1,1,1,31903,29,315964829,194238,1,100,10,0,1980-01-06T03:00:30
315964831,294325,34003,5071,5,75940,0,315964802,362506,1,1,1,33023,30,315964830,314383,1,103,10,0,1980-01-06T03:00:31
315964832,293994,35003,5071,5,75940,0,315964802,362506,1,1,1,34123,31,315964831,414461,1,106,10,0,1980-01-06T03:00:32
