time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian
315964815,150000,18152,17373,17373,17,0,0,0,0,0,206,13,3,1980-01-06T03:00:15
315964839,474000,18175,17395,17395,17,0,0,0,0,0,206,13,3,1980-01-06T03:00:39
315964871,236200,18175,17395,17395,17,0,0,0,0,0,206,13,3,1980-01-06T03:01:11
315964896,236200,43175,42395,42395,42,0,0,0,0,0,246,13,3,1980-01-06T03:01:36
315964923,962200,68175,67395,67395,67,0,0,0,0,0,30,13,3,1980-01-06T03:02:03
315964950,373000,20440,19661,19661,17,2,1,0,1,5614,196,13,3,1980-01-06T03:02:30
315964815,655200,18175,17395,17395,17,0,0,0,0,0,206,13,3,1980-01-06T03:00:15
315964840,655200,43175,42395,42395,42,0,0,0,0,0,246,13,3,1980-01-06T03:00:40
315964865,655200,68175,67395,67395,67,0,0,0,0,0,30,13,3,1980-01-06T03:01:05
315964890,655200,93175,92395,92395,92,0,0,0,0,0,72,13,3,1980-01-06T03:01:30
315964915,655200,118175,117395,117395,117,0,0,0,0,0,112,13,3,1980-01-06T03:01:55
315964940,655200,143175,142395,142395,142,0,0,0,0,0,152,13,3,1980-01-06T03:02:20
315964965,655200,168175,167395,167395,167,0,0,0,0,0,194,13,3,1980-01-06T03:02:45
315964990,655200,193175,192395,192395,192,0,0,0,0,0,234,13,3,1980-01-06T03:03:10
315965017,555600,218175,217395,217395,217,0,0,0,0,0,18,13,3,1980-01-06T03:03:37
315965042,555600,243175,242395,242395,242,0,0,0,0,0,60,13,3,1980-01-06T03:04:02
315965067,555600,268175,267395,267395,267,0,0,0,0,0,100,13,3,1980-01-06T03:04:27
315965092,555600,293175,292395,292395,292,0,0,0,0,0,140,13,3,1980-01-06T03:04:52
315965117,555600,318175,317395,317395,317,0,0,0,0,0,182,13,3,1980-01-06T03:05:17
315965142,555600,343175,342395,342395,342,0,0,0,0,0,222,13,3,1980-01-06T03:05:42
315965167,555600,368175,367395,367395,367,0,0,0,0,0,6,13,3,1980-01-06T03:06:07
315965192,555600,393175,392395,392395,392,0,0,0,0,0,48,13,3,1980-01-06T03:06:32
315965217,555600,418175,417395,417395,417,0,0,0,0,0,88,13,3,1980-01-06T03:06:57
315964815,654200,18175,17395,17395,17,0,0,0,0,0,206,13,3,1980-01-06T03:00:15
315964840,654200,43175,42395,42395,42,0,0,0,0,0,246,13,3,1980-01-06T03:00:40
315964865,654200,68175,67395,67395,67,0,0,0,0,0,30,13,3,1980-01-06T03:01:05
315964890,654200,93175,92395,92395,92,0,0,0,0,0,72,13,3,1980-01-06T03:01:30
315964915,654200,118175,117395,117395,117,0,0,0,0,0,112,13,3,1980-01-06T03:01:55
315964940,654200,143175,142395,142395,142,0,0,0,0,0,152,13,3,1980-01-06T03:02:20
315964965,654200,168175,167395,167395,167,0,0,0,0,0,194,13,3,1980-01-06T03:02:45
315964990,654200,193175,192395,192395,192,0,0,0,0,0,234,13,3,1980-01-06T03:03:10
315965017,585200,218175,217395,217395,217,0,0,0,0,0,18,13,3,1980-01-06T03:03:37
315965042,585200,243175,242395,242395,242,0,0,0,0,0,60,13,3,1980-01-06T03:04:02
315965067,585200,268175,267395,267395,267,0,0,0,0,0,100,13,3,1980-01-06T03:04:27
315965092,585200,293175,292395,292395,292,0,0,0,0,0,140,13,3,1980-01-06T03:04:52
315965117,585200,318175,317395,317395,317,0,0,0,0,0,182,13,3,1980-01-06T03:05:17
315965142,585200,343175,342395,342395,342,0,0,0,0,0,222,13,3,1980-01-06T03:05:42
315965167,585200,368175,367395,367395,367,0,0,0,0,0,6,13,3,1980-01-06T03:06:07
315965192,585200,393175,392395,392395,392,0,0,0,0,0,48,13,3,1980-01-06T03:06:32
315965217,748500,418175,417395,417395,417,0,0,0,0,0,88,13,3,1980-01-06T03:06:57
315965242,748500,443175,442395,442395,442,0,0,0,0,0,128,13,3,1980-01-06T03:07:22
315965267,748500,468175,467395,467395,467,0,0,0,0,0,170,13,3,1980-01-06T03:07:47
