time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian
0,632000,672,2.264923095703125,8.152000427246094,1,12,1,1970-01-01T03:00:00
1,272000,5160,1.015960693359375,8.300000190734863,38,12,1,1970-01-01T03:00:01
4,949000,5170,1.030975341796875,8.307999610900879,42,12,1,1970-01-01T03:00:04
5,589000,5836,0.845947265625,8.303999900817871,51,12,1,1970-01-01T03:00:05
6,228000,6502,0.839996337890625,8.303999900817871,77,12,1,1970-01-01T03:00:06
315964804,132000,7169,0.8349609375,8.303999900817871,105,12,1,1980-01-06T03:00:04
315964804,774000,7838,1.10797119140625,8.291999816894531,107,12,1,1980-01-06T03:00:04
315964805,414000,8504,0.876983642578125,8.315999984741211,115,12,1,1980-01-06T03:00:05
315964806,54000,9171,1.01495361328125,8.307999610900879,135,12,1,1980-01-06T03:00:06
315964806,696000,9840,1.024017333984375,8.284000396728516,137,12,1,1980-01-06T03:00:06
315964807,336000,10507,2.231964111328125,8.144000053405762,162,12,1,1980-01-06T03:00:07
315964807,976000,11174,2.657958984375,8.100000381469727,187,12,1,1980-01-06T03:00:07
315964808,618000,11842,2.20294189453125,8.152000427246094,189,12,1,1980-01-06T03:00:08
315964809,258000,12510,2.171905517578125,8.156000137329102,223,12,1,1980-01-06T03:00:09
315964809,898000,13176,2.153961181640625,8.156000137329102,231,12,1,1980-01-06T03:00:09
315964810,540000,13844,2.437957763671875,8.12399959564209,233,12,1,1980-01-06T03:00:10
315964811,179000,14511,2.4349365234375,8.128000259399414,241,12,1,1980-01-06T03:00:11
315964811,819000,15177,2.4239501953125,8.128000259399414,249,12,1,1980-01-06T03:00:11
315964812,461000,15846,2.3829345703125,8.156000137329102,251,12,1,1980-01-06T03:00:12
315964813,408000,16512,2.383941650390625,8.163999557495117,3,12,1,1980-01-06T03:00:13
315964814,47000,17178,2.398956298828125,8.13599967956543,11,12,1,1980-01-06T03:00:14
315964814,689000,17847,2.097930908203125,8.15999984741211,13,12,1,1980-01-06T03:00:14
315964815,329000,18513,2.097930908203125,8.15999984741211,21,12,1,1980-01-06T03:00:15
315964815,969000,19180,2.095916748046875,8.15999984741211,29,12,1,1980-01-06T03:00:15
315964816,611000,19849,1.781982421875,8.223999977111816,31,12,1,1980-01-06T03:00:16
315964817,250000,20515,1.811920166015625,8.192000389099121,39,12,1,1980-01-06T03:00:17
315964817,890000,21181,1.796905517578125,8.196000099182129,47,12,1,1980-01-06T03:00:17
315964818,532000,21850,1.804962158203125,8.196000099182129,49,12,1,1980-01-06T03:00:18
315964819,171000,22516,1.803955078125,8.192000389099121,57,12,1,1980-01-06T03:00:19
315964819,811000,23182,1.80194091796875,8.199999809265137,65,12,1,1980-01-06T03:00:19
315964820,453000,23851,1.513916015625,8.227999687194824,67,12,1,1980-01-06T03:00:20
315964821,404000,24517,2.999908447265625,8.223999977111816,75,12,1,1980-01-06T03:00:21
315964822,44000,29746,2.92694091796875,8.071999549865723,181,12,1,1980-01-06T03:00:22
315964826,432000,29757,1.819976806640625,8.196000099182129,185,12,1,1980-01-06T03:00:26
315964827,73000,30423,1.53497314453125,8.223999977111816,196,12,1,1980-01-06T03:00:27
315964827,715000,31150,1.52197265625,8.223999977111816,217,12,1,1980-01-06T03:00:27
315964828,355000,31759,1.522979736328125,8.223999977111816,219,12,1,1980-01-06T03:00:28
315964828,994000,32425,1.822906494140625,8.187999725341797,227,12,1,1980-01-06T03:00:28
315964829,637000,33094,1.825927734375,8.187999725341797,233,12,1,1980-01-06T03:00:29
315964830,276000,33760,1.815948486328125,8.187999725341797,237,12,1,1980-01-06T03:00:30
315964830,916000,34426,1.819976806640625,8.204000473022461,245,12,1,1980-01-06T03:00:30
315964831,971000,35133,1.69097900390625,8.223999977111816,5,12,1,1980-01-06T03:00:31
315964832,610000,35762,1.540924072265625,8.223999977111816,7,12,1,1980-01-06T03:00:32
315964833,250000,36428,1.51300048828125,8.227999687194824,15,12,1,1980-01-06T03:00:33
315964833,889000,37093,1.514923095703125,8.227999687194824,21,12,1,1980-01-06T03:00:33
315964834,532000,37763,1.5179443359375,8.223999977111816,25,12,1,1980-01-06T03:00:34
315964835,171000,38429,1.64996337890625,8.223999977111816,33,12,1,1980-01-06T03:00:35
315964835,814000,39133,1.8109130859375,8.208000183105469,49,12,1,1980-01-06T03:00:35
315964836,453000,39764,1.808990478515625,8.196000099182129,51,12,1,1980-01-06T03:00:36
