time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
5,662300,5967,22.267658233642578,3.303999900817871,3.2750184535980225,59,13,0,1970-01-01T03:00:05
315964803,948700,6967,22.56505584716797,3.302000045776367,3.2750184535980225,70,13,0,1980-01-06T03:00:03
315964804,948700,7967,22.86245346069336,3.302000045776367,3.27662992477417,81,13,0,1980-01-06T03:00:04
315964805,948700,8967,23.15985107421875,3.302000045776367,3.2750184535980225,95,13,0,1980-01-06T03:00:05
315964806,948800,9967,23.15985107421875,3.302000045776367,3.27662992477417,106,13,0,1980-01-06T03:00:06
315964807,948800,10967,23.45724868774414,3.302000045776367,3.2492306232452393,117,13,0,1980-01-06T03:00:07
315964808,948700,11967,23.75464630126953,3.302000045776367,3.2492306232452393,130,13,0,1980-01-06T03:00:08
315964809,948700,12967,23.75464630126953,3.302000045776367,3.250842571258545,141,13,0,1980-01-06T03:00:09
315964810,948700,13967,23.75464630126953,3.302000045776367,3.254065752029419,153,13,0,1980-01-06T03:00:10
315964811,948700,14967,24.052043914794922,3.302000045776367,3.257289171218872,166,13,0,1980-01-06T03:00:11
315964812,948700,15967,24.052043914794922,3.302000045776367,3.257289171218872,177,13,0,1980-01-06T03:00:12
315964813,948700,16967,24.349443435668945,3.302000045776367,3.2524542808532715,188,13,0,1980-01-06T03:00:13
315964814,948700,17967,24.349443435668945,3.302000045776367,3.254065752029419,201,13,0,1980-01-06T03:00:14
315964815,948700,18967,24.349443435668945,3.302000045776367,3.2556777000427246,213,13,0,1980-01-06T03:00:15
2,972900,1989,22.86245346069336,3.302000045776367,3.279853582382202,10,13,0,1970-01-01T03:00:02
315964827,271900,5989,24.052043914794922,3.302000045776367,3.2750184535980225,59,13,0,1980-01-06T03:00:27
315964828,271900,6989,24.052043914794922,3.302000045776367,3.2750184535980225,70,13,0,1980-01-06T03:00:28
315964829,271900,7989,24.349443435668945,3.302000045776367,3.279853582382202,81,13,0,1980-01-06T03:00:29
315964830,271900,8989,24.349443435668945,3.302000045776367,3.2750184535980225,95,13,0,1980-01-06T03:00:30
315964831,271900,9989,24.646841049194336,3.302000045776367,3.2782416343688965,106,13,0,1980-01-06T03:00:31
315964832,271900,10989,24.646841049194336,3.302000045776367,3.279853582382202,117,13,0,1980-01-06T03:00:32
315964833,271900,11989,24.646841049194336,3.302000045776367,3.2750184535980225,130,13,0,1980-01-06T03:00:33
315964834,271900,12989,24.944238662719727,3.302000045776367,3.2750184535980225,141,13,0,1980-01-06T03:00:34
315964835,271900,13989,24.944238662719727,3.302000045776367,3.2750184535980225,153,13,0,1980-01-06T03:00:35
315964836,271900,14989,24.944238662719727,3.302000045776367,3.279853582382202,166,13,0,1980-01-06T03:00:36
315964837,271900,15989,24.944238662719727,3.302000045776367,3.2782416343688965,177,13,0,1980-01-06T03:00:37
315964838,271900,16989,24.944238662719727,3.302000045776367,3.2750184535980225,188,13,0,1980-01-06T03:00:38
315964839,271900,17989,25.241636276245117,3.302000045776367,3.2782416343688965,201,13,0,1980-01-06T03:00:39
315964840,271900,18989,25.241636276245117,3.302000045776367,3.2750184535980225,213,13,0,1980-01-06T03:00:40
315964841,271900,19989,25.241636276245117,3.302000045776367,3.2750184535980225,224,13,0,1980-01-06T03:00:41
315964842,271900,20989,25.241636276245117,3.302000045776367,3.279853582382202,237,13,0,1980-01-06T03:00:42
315964843,271900,21989,25.241636276245117,3.302000045776367,3.27662992477417,248,13,0,1980-01-06T03:00:43
315964844,271900,22989,25.539033889770508,3.302000045776367,3.2782416343688965,3,13,0,1980-01-06T03:00:44
315964845,271900,23989,25.241636276245117,3.302000045776367,3.279853582382202,17,13,0,1980-01-06T03:00:45
315964846,271900,24989,25.539033889770508,3.302000045776367,3.2750184535980225,28,13,0,1980-01-06T03:00:46
315964847,271900,25989,25.539033889770508,3.302000045776367,3.2750184535980225,39,13,0,1980-01-06T03:00:47
315964848,271900,26989,25.539033889770508,3.302000045776367,3.27662992477417,52,13,0,1980-01-06T03:00:48
315964849,271900,27989,25.539033889770508,3.302000045776367,3.279853582382202,63,13,0,1980-01-06T03:00:49
315964850,271900,28989,25.539033889770508,3.302000045776367,3.2782416343688965,75,13,0,1980-01-06T03:00:50
315964851,271900,29989,25.539033889770508,3.302000045776367,3.27662992477417,88,13,0,1980-01-06T03:00:51
