time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
2,151900,1152,11.714678671824458,102434.7514242395,60.363378942376755,-91.97126007080078,1,13,1,1970-01-01T03:00:02
3,151900,2152,8.084960951335962,101816.89097579628,60.11280009916964,-40.86705780029297,12,13,1,1970-01-01T03:00:03
5,862900,6152,11.7365678248216,102434.5922048607,60.09881808711387,-91.9583740234375,61,13,1,1970-01-01T03:00:05
315964804,149300,7152,11.741326337058945,102436.8650947504,60.05284418070674,-92.1458969116211,72,13,1,1980-01-06T03:00:04
315964805,149300,8152,7.3226820406140405,101685.63568716309,59.81231455655761,-29.97859001159668,83,13,1,1980-01-06T03:00:05
315964806,149300,9152,7.559327225350193,101726.7481600124,59.77809747590615,-33.38972091674805,97,13,1,1980-01-06T03:00:06
315964807,149300,10152,7.875912523519242,101777.03543877383,59.77629907295606,-37.56173324584961,108,13,1,1980-01-06T03:00:07
315964808,149300,11152,8.058631607758457,101804.59497581855,59.77942294286675,-39.84769058227539,119,13,1,1980-01-06T03:00:08
315964809,149400,12152,11.763849965119903,102433.86996464546,59.978828808945735,-91.8984375,132,13,1,1980-01-06T03:00:09
315964810,149400,13152,11.765753370570769,102436.65222932027,60.0020196991794,-92.12785339355469,143,13,1,1980-01-06T03:00:10
315964811,149300,14152,7.626894934423399,101732.96426793649,59.809982340742515,-33.90498352050781,155,13,1,1980-01-06T03:00:11
315964812,149300,15152,9.39699695516756,102035.73418558993,59.93566077831862,-58.996700286865234,168,13,1,1980-01-06T03:00:12
315964813,149300,16152,9.393190246174708,102031.52340554407,59.9527125866904,-58.64803695678711,179,13,1,1980-01-06T03:00:13
315964814,149300,17152,9.490578602722076,102045.9152649215,59.98610733585025,-59.839576721191406,190,13,1,1980-01-06T03:00:14
315964815,149300,18152,11.7866908332315,102433.71477303928,60.11850006251086,-91.88555145263672,203,13,1,1980-01-06T03:00:15
2,151900,1152,11.832372587135273,102434.70888274653,60.38054326059751,-91.9680404663086,1,13,1,1970-01-01T03:00:02
3,151900,2152,9.287554136927634,102000.90876215548,60.13136905410668,-56.112945556640625,12,13,1,1970-01-01T03:00:03
315964827,450900,6152,9.479475690212348,102025.80559973323,59.88791581400576,-58.17452621459961,61,13,1,1980-01-06T03:00:27
315964828,450900,7152,11.872026906512565,102428.62604585219,60.0070023854363,-91.4660415649414,72,13,1,1980-01-06T03:00:28
315964829,451000,8152,9.501364290493644,102029.0658813768,59.90619713194059,-58.444271087646484,83,13,1,1980-01-06T03:00:29
315964830,451000,9152,9.541334791930263,102034.95073064844,59.91960489835125,-58.93201446533203,97,13,1,1980-01-06T03:00:30
315964831,450900,10152,9.853485995444704,102088.43305686778,59.969030681198824,-63.356815338134766,108,13,1,1980-01-06T03:00:31
315964832,450900,11152,9.717078321911163,102061.65627932518,59.96825146294808,-61.141990661621094,119,13,1,1980-01-06T03:00:32
