time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian
315964803,552500,6555,0,1,147,1,1148,1,147,1,1148,68,13,0,1980-01-06T03:00:03
315964804,552500,7555,0,1,147,1,1148,1,147,1,1148,79,13,0,1980-01-06T03:00:04
315964805,552500,8555,0,1,147,1,1148,1,147,1,1148,92,13,0,1980-01-06T03:00:05
315964806,552500,9555,0,1,147,1,1148,1,147,1,1148,104,13,0,1980-01-06T03:00:06
315964807,552500,10555,1,2,10148,1,1148,1,147,2,10148,115,13,0,1980-01-06T03:00:07
315964808,552500,11555,1,2,10148,1,1148,1,147,2,10148,127,13,0,1980-01-06T03:00:08
315964809,552500,12555,1,2,10148,1,1148,1,147,2,10148,139,13,0,1980-01-06T03:00:09
315964810,552500,13555,1,2,10148,1,1148,1,147,2,10148,151,13,0,1980-01-06T03:00:10
315964811,552500,14555,1,2,10148,1,1148,1,147,2,10148,163,13,0,1980-01-06T03:00:11
315964812,552500,15555,1,2,10148,1,1148,1,147,2,10148,175,13,0,1980-01-06T03:00:12
315964813,552500,16555,1,2,10148,1,1148,1,147,2,10148,186,13,0,1980-01-06T03:00:13
315964814,552500,17555,1,2,10148,1,1148,1,147,2,10148,198,13,0,1980-01-06T03:00:14
315964815,552500,18555,1,2,10148,1,1148,1,147,2,10148,211,13,0,1980-01-06T03:00:15
2,576700,1577,0,1,147,1,1148,1,147,1,1148,8,13,0,1970-01-01T03:00:02
6,576700,5577,0,1,147,1,1148,1,147,1,1148,56,13,0,1970-01-01T03:00:06
315964827,875700,6577,0,1,147,1,1148,1,147,1,1148,68,13,0,1980-01-06T03:00:27
315964828,875700,7577,0,1,147,1,1148,1,147,1,1148,79,13,0,1980-01-06T03:00:28
315964829,875700,8577,0,1,147,1,1148,1,147,1,1148,92,13,0,1980-01-06T03:00:29
315964830,875700,9577,0,1,147,1,1148,1,147,1,1148,104,13,0,1980-01-06T03:00:30
315964831,875700,10577,0,1,147,1,1148,1,147,1,1148,115,13,0,1980-01-06T03:00:31
315964832,875700,11577,0,1,147,1,1148,1,147,1,1148,127,13,0,1980-01-06T03:00:32
315964833,875700,12577,0,1,147,1,1148,1,147,1,1148,139,13,0,1980-01-06T03:00:33
315964834,875700,13577,0,1,147,1,1148,1,147,1,1148,151,13,0,1980-01-06T03:00:34
315964835,875700,14577,0,1,147,1,1148,1,147,1,1148,163,13,0,1980-01-06T03:00:35
315964836,875700,15577,0,1,147,1,1148,1,147,1,1148,175,13,0,1980-01-06T03:00:36
315964837,875700,16577,0,1,147,1,1148,1,147,1,1148,186,13,0,1980-01-06T03:00:37
315964838,875700,17577,0,1,147,1,1148,1,147,1,1148,198,13,0,1980-01-06T03:00:38
315964839,875700,18577,0,1,147,1,1148,1,147,1,1148,211,13,0,1980-01-06T03:00:39
315964840,875700,19577,0,1,147,1,1148,1,147,1,1148,222,13,0,1980-01-06T03:00:40
315964841,875700,20577,0,1,147,1,1148,1,147,1,1148,234,13,0,1980-01-06T03:00:41
315964842,875700,21577,0,1,147,1,1148,1,147,1,1148,246,13,0,1980-01-06T03:00:42
315964843,875700,22577,0,1,147,1,1148,1,147,1,1148,1,13,0,1980-01-06T03:00:43
315964844,875700,23577,0,1,147,1,1148,1,147,1,1148,14,13,0,1980-01-06T03:00:44
315964845,875700,24577,0,1,147,1,1148,1,147,1,1148,26,13,0,1980-01-06T03:00:45
315964846,875700,25577,0,1,147,1,1148,1,147,1,1148,37,13,0,1980-01-06T03:00:46
315964847,875700,26577,0,1,147,1,1148,1,147,1,1148,49,13,0,1980-01-06T03:00:47
315964848,875700,27577,0,1,147,1,1148,1,147,1,1148,61,13,0,1980-01-06T03:00:48
315964849,875700,28577,0,1,147,1,1148,1,147,1,1148,73,13,0,1980-01-06T03:00:49
315964850,875700,29577,0,1,147,1,1148,1,147,1,1148,85,13,0,1980-01-06T03:00:50
315964851,875700,30577,0,1,147,1,1148,1,147,1,1148,97,13,0,1980-01-06T03:00:51
2,576700,1577,0,1,147,1,1148,1,147,1,1148,8,13,0,1970-01-01T03:00:02
6,576700,5577,0,1,147,1,1148,1,147,1,1148,56,13,0,1970-01-01T03:00:06
7,576700,6577,0,1,147,1,1148,1,147,1,1148,68,13,0,1970-01-01T03:00:07
315964860,637900,7577,0,1,147,1,1148,1,147,1,1148,79,13,0,1980-01-06T03:01:00
315964861,637900,8577,0,1,147,1,1148,1,147,1,1148,92,13,0,1980-01-06T03:01:01
315964862,637900,9577,0,1,147,1,1148,1,147,1,1148,104,13,0,1980-01-06T03:01:02
315964863,637900,10577,0,1,147,1,1148,1,147,1,1148,115,13,0,1980-01-06T03:01:03
315964864,637900,11577,0,1,147,1,1148,1,147,1,1148,127,13,0,1980-01-06T03:01:04
315964865,637900,12577,0,1,147,1,1148,1,147,1,1148,139,13,0,1980-01-06T03:01:05
315964866,637900,13577,0,1,147,1,1148,1,147,1,1148,151,13,0,1980-01-06T03:01:06
315964867,637900,14577,0,1,147,1,1148,1,147,1,1148,163,13,0,1980-01-06T03:01:07
315964868,637900,15577,0,1,147,1,1148,1,147,1,1148,175,13,0,1980-01-06T03:01:08
315964869,637900,16577,0,1,147,1,1148,1,147,1,1148,186,13,0,1980-01-06T03:01:09
315964870,637900,17577,0,1,147,1,1148,1,147,1,1148,198,13,0,1980-01-06T03:01:10
315964871,637900,18577,0,1,147,1,1148,1,147,1,1148,211,13,0,1980-01-06T03:01:11
315964872,637900,19577,0,1,147,1,1148,1,147,1,1148,222,13,0,1980-01-06T03:01:12
315964873,637900,20577,0,1,147,1,1148,1,147,1,1148,234,13,0,1980-01-06T03:01:13
315964874,637900,21577,0,1,147,1,1148,1,147,1,1148,246,13,0,1980-01-06T03:01:14
315964875,637900,22577,0,1,147,1,1148,1,147,1,1148,1,13,0,1980-01-06T03:01:15
