time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
5,662300,5951,22,5951,63,13,1,1970-01-01T03:00:05
315964804,148700,7151,22,7151,74,13,1,1980-01-06T03:00:04
315964804,148700,7151,22,7151,85,13,1,1980-01-06T03:00:04
315964805,348700,8351,30,8351,99,13,1,1980-01-06T03:00:05
315964806,548700,9551,38,9551,110,13,1,1980-01-06T03:00:06
315964807,748700,10751,38,10751,121,13,1,1980-01-06T03:00:07
315964808,948700,11951,39,11951,134,13,1,1980-01-06T03:00:08
315964810,148800,13151,39,13151,145,13,1,1980-01-06T03:00:10
315964810,148800,13151,39,13151,157,13,1,1980-01-06T03:00:10
315964811,348800,14351,39,14351,170,13,1,1980-01-06T03:00:11
315964812,548700,15551,39,15551,181,13,1,1980-01-06T03:00:12
315964813,748700,16751,39,16751,192,13,1,1980-01-06T03:00:13
315964814,948700,17951,39,17951,205,13,1,1980-01-06T03:00:14
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
315964827,250400,5951,1,5951,63,13,1,1980-01-06T03:00:27
315964828,450300,7151,1,7151,74,13,1,1980-01-06T03:00:28
315964828,450300,7151,1,7151,85,13,1,1980-01-06T03:00:28
315964829,650300,8351,1,8351,99,13,1,1980-01-06T03:00:29
315964830,850300,9551,1,9551,110,13,1,1980-01-06T03:00:30
315964832,50300,10751,1,10751,121,13,1,1980-01-06T03:00:32
315964833,250300,11951,1,11951,134,13,1,1980-01-06T03:00:33
315964834,450300,13151,1,13151,145,13,1,1980-01-06T03:00:34
315964834,450300,13151,1,13151,157,13,1,1980-01-06T03:00:34
315964835,650300,14351,1,14351,170,13,1,1980-01-06T03:00:35
315964836,850300,15551,1,15551,181,13,1,1980-01-06T03:00:36
315964838,50300,16751,1,16751,192,13,1,1980-01-06T03:00:38
315964839,250300,17951,6,17951,205,13,1,1980-01-06T03:00:39
315964840,450400,19151,6,19151,217,13,1,1980-01-06T03:00:40
315964840,450400,19151,6,19151,228,13,1,1980-01-06T03:00:40
315964841,650400,20351,6,20351,241,13,1,1980-01-06T03:00:41
315964842,850300,21551,6,21551,252,13,1,1980-01-06T03:00:42
315964844,50300,22751,6,22751,7,13,1,1980-01-06T03:00:44
315964845,250300,23951,20,23951,21,13,1,1980-01-06T03:00:45
315964846,450300,25151,20,25151,32,13,1,1980-01-06T03:00:46
315964846,450300,25151,20,25151,43,13,1,1980-01-06T03:00:46
315964847,650300,26351,21,26351,56,13,1,1980-01-06T03:00:47
315964848,850300,27551,21,27551,67,13,1,1980-01-06T03:00:48
315964850,50300,28751,21,28751,79,13,1,1980-01-06T03:00:50
315964851,250300,29951,21,29951,92,13,1,1980-01-06T03:00:51
315964852,450300,31151,21,31151,103,13,1,1980-01-06T03:00:52
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
6,951300,5951,0,5951,63,13,1,1970-01-01T03:00:06
315964860,212500,7151,0,7151,74,13,1,1980-01-06T03:01:00
315964860,212500,7151,0,7151,85,13,1,1980-01-06T03:01:00
315964861,412500,8351,0,8351,99,13,1,1980-01-06T03:01:01
315964862,612500,9551,0,9551,110,13,1,1980-01-06T03:01:02
315964863,812500,10751,0,10751,121,13,1,1980-01-06T03:01:03
315964865,12500,11951,0,11951,134,13,1,1980-01-06T03:01:05
315964866,212500,13151,0,13151,145,13,1,1980-01-06T03:01:06
315964866,212500,13151,0,13151,157,13,1,1980-01-06T03:01:06
315964867,412500,14351,1,14351,170,13,1,1980-01-06T03:01:07
315964868,612600,15551,1,15551,181,13,1,1980-01-06T03:01:08
315964869,812600,16751,1,16751,192,13,1,1980-01-06T03:01:09
315964871,12500,17951,1,17951,205,13,1,1980-01-06T03:01:11
315964872,212500,19151,1,19151,217,13,1,1980-01-06T03:01:12
315964872,212500,19151,1,19151,228,13,1,1980-01-06T03:01:12
315964873,412500,20351,1,20351,241,13,1,1980-01-06T03:01:13
315964874,612500,21551,1,21551,252,13,1,1980-01-06T03:01:14
315964875,812500,22751,1,22751,7,13,1,1980-01-06T03:01:15
315964877,12500,23951,1,23951,21,13,1,1980-01-06T03:01:17
315964878,212500,25151,1,25151,32,13,1,1980-01-06T03:01:18
315964878,212500,25151,1,25151,43,13,1,1980-01-06T03:01:18
315964879,412500,26351,2,26351,56,13,1,1980-01-06T03:01:19
315964880,612500,27551,2,27551,67,13,1,1980-01-06T03:01:20
315964881,812500,28751,2,28751,79,13,1,1980-01-06T03:01:21
315964883,12600,29951,2,29951,92,13,1,1980-01-06T03:01:23
315964884,212600,31151,2,31151,103,13,1,1980-01-06T03:01:24
315964884,212600,31151,2,31151,114,13,1,1980-01-06T03:01:24
315964885,412500,32351,2,32351,127,13,1,1980-01-06T03:01:25
315964886,612500,33551,2,33551,139,13,1,1980-01-06T03:01:26
315964887,812500,34751,2,34751,150,13,1,1980-01-06T03:01:27
315964889,12500,35951,2,35951,163,13,1,1980-01-06T03:01:29
315964890,212500,37151,2,37151,174,13,1,1980-01-06T03:01:30
315964890,212500,37151,2,37151,185,13,1,1980-01-06T03:01:30
315964891,412500,38351,2,38351,199,13,1,1980-01-06T03:01:31
315964892,612500,39551,2,39551,210,13,1,1980-01-06T03:01:32
315964893,812500,40751,2,40751,221,13,1,1980-01-06T03:01:33
315964895,12500,41951,2,41951,234,13,1,1980-01-06T03:01:35
315964896,212500,43151,2,43151,245,13,1,1980-01-06T03:01:36
315964896,212500,43151,2,43151,1,13,1,1980-01-06T03:01:36
315964897,412600,44351,2,44351,14,13,1,1980-01-06T03:01:37
315964898,612600,45551,2,45551,25,13,1,1980-01-06T03:01:38
315964899,812500,46751,2,46751,36,13,1,1980-01-06T03:01:39
315964901,12500,47951,2,47951,49,13,1,1980-01-06T03:01:41
315964902,212500,49151,2,49151,61,13,1,1980-01-06T03:01:42
315964902,212500,49151,2,49151,72,13,1,1980-01-06T03:01:42
315964903,412500,50351,2,50351,85,13,1,1980-01-06T03:01:43
315964907,338500,51551,3,51551,96,13,1,1980-01-06T03:01:47
315964908,538500,52751,3,52751,107,13,1,1980-01-06T03:01:48
315964909,738500,53951,3,53951,121,13,1,1980-01-06T03:01:49
315964910,938500,55151,3,55151,132,13,1,1980-01-06T03:01:50
315964910,938500,55151,3,55151,143,13,1,1980-01-06T03:01:50
315964912,138500,56351,3,56351,156,13,1,1980-01-06T03:01:52
315964913,338500,57551,4,57551,167,13,1,1980-01-06T03:01:53
315964914,538600,58751,4,58751,179,13,1,1980-01-06T03:01:54
315964915,738600,59951,4,59951,192,13,1,1980-01-06T03:01:55
315964916,938500,61151,4,61151,203,13,1,1980-01-06T03:01:56
315964916,938500,61151,4,61151,214,13,1,1980-01-06T03:01:56
315964918,138500,62351,4,62351,227,13,1,1980-01-06T03:01:58
315964919,338500,63551,4,63551,239,13,1,1980-01-06T03:01:59
315964920,538500,64751,4,64751,250,13,1,1980-01-06T03:02:00
315964921,738500,65951,4,65951,7,13,1,1980-01-06T03:02:01
315964922,938500,67151,4,67151,18,13,1,1980-01-06T03:02:02
315964922,938500,67151,4,67151,29,13,1,1980-01-06T03:02:02
315964924,138500,68351,4,68351,43,13,1,1980-01-06T03:02:04
315964925,338500,69551,4,69551,54,13,1,1980-01-06T03:02:05
315964926,538500,70751,5,70751,65,13,1,1980-01-06T03:02:06
315964927,738500,71951,5,71951,78,13,1,1980-01-06T03:02:07
315964928,938600,73151,5,73151,89,13,1,1980-01-06T03:02:08
3,831300,2831,0,2831,1,13,1,1970-01-01T03:00:03
4,961300,3961,0,3961,8,13,1,1970-01-01T03:00:04
6,91300,5091,0,5091,17,13,1,1970-01-01T03:00:06
315964931,350300,7417,0,7417,40,13,1,1980-01-06T03:02:11
315964931,350300,7417,0,7417,53,13,1,1980-01-06T03:02:11
315964932,550300,8617,0,8617,64,13,1,1980-01-06T03:02:12
315964939,750300,9817,8,9817,75,13,1,1980-01-06T03:02:19
315964940,950300,11017,8,11017,89,13,1,1980-01-06T03:02:20
315964942,150300,12217,8,12217,100,13,1,1980-01-06T03:02:22
315964943,350300,13417,8,13417,111,13,1,1980-01-06T03:02:23
315964943,350300,13417,8,13417,124,13,1,1980-01-06T03:02:23
315964944,550400,14617,8,14617,135,13,1,1980-01-06T03:02:24
315964945,750400,15817,8,15817,147,13,1,1980-01-06T03:02:25
315964946,950400,17017,13,17017,160,13,1,1980-01-06T03:02:26
315964948,150300,18217,13,18217,171,13,1,1980-01-06T03:02:28
315964949,350300,19417,13,19417,182,13,1,1980-01-06T03:02:29
315964949,350300,19417,13,19417,195,13,1,1980-01-06T03:02:29
315964950,550300,20617,13,20617,207,13,1,1980-01-06T03:02:30
315964951,750300,21817,13,21817,218,13,1,1980-01-06T03:02:31
315964952,950300,23017,13,23017,231,13,1,1980-01-06T03:02:32
315964954,150300,24217,13,24217,242,13,1,1980-01-06T03:02:34
315964955,350300,25417,13,25417,253,13,1,1980-01-06T03:02:35
315964955,350300,25417,13,25417,11,13,1,1980-01-06T03:02:35
315964956,550300,26617,14,26617,22,13,1,1980-01-06T03:02:36
315964957,750300,27817,14,27817,33,13,1,1980-01-06T03:02:37
315964958,950300,29017,25,29017,46,13,1,1980-01-06T03:02:38
315964960,150400,30217,25,30217,57,13,1,1980-01-06T03:02:40
315964961,350400,31417,25,31417,69,13,1,1980-01-06T03:02:41
315964961,350400,31417,25,31417,82,13,1,1980-01-06T03:02:41
315964962,550300,32617,25,32617,93,13,1,1980-01-06T03:02:42
315964963,750300,33817,25,33817,104,13,1,1980-01-06T03:02:43
315964964,950300,35017,25,35017,117,13,1,1980-01-06T03:02:44
315964966,150300,36217,25,36217,129,13,1,1980-01-06T03:02:46
315964967,350300,37417,25,37417,140,13,1,1980-01-06T03:02:47
315964967,350300,37417,25,37417,153,13,1,1980-01-06T03:02:47
315964968,550300,38617,26,38617,164,13,1,1980-01-06T03:02:48
315964969,750300,39817,26,39817,175,13,1,1980-01-06T03:02:49
315964970,950300,41017,26,41017,189,13,1,1980-01-06T03:02:50
315964972,150300,42217,26,42217,200,13,1,1980-01-06T03:02:52
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
5,662800,5951,0,5951,63,13,1,1970-01-01T03:00:05
315964804,631200,7151,0,7151,74,13,1,1980-01-06T03:00:04
315964804,631200,7151,0,7151,85,13,1,1980-01-06T03:00:04
315964805,831200,8351,0,8351,99,13,1,1980-01-06T03:00:05
315964807,31200,9551,0,9551,110,13,1,1980-01-06T03:00:07
315964808,231200,10751,0,10751,121,13,1,1980-01-06T03:00:08
315964809,431200,11951,1,11951,134,13,1,1980-01-06T03:00:09
315964810,631300,13151,1,13151,145,13,1,1980-01-06T03:00:10
315964810,631300,13151,1,13151,157,13,1,1980-01-06T03:00:10
315964811,831300,14351,1,14351,170,13,1,1980-01-06T03:00:11
315964813,31200,15551,1,15551,181,13,1,1980-01-06T03:00:13
315964814,231200,16751,1,16751,192,13,1,1980-01-06T03:00:14
315964815,431200,17951,1,17951,205,13,1,1980-01-06T03:00:15
315964816,631200,19151,1,19151,217,13,1,1980-01-06T03:00:16
315964816,631200,19151,1,19151,228,13,1,1980-01-06T03:00:16
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
5,662700,5951,0,5951,63,13,1,1970-01-01T03:00:05
315964804,631100,7151,0,7151,74,13,1,1980-01-06T03:00:04
315964804,631100,7151,0,7151,85,13,1,1980-01-06T03:00:04
315964805,831100,8351,0,8351,99,13,1,1980-01-06T03:00:05
315964807,31100,9551,0,9551,110,13,1,1980-01-06T03:00:07
315964808,231100,10751,0,10751,121,13,1,1980-01-06T03:00:08
315964809,431100,11951,0,11951,134,13,1,1980-01-06T03:00:09
315964810,631100,13151,0,13151,145,13,1,1980-01-06T03:00:10
315964810,631100,13151,0,13151,157,13,1,1980-01-06T03:00:10
315964811,831200,14351,0,14351,170,13,1,1980-01-06T03:00:11
315964813,31200,15551,0,15551,181,13,1,1980-01-06T03:00:13
315964814,231100,16751,0,16751,192,13,1,1980-01-06T03:00:14
315964815,431100,17951,0,17951,205,13,1,1980-01-06T03:00:15
315964816,631100,19151,0,19151,217,13,1,1980-01-06T03:00:16
315964816,631100,19151,0,19151,228,13,1,1980-01-06T03:00:16
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
5,662600,5951,2,5951,63,13,1,1970-01-01T03:00:05
315964804,630900,7151,3,7151,74,13,1,1980-01-06T03:00:04
315964804,630900,7151,3,7151,85,13,1,1980-01-06T03:00:04
315964805,830900,8351,3,8351,99,13,1,1980-01-06T03:00:05
315964807,30900,9551,3,9551,110,13,1,1980-01-06T03:00:07
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
5,662500,5951,2,5951,63,13,1,1970-01-01T03:00:05
315964804,630800,7151,3,7151,74,13,1,1980-01-06T03:00:04
315964804,630800,7151,3,7151,85,13,1,1980-01-06T03:00:04
315964805,830800,8351,3,8351,99,13,1,1980-01-06T03:00:05
