time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian
5,262400,5551,56.9036750793457,54,13,0,1970-01-01T03:00:05
315964803,548800,6551,56.9036750793457,67,13,0,1980-01-06T03:00:03
315964804,548700,7551,56.70701217651367,78,13,0,1980-01-06T03:00:04
315964805,548700,8551,56.70701217651367,90,13,0,1980-01-06T03:00:05
315964806,548700,9551,56.9036750793457,103,13,0,1980-01-06T03:00:06
315964807,548700,10551,56.791297912597656,114,13,0,1980-01-06T03:00:07
315964808,548700,11551,56.95986557006836,125,13,0,1980-01-06T03:00:08
315964809,548700,12551,56.97390365600586,138,13,0,1980-01-06T03:00:09
315964810,548700,13551,56.74916076660156,150,13,0,1980-01-06T03:00:10
315964811,548700,14551,56.95986557006836,161,13,0,1980-01-06T03:00:11
315964812,548700,15551,56.791297912597656,174,13,0,1980-01-06T03:00:12
315964813,548800,16551,56.791297912597656,185,13,0,1980-01-06T03:00:13
315964814,548700,17551,56.97390365600586,196,13,0,1980-01-06T03:00:14
315964815,548700,18551,56.97390365600586,210,13,0,1980-01-06T03:00:15
2,572900,1573,56.74916076660156,7,13,0,1970-01-01T03:00:02
3,572900,2573,56.74916076660156,18,13,0,1970-01-01T03:00:03
6,572900,5573,56.73511505126953,54,13,0,1970-01-01T03:00:06
315964827,871900,6573,56.9036750793457,67,13,0,1980-01-06T03:00:27
315964828,871900,7573,56.9036750793457,78,13,0,1980-01-06T03:00:28
315964829,871900,8573,56.70701217651367,90,13,0,1980-01-06T03:00:29
315964830,871900,9573,43.50300598144531,103,13,0,1980-01-06T03:00:30
315964831,871900,10573,31.282270431518555,114,13,0,1980-01-06T03:00:31
315964832,871900,11573,23.725080490112305,125,13,0,1980-01-06T03:00:32
315964833,871900,12573,18.808692932128906,138,13,0,1980-01-06T03:00:33
315964834,871900,13573,15.451504707336426,150,13,0,1980-01-06T03:00:34
315964835,871900,14573,13.063544273376465,161,13,0,1980-01-06T03:00:35
315964836,871900,15573,11.26555061340332,174,13,0,1980-01-06T03:00:36
315964837,871900,16573,9.87491512298584,185,13,0,1980-01-06T03:00:37
315964838,871900,17573,8.779263496398926,196,13,0,1980-01-06T03:00:38
315964839,871900,18573,7.88026762008667,210,13,0,1980-01-06T03:00:39
315964840,871900,19573,7.163878917694092,221,13,0,1980-01-06T03:00:40
315964841,871900,20573,6.517724990844727,232,13,0,1980-01-06T03:00:41
315964842,871900,21573,5.983945369720459,245,13,0,1980-01-06T03:00:42
315964843,871900,22573,5.590634822845459,0,13,0,1980-01-06T03:00:43
315964844,871900,23573,5.183277130126953,12,13,0,1980-01-06T03:00:44
315964845,871900,24573,4.916387557983398,25,13,0,1980-01-06T03:00:45
315964846,871900,25573,4.635450839996338,36,13,0,1980-01-06T03:00:46
315964847,871900,26573,4.3545145988464355,47,13,0,1980-01-06T03:00:47
315964848,871900,27573,4.199999809265137,60,13,0,1980-01-06T03:00:48
315964849,871900,28573,4.017390727996826,72,13,0,1980-01-06T03:00:49
315964850,871900,29573,3.8628761768341064,83,13,0,1980-01-06T03:00:50
315964851,871900,30573,3.7505016326904297,96,13,0,1980-01-06T03:00:51
2,572900,1573,18.48561668395996,7,13,0,1970-01-01T03:00:02
3,572900,2573,33.951168060302734,18,13,0,1970-01-01T03:00:03
6,572900,5573,43.376583099365234,54,13,0,1970-01-01T03:00:06
7,572900,6573,40.286285400390625,67,13,0,1970-01-01T03:00:07
315964860,634100,7573,36.3391227722168,78,13,0,1980-01-06T03:01:00
315964861,634100,8573,32.1953125,90,13,0,1980-01-06T03:01:01
315964862,634100,9573,28.318387985229492,103,13,0,1980-01-06T03:01:02
315964863,634100,10573,24.778593063354492,114,13,0,1980-01-06T03:01:03
315964864,634100,11573,21.674245834350586,125,13,0,1980-01-06T03:01:04
315964865,634100,12573,18.96320915222168,138,13,0,1980-01-06T03:01:05
315964866,634100,13573,16.645484924316406,150,13,0,1980-01-06T03:01:06
315964867,634100,14573,14.692975997924805,161,13,0,1980-01-06T03:01:07
315964868,634100,15573,13.021403312683105,174,13,0,1980-01-06T03:01:08
315964869,634100,16573,11.616722106933594,185,13,0,1980-01-06T03:01:09
315964870,634100,17573,10.42274284362793,196,13,0,1980-01-06T03:01:10
315964871,634100,18573,9.397322654724121,210,13,0,1980-01-06T03:01:11
315964872,634100,19573,8.526420593261719,221,13,0,1980-01-06T03:01:12
315964873,634100,20573,7.753845691680908,232,13,0,1980-01-06T03:01:13
315964874,634100,21573,7.121737957000732,245,13,0,1980-01-06T03:01:14
315964875,634100,22573,6.587959289550781,0,13,0,1980-01-06T03:01:15
315964876,634100,23573,6.082274436950684,12,13,0,1980-01-06T03:01:16
315964877,634100,24573,5.6749162673950195,25,13,0,1980-01-06T03:01:17
315964878,634100,25573,5.337791919708252,36,13,0,1980-01-06T03:01:18
315964879,634100,26573,5.028761863708496,47,13,0,1980-01-06T03:01:19
315964880,634100,27573,4.761872291564941,60,13,0,1980-01-06T03:01:20
315964881,634100,28573,4.537123203277588,72,13,0,1980-01-06T03:01:21
315964882,634100,29573,4.312373638153076,83,13,0,1980-01-06T03:01:22
315964883,634100,30573,4.171905994415283,96,13,0,1980-01-06T03:01:23
315964884,634100,31573,4.031437873840332,107,13,0,1980-01-06T03:01:24
315964885,634100,32573,3.9190633296966553,118,13,0,1980-01-06T03:01:25
315964886,634100,33573,3.7926416397094727,132,13,0,1980-01-06T03:01:26
315964887,634100,34573,3.6943140029907227,143,13,0,1980-01-06T03:01:27
315964888,634100,35573,3.5959863662719727,154,13,0,1980-01-06T03:01:28
315964889,634100,36573,3.5397984981536865,167,13,0,1980-01-06T03:01:29
315964890,634100,37573,3.483611583709717,178,13,0,1980-01-06T03:01:30
315964891,634100,38573,3.4414708614349365,190,13,0,1980-01-06T03:01:31
315964892,634100,39573,3.3993303775787354,203,13,0,1980-01-06T03:01:32
315964893,634100,40573,3.3571906089782715,214,13,0,1980-01-06T03:01:33
315964894,634100,41573,3.3431434631347656,225,13,0,1980-01-06T03:01:34
315964895,634100,42573,3.3571906089782715,238,13,0,1980-01-06T03:01:35
315964896,634100,43573,3.3431434631347656,250,13,0,1980-01-06T03:01:36
315964897,634100,44573,3.3431434631347656,5,13,0,1980-01-06T03:01:37
315964898,634100,45573,3.329096555709839,18,13,0,1980-01-06T03:01:38
315964899,634100,46573,3.3571906089782715,29,13,0,1980-01-06T03:01:39
315964900,634100,47573,3.3431434631347656,40,13,0,1980-01-06T03:01:40
315964901,634100,48573,3.3712375164031982,54,13,0,1980-01-06T03:01:41
315964902,634100,49573,3.3712375164031982,65,13,0,1980-01-06T03:01:42
315964903,634100,50573,3.385283946990967,76,13,0,1980-01-06T03:01:43
315964907,360100,51573,3.4414708614349365,89,13,0,1980-01-06T03:01:47
315964908,360100,52573,3.4555180072784424,100,13,0,1980-01-06T03:01:48
315964909,360100,53573,3.469564914703369,112,13,0,1980-01-06T03:01:49
315964910,360100,54573,3.4976587295532227,125,13,0,1980-01-06T03:01:50
315964911,360100,55573,3.5397984981536865,136,13,0,1980-01-06T03:01:51
315964912,360100,56573,3.5538458824157715,147,13,0,1980-01-06T03:01:52
315964913,360100,57573,3.5959863662719727,160,13,0,1980-01-06T03:01:53
