time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian
5,462300,5751,4046,3067,2278,3,0.23778413236141205,1938,19,11,1,0.014039941132068634,3277,174,92,1,17.482553482055664,57,13,0,1970-01-01T03:00:05
315964803,748700,6751,4048,3164,2411,3,0.21242454648017883,2019,20,11,1,0.015167273581027985,3352,196,103,1,14.04146671295166,69,13,0,1980-01-06T03:00:03
315964804,748800,7751,4050,3246,2534,3,0.19092662632465363,2097,20,13,1,0.016336962580680847,3418,218,115,1,11.408955574035645,80,13,0,1980-01-06T03:00:04
315964805,748800,8751,4052,3313,2638,3,0.1740167737007141,2164,21,12,1,0.01741522178053856,3473,239,127,1,9.474533081054688,93,13,0,1980-01-06T03:00:05
315964806,748700,9751,4055,3369,2726,3,0.16050970554351807,2229,21,11,1,0.018533481284976006,3520,262,139,1,7.995157241821289,105,13,0,1980-01-06T03:00:06
315964807,748700,10751,4008,3462,2907,3,0.13473086059093475,2337,26,15,1,0.020569952204823494,3566,313,166,1,6.692804336547852,116,13,0,1980-01-06T03:00:07
315964808,748700,11751,4024,3497,2954,3,0.12842747569084167,2418,27,14,1,0.022265451028943062,3621,347,185,1,5.313418388366699,128,13,0,1980-01-06T03:00:08
315964809,748700,12751,4026,3516,2986,3,0.12421907484531403,2493,29,15,1,0.023984834551811218,3665,383,205,1,4.341400146484375,140,13,0,1980-01-06T03:00:09
315964810,748700,13751,4032,3540,3021,3,0.11969007551670074,2562,29,14,1,0.02571205422282219,3700,420,225,2,2.832508087158203,152,13,0,1980-01-06T03:00:10
315964811,748700,14751,4033,3555,3046,3,0.11650067567825317,2624,30,14,1,0.027399370446801186,3727,454,244,2,2.411829948425293,164,13,0,1980-01-06T03:00:11
315964812,748700,15751,4027,3558,3058,3,0.11498289555311203,2672,32,16,1,0.028804611414670944,3743,486,262,2,2.0926384925842285,176,13,0,1980-01-06T03:00:12
315964813,748700,16751,4033,3576,3085,3,0.11159823089838028,2726,32,14,1,0.030500950291752815,3770,521,281,2,1.8078415393829346,187,13,0,1980-01-06T03:00:13
315964814,748800,17751,4028,3577,3091,3,0.11085168272256851,2764,35,17,1,0.0317755751311779,3780,550,299,2,1.6114839315414429,199,13,0,1980-01-06T03:00:14
315964815,748800,18751,4030,3587,3108,3,0.10874731838703156,2804,36,18,1,0.03319679945707321,3795,581,317,2,1.433011770248413,212,13,0,1980-01-06T03:00:15
2,772900,1773,4060,3607,3117,3,0.10763965547084808,2993,41,18,1,0.04127947986125946,3885,755,419,2,0.8047060966491699,9,13,0,1970-01-01T03:00:02
6,772900,5773,4056,3628,3159,3,0.10252756625413895,2999,41,19,1,0.04158088564872742,3893,808,451,2,0.6893743276596069,57,13,0,1970-01-01T03:00:06
315964828,71900,6773,4056,3633,3169,3,0.10132390260696411,3006,42,19,1,0.04193664714694023,3898,826,465,2,0.6552391648292542,69,13,0,1980-01-06T03:00:28
315964829,71900,7773,4056,3637,3177,3,0.10036461055278778,3014,42,20,1,0.042348772287368774,3903,849,478,2,0.614800751209259,80,13,0,1980-01-06T03:00:29
315964830,71900,8773,4062,3649,3194,3,0.09833672642707825,3030,41,18,1,0.04319128766655922,3912,876,495,2,0.5714186429977417,93,13,0,1980-01-06T03:00:30
