time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian
3,351300,2373,12.970000267028809,102501,-97.43588256835938,15,13,1,1970-01-01T03:00:03
6,62300,6373,13.010000228881836,102519,-98.92060852050781,64,13,1,1970-01-01T03:00:06
315964804,348700,7373,12.979999542236328,102497,-97.10594177246094,75,13,1,1980-01-06T03:00:04
315964805,348700,8373,13.020000457763672,102517,-98.7556381225586,87,13,1,1980-01-06T03:00:05
315964806,348700,9373,13.0,102503,-97.6008529663086,100,13,1,1980-01-06T03:00:06
315964807,348700,10373,13.010000228881836,102496,-97.0234603881836,111,13,1,1980-01-06T03:00:07
315964808,348700,11373,13.039999961853027,102517,-98.7556381225586,122,13,1,1980-01-06T03:00:08
315964809,348700,12373,13.039999961853027,102517,-98.7556381225586,135,13,1,1980-01-06T03:00:09
315964810,348700,13373,13.050000190734863,102518,-98.83812713623047,147,13,1,1980-01-06T03:00:10
315964811,348800,14373,13.039999961853027,102498,-97.18842315673828,158,13,1,1980-01-06T03:00:11
315964812,348800,15373,13.050000190734863,102504,-97.68333435058594,171,13,1,1980-01-06T03:00:12
315964813,348700,16373,13.069999694824219,102517,-98.7556381225586,182,13,1,1980-01-06T03:00:13
315964814,348700,17373,13.0600004196167,102501,-97.43588256835938,193,13,1,1980-01-06T03:00:14
315964815,348700,18373,13.09000015258789,102519,-98.92060852050781,207,13,1,1980-01-06T03:00:15
2,372900,1395,13.140000343322754,102518,-98.83812713623047,5,13,1,1970-01-01T03:00:02
3,372900,2395,13.130000114440918,102500,-97.3533935546875,16,13,1,1970-01-01T03:00:03
315964827,671900,6395,13.1899995803833,102518,-98.83812713623047,65,13,1,1980-01-06T03:00:27
315964828,671900,7395,13.1899995803833,102519,-98.92060852050781,76,13,1,1980-01-06T03:00:28
315964829,671900,8395,13.199999809265137,102517,-98.7556381225586,88,13,1,1980-01-06T03:00:29
315964830,671900,9395,13.1899995803833,102507,-97.93079376220703,101,13,1,1980-01-06T03:00:30
315964831,671900,10395,13.199999809265137,102506,-97.84830474853516,112,13,1,1980-01-06T03:00:31
315964832,671900,11395,13.220000267028809,102517,-98.7556381225586,123,13,1,1980-01-06T03:00:32
315964833,671900,12395,13.229999542236328,102519,-98.92060852050781,136,13,1,1980-01-06T03:00:33
315964834,671900,13395,13.239999771118164,102520,-99.00308990478516,148,13,1,1980-01-06T03:00:34
