time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian
315964805,552500,8555,1,2,0,1,3,2,6548,315964797,286491,91,13,0,1980-01-06T03:00:05
315964808,552500,11555,1,2,0,1,6,2,6548,315964797,286491,126,13,0,1980-01-06T03:00:08
315964811,552500,14555,1,2,0,1,9,2,6548,315964797,286491,162,13,0,1980-01-06T03:00:11
315964814,552500,17555,1,2,0,1,11,2,6548,315964797,286491,197,13,0,1980-01-06T03:00:14
3,576700,2577,2,3,0,0,0,0,0,0,0,19,13,0,1970-01-01T03:00:03
6,576700,5577,2,3,0,0,0,0,0,0,0,55,13,0,1970-01-01T03:00:06
315964829,875700,8577,2,3,0,1,3,1,5948,315964820,299098,91,13,0,1980-01-06T03:00:29
315964832,875700,11577,2,3,0,1,6,1,5948,315964820,299098,126,13,0,1980-01-06T03:00:32
315964835,875700,14577,2,3,0,1,8,1,5948,315964820,299098,162,13,0,1980-01-06T03:00:35
315964838,875700,17577,2,3,0,1,11,1,5948,315964820,299098,197,13,0,1980-01-06T03:00:38
315964841,875700,20577,2,3,0,1,14,1,5948,315964820,299098,233,13,0,1980-01-06T03:00:41
315964844,875700,23577,2,3,0,1,16,1,5948,315964820,299098,13,13,0,1980-01-06T03:00:44
315964847,875700,26577,2,3,0,1,19,1,5948,315964820,299098,48,13,0,1980-01-06T03:00:47
315964850,875700,29577,2,3,0,1,22,1,5948,315964820,299098,84,13,0,1980-01-06T03:00:50
3,576700,2577,8,2,0,0,0,0,0,0,0,19,13,0,1970-01-01T03:00:03
6,576700,5577,8,2,0,0,0,0,0,0,0,55,13,0,1970-01-01T03:00:06
315964861,637900,8577,8,2,0,1,2,1,6748,315964852,61295,91,13,0,1980-01-06T03:01:01
315964864,637900,11577,8,2,0,1,5,1,6748,315964852,61295,126,13,0,1980-01-06T03:01:04
315964867,637900,14577,8,2,0,1,8,1,6748,315964852,61295,162,13,0,1980-01-06T03:01:07
315964870,637900,17577,8,2,0,1,10,1,6748,315964852,61295,197,13,0,1980-01-06T03:01:10
315964873,637900,20577,8,2,0,1,13,1,6748,315964852,61295,233,13,0,1980-01-06T03:01:13
315964876,637900,23577,8,2,0,1,16,1,6748,315964852,61295,13,13,0,1980-01-06T03:01:16
315964879,637900,26577,8,2,0,1,18,1,6748,315964852,61295,48,13,0,1980-01-06T03:01:19
