time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
1,12000,5174,13.6875,44,12,2,1970-01-01T03:00:01
4,855000,5191,13.75,48,12,2,1970-01-01T03:00:04
5,812000,6149,13.75,74,12,2,1970-01-01T03:00:05
315964804,37000,7160,13.75,102,12,2,1980-01-06T03:00:04
315964804,997000,8079,13.75,112,12,2,1980-01-06T03:00:04
315964805,955000,9074,13.75,118,12,2,1980-01-06T03:00:05
315964806,915000,10074,13.75,140,12,2,1980-01-06T03:00:06
315964807,877000,11077,13.75,165,12,2,1980-01-06T03:00:07
315964808,837000,12077,13.75,192,12,2,1980-01-06T03:00:08
315964809,796000,13073,13.75,226,12,2,1980-01-06T03:00:09
315964810,755000,14073,13.75,236,12,2,1980-01-06T03:00:10
315964811,717000,15075,13.75,244,12,2,1980-01-06T03:00:11
315964812,676000,16074,13.75,254,12,2,1980-01-06T03:00:12
315964813,942000,17072,13.75,6,12,2,1980-01-06T03:00:13
315964814,905000,18075,13.75,16,12,2,1980-01-06T03:00:14
315964815,863000,19073,13.75,24,12,2,1980-01-06T03:00:15
315964816,822000,20073,13.75,34,12,2,1980-01-06T03:00:16
315964817,784000,21075,13.75,42,12,2,1980-01-06T03:00:17
315964818,744000,22074,13.75,52,12,2,1980-01-06T03:00:18
315964819,705000,23076,13.75,60,12,2,1980-01-06T03:00:19
315964820,665000,24075,13.75,70,12,2,1980-01-06T03:00:20
315964821,933000,25073,13.75,78,12,2,1980-01-06T03:00:21
315964825,772000,29761,13.8125,187,12,2,1980-01-06T03:00:25
315964826,733000,30073,13.75,191,12,2,1980-01-06T03:00:26
315964827,695000,31075,13.75,199,12,2,1980-01-06T03:00:27
315964828,655000,32075,13.75,222,12,2,1980-01-06T03:00:28
315964829,612000,33073,13.8125,230,12,2,1980-01-06T03:00:29
315964830,572000,34072,13.75,240,12,2,1980-01-06T03:00:30
315964831,947000,35074,13.75,248,12,2,1980-01-06T03:00:31
315964832,906000,36074,13.75,10,12,2,1980-01-06T03:00:32
315964833,868000,37076,13.8125,18,12,2,1980-01-06T03:00:33
315964834,828000,38075,13.75,28,12,2,1980-01-06T03:00:34
315964835,786000,39073,13.8125,36,12,2,1980-01-06T03:00:35
315964836,745000,40073,13.8125,54,12,2,1980-01-06T03:00:36
315964837,707000,41075,13.8125,62,12,2,1980-01-06T03:00:37
315964838,667000,42074,13.8125,92,12,2,1980-01-06T03:00:38
315964839,937000,43072,13.8125,100,12,2,1980-01-06T03:00:39
315964840,897000,44072,13.8125,119,12,2,1980-01-06T03:00:40
315964841,858000,45074,13.8125,127,12,2,1980-01-06T03:00:41
315964842,818000,46074,13.8125,155,12,2,1980-01-06T03:00:42
315964843,776000,47072,13.8125,163,12,2,1980-01-06T03:00:43
315964844,736000,48072,13.8125,181,12,2,1980-01-06T03:00:44
315964845,698000,49074,13.8125,189,12,2,1980-01-06T03:00:45
315964846,658000,50074,13.8125,202,12,2,1980-01-06T03:00:46
315964847,929000,51076,13.8125,210,12,2,1980-01-06T03:00:47
315964848,889000,52075,13.8125,233,12,2,1980-01-06T03:00:48
315964849,847000,53073,13.8125,241,12,2,1980-01-06T03:00:49
315964850,807000,54073,13.8125,255,12,2,1980-01-06T03:00:50
315964851,768000,55075,13.8125,7,12,2,1980-01-06T03:00:51
315964852,728000,56075,13.8125,17,12,2,1980-01-06T03:00:52
315964853,686000,57072,13.8125,25,12,2,1980-01-06T03:00:53
315964857,526000,61554,13.8125,51,12,2,1980-01-06T03:00:57
315964858,487000,62074,13.8125,55,12,2,1980-01-06T03:00:58
315964859,447000,63073,13.8125,65,12,2,1980-01-06T03:00:59
315964860,817000,64075,13.8125,73,12,2,1980-01-06T03:01:00
315964861,777000,65075,13.8125,83,12,2,1980-01-06T03:01:01
315964862,735000,66073,13.8125,91,12,2,1980-01-06T03:01:02
315964863,694000,67072,13.8125,101,12,2,1980-01-06T03:01:03
315964864,656000,68074,13.8125,109,12,2,1980-01-06T03:01:04
315964865,616000,69074,13.8125,119,12,2,1980-01-06T03:01:05
315964866,941000,70076,13.8125,127,12,2,1980-01-06T03:01:06
315964867,900000,71075,13.8125,137,12,2,1980-01-06T03:01:07
315964868,858000,72073,13.8125,145,12,2,1980-01-06T03:01:08
315964869,818000,73073,13.875,155,12,2,1980-01-06T03:01:09
315964870,780000,74075,13.875,163,12,2,1980-01-06T03:01:10
315964871,739000,75074,13.875,173,12,2,1980-01-06T03:01:11
315964872,697000,76072,13.875,181,12,2,1980-01-06T03:01:12
315964873,660000,77076,13.875,191,12,2,1980-01-06T03:01:13
315964874,927000,78074,13.875,199,12,2,1980-01-06T03:01:14
315964875,887000,79073,13.875,209,12,2,1980-01-06T03:01:15
315964876,849000,80075,13.875,217,12,2,1980-01-06T03:01:16
315964877,808000,81075,13.875,227,12,2,1980-01-06T03:01:17
315964878,767000,82073,13.875,235,12,2,1980-01-06T03:01:18
315964879,726000,83072,13.875,245,12,2,1980-01-06T03:01:19
315964880,688000,84074,13.875,253,12,2,1980-01-06T03:01:20
315964881,941000,85074,13.875,7,12,2,1980-01-06T03:01:21
315964882,903000,86076,13.875,15,12,2,1980-01-06T03:01:22
315964883,862000,87075,13.875,25,12,2,1980-01-06T03:01:23
315964884,820000,88073,13.875,33,12,2,1980-01-06T03:01:24
315964885,780000,89073,13.875,43,12,2,1980-01-06T03:01:25
315964886,742000,90075,13.875,51,12,2,1980-01-06T03:01:26
315964887,701000,91074,13.9375,61,12,2,1980-01-06T03:01:27
315964888,660000,92072,13.875,69,12,2,1980-01-06T03:01:28
315964889,952000,93076,13.9375,79,12,2,1980-01-06T03:01:29
315964890,910000,94074,13.9375,87,12,2,1980-01-06T03:01:30
315964891,869000,95073,13.9375,97,12,2,1980-01-06T03:01:31
315964892,831000,96075,13.9375,105,12,2,1980-01-06T03:01:32
315964893,791000,97075,13.9375,115,12,2,1980-01-06T03:01:33
315964894,749000,98072,13.9375,123,12,2,1980-01-06T03:01:34
315964895,712000,99076,13.9375,133,12,2,1980-01-06T03:01:35
315964896,670000,100074,13.9375,141,12,2,1980-01-06T03:01:36
315964897,939000,101073,13.9375,151,12,2,1980-01-06T03:01:37
315964898,900000,102075,13.9375,159,12,2,1980-01-06T03:01:38
315964899,860000,103074,13.9375,169,12,2,1980-01-06T03:01:39
315964900,818000,104072,13.9375,177,12,2,1980-01-06T03:01:40
315964901,781000,105076,13.9375,187,12,2,1980-01-06T03:01:41
315964902,739000,106074,13.9375,195,12,2,1980-01-06T03:01:42
315964903,698000,107073,13.9375,205,12,2,1980-01-06T03:01:43
315964904,660000,108075,13.9375,213,12,2,1980-01-06T03:01:44
315964907,20000,109074,14.0,223,12,2,1980-01-06T03:01:47
315964907,978000,110072,14.0,231,12,2,1980-01-06T03:01:47
