time_s,time_us,time_steady,update_time_operator,update_time_radio,last_packet_time,last_packet_rssi,last_packet_snr,last_packet_signal_rssi,last_executed_cmd_seq,radio_error_bits,radio_state,count_packet_recieved,count_crc_errors,count_hdr_errors,count_mavlink_msgs_recieved,count_operator_cmds_recieved,count_operator_cmds_executed,count_operator_errors,seq,srcSystem,srcComponent,time_gregorian
1633357036,776130,1013,1003,1013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,3,10,0,1970-01-01T03:00:01
1633357037,776155,2003,2003,2003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,6,10,0,1970-01-01T03:00:02
1633357038,776324,3003,3003,2973,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,9,10,0,1970-01-01T03:00:03
1633357039,776131,4003,4003,3993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,12,10,0,1970-01-01T03:00:04
1633357040,776156,5003,5003,4973,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,15,10,0,1970-01-01T03:00:05
1633357041,776325,6003,6003,5993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,18,10,0,1980-01-06T03:00:03
1633357042,776132,7003,6993,7003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,21,10,0,1980-01-06T03:00:04
1633357043,776157,8003,7993,8003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,24,10,0,1980-01-06T03:00:05
1633357044,776325,9003,9003,8993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,27,10,0,1980-01-06T03:00:06
1633357045,785827,10013,10003,10013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,30,10,0,1980-01-06T03:00:07
1633357046,786636,11014,11003,11014,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,33,10,0,1980-01-06T03:00:08
1633357047,776260,12003,12003,12003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,36,10,0,1980-01-06T03:00:09
1633357048,776326,13003,13003,12953,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,39,10,0,1980-01-06T03:00:10
1633357049,785946,14013,14003,14013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,42,10,0,1980-01-06T03:00:11
1633357050,786927,15014,15003,15014,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,45,10,0,1980-01-06T03:00:12
1633357051,776326,16003,16003,15933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,48,10,0,1980-01-06T03:00:13
1633357052,785789,17013,17003,17013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,51,10,0,1980-01-06T03:00:14
1633357053,785866,18013,18003,18013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,54,10,0,1980-01-06T03:00:15
1633357054,776245,19003,19003,18993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,57,10,0,1980-01-06T03:00:16
1633357055,776326,20003,20003,19993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,60,10,0,1980-01-06T03:00:17
1633357056,776349,21003,21003,20933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,63,10,0,1980-01-06T03:00:18
1633357057,775957,22003,22003,22003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,66,10,0,1980-01-06T03:00:19
1633357058,776301,23003,23003,22993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,69,10,0,1980-01-06T03:00:20
1633357059,785791,24013,24003,24013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,72,10,0,1980-01-06T03:00:21
1633357060,776322,25003,25003,24993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,75,10,0,1980-01-06T03:00:22
1633357061,775938,26003,26003,25993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,78,10,0,1980-01-06T03:00:23
1633357062,775980,27003,27003,26994,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,81,10,0,1980-01-06T03:00:24
1633357063,776237,28003,27993,28003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,84,10,0,1980-01-06T03:00:25
1633357064,776329,29003,29003,28993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,87,10,0,1980-01-06T03:00:26
1633357065,776330,30003,30003,29984,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,90,10,0,1980-01-06T03:00:27
1633357066,776330,31003,31003,30983,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,93,10,0,1980-01-06T03:00:28
1633357067,776334,32003,32003,31993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,96,10,0,1980-01-06T03:00:29
