time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian
1633357037,632000,668,-2.1968994140625,7.85200023651123,0,12,0,1970-01-01T03:00:00
1633357038,272000,5180,-1.19595336914063,8.02000045776367,48,12,0,1970-01-01T03:00:01
1633357039,972000,5190,-0.93896484375,8.03600025177002,52,12,0,1970-01-01T03:00:04
1633357040,612000,5856,-0.944000244140625,8.0600004196167,61,12,0,1970-01-01T03:00:05
1633357041,251000,6522,-0.946929931640625,8.0600004196167,73,12,0,1970-01-01T03:00:06
1633357042,636000,7193,-0.937957763671875,8.0600004196167,108,12,0,1980-01-06T03:00:04
1633357043,278000,7858,-1.03097534179688,8.06400012969971,113,12,0,1980-01-06T03:00:05
1633357043,918000,8525,-0.647003173828125,8.0959997177124,132,12,0,1980-01-06T03:00:05
1633357044,558000,9192,-0.696990966796875,8.07600021362305,160,12,0,1980-01-06T03:00:06
1633357045,200000,9860,-0.86297607421875,8.07600021362305,162,12,0,1980-01-06T03:00:07
1633357045,840000,10527,-0.87396240234375,8.07999992370606,173,12,0,1980-01-06T03:00:07
1633357046,480000,11194,-1.71295166015625,7.94000005722046,191,12,0,1980-01-06T03:00:08
1633357047,122000,11862,-1.46392822265625,7.97599983215332,193,12,0,1980-01-06T03:00:09
1633357047,762000,12529,-1.4549560546875,7.98000001907349,221,12,0,1980-01-06T03:00:09
1633357048,402000,13196,-1.46694946289063,7.97599983215332,229,12,0,1980-01-06T03:00:10
1633357049,43000,13864,-1.70498657226563,7.93200016021729,231,12,0,1980-01-06T03:00:11
1633357049,683000,14531,-1.69097900390625,7.94000005722046,239,12,0,1980-01-06T03:00:11
1633357050,323000,15197,-1.4659423828125,7.96000003814697,247,12,0,1980-01-06T03:00:12
1633357050,965000,15866,-1.57992553710938,7.97200012207031,249,12,0,1980-01-06T03:00:12
1633357051,909000,16532,-1.699951171875,7.95599985122681,1,12,0,1980-01-06T03:00:13
1633357052,549000,17198,-1.71295166015625,7.93200016021729,9,12,0,1980-01-06T03:00:14
1633357053,190000,17867,-1.4619140625,7.97599983215332,11,12,0,1980-01-06T03:00:15
1633357053,830000,18533,-1.45294189453125,7.97200012207031,19,12,0,1980-01-06T03:00:15
1633357054,470000,19200,-1.47097778320313,7.97200012207031,27,12,0,1980-01-06T03:00:16
1633357055,112000,19868,-1.7149658203125,7.93200016021729,29,12,0,1980-01-06T03:00:17
1633357055,751000,20534,-1.718994140625,7.93200016021729,37,12,0,1980-01-06T03:00:17
1633357056,391000,21201,-1.699951171875,7.93200016021729,45,12,0,1980-01-06T03:00:18
1633357057,33000,21869,-1.68997192382813,7.93599987030029,47,12,0,1980-01-06T03:00:19
1633357057,672000,22536,-1.636962890625,7.97200012207031,55,12,0,1980-01-06T03:00:19
1633357058,312000,23202,-1.51895141601563,7.97200012207031,63,12,0,1980-01-06T03:00:20
1633357058,954000,23871,-1.44699096679688,7.96799993515015,65,12,0,1980-01-06T03:00:20
1633357059,901000,24537,-1.45394897460938,7.96799993515015,73,12,0,1980-01-06T03:00:21
1633357060,540000,25203,-1.44900512695313,7.96799993515015,81,12,0,1980-01-06T03:00:22
1633357061,182000,25872,-1.43600463867188,7.97200012207031,83,12,0,1980-01-06T03:00:23
1633357061,822000,26539,-1.61993408203125,7.97200012207031,91,12,0,1980-01-06T03:00:23
1633357062,461000,27205,-1.67495727539063,7.96400022506714,99,12,0,1980-01-06T03:00:24
1633357063,103000,27874,-1.677978515625,7.93200016021729,101,12,0,1980-01-06T03:00:25
1633357063,743000,28540,-1.67596435546875,7.93200016021729,109,12,0,1980-01-06T03:00:25
1633357064,382000,29206,-1.68292236328125,7.93200016021729,117,12,0,1980-01-06T03:00:26
1633357065,24000,29875,-1.67697143554688,7.93200016021729,119,12,0,1980-01-06T03:00:27
1633357065,664000,30541,-1.45294189453125,7.96799993515015,127,12,0,1980-01-06T03:00:27
1633357066,303000,31208,-1.44699096679688,7.96799993515015,135,12,0,1980-01-06T03:00:28
