time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
1633357039,630600,1152,9.86225452169913,110000,42.8547554716723,-698.238891601563,0,13,2,1970-01-01T03:00:02
1633357040,630600,2152,9.90402559212328,110000,46.8551056873069,-698.238891601563,11,13,2,1970-01-01T03:00:03
1633357041,630600,6152,9.92266192204918,110000,49.7901676340428,-698.238891601563,60,13,2,1970-01-01T03:00:05
1633357042,630600,7152,9.93358666895622,110000,49.7846266411883,-698.238891601563,71,13,2,1980-01-06T03:00:04
1633357043,630600,8152,9.94547536561304,110000,49.686348739831,-698.238891601563,82,13,2,1980-01-06T03:00:05
1633357044,630600,9152,9.96411170404499,110000,49.5650292495964,-698.238891601563,96,13,2,1980-01-06T03:00:06
1633357045,630600,10152,9.97664303720996,110000,49.4957384574162,-698.238891601563,107,13,2,1980-01-06T03:00:07
1633357046,630700,11152,9.99078095362586,110000,49.3510914078285,-698.238891601563,118,13,2,1980-01-06T03:00:08
1633357047,630700,12152,10.0052401886005,110000,49.212236939457,-698.238891601563,131,13,2,1980-01-06T03:00:09
1633357048,630600,13152,10.0200207422874,110000,49.0733760565566,-698.238891601563,142,13,2,1980-01-06T03:00:10
1633357049,630600,14152,10.0270897035967,110000,49.0039312628428,-698.238891601563,154,13,2,1980-01-06T03:00:11
1633357050,630600,15152,10.0466900082869,110000,48.8651534119042,-698.238891601563,167,13,2,1980-01-06T03:00:12
1633357051,630600,16152,10.062434518397,110000,48.7262694019212,-698.238891601563,178,13,2,1980-01-06T03:00:13
1633357052,630600,17152,10.0839627305164,110000,48.5990959476174,-698.238891601563,189,13,2,1980-01-06T03:00:14
1633357053,630600,18152,10.1022777806656,110000,48.4718399860976,-698.238891601563,202,13,2,1980-01-06T03:00:15
1633357054,630600,19152,10.1115959654924,110000,48.4082101208915,-698.238891601563,214,13,2,1980-01-06T03:00:16
1633357055,630600,20152,10.1205928345084,110000,48.2865427285108,-698.238891601563,225,13,2,1980-01-06T03:00:17
1633357056,630600,21152,10.1373013079027,110000,48.1650184665902,-698.238891601563,238,13,2,1980-01-06T03:00:18
1633357057,630700,22152,10.162364023758,110000,48.0494535966637,-698.238891601563,249,13,2,1980-01-06T03:00:19
1633357058,630700,23152,10.1697543130871,110000,47.9915629952396,-698.238891601563,4,13,2,1980-01-06T03:00:20
1633357059,630600,24152,10.1912825506474,110000,47.870096949079,-698.238891601563,18,13,2,1980-01-06T03:00:21
1633357060,630600,25152,10.2083123541237,110000,47.7485287388577,-698.238891601563,29,13,2,1980-01-06T03:00:22
1633357061,630600,26152,10.2131321104044,110000,47.6325243919181,-698.238891601563,40,13,2,1980-01-06T03:00:23
1633357062,630600,27152,10.2404440674931,110000,47.516928779194,-698.238891601563,53,13,2,1980-01-06T03:00:24
1633357063,630600,28152,10.250404900946,110000,47.4532500194256,-698.238891601563,64,13,2,1980-01-06T03:00:25
1633357064,630600,29152,10.2680773500834,110000,47.3432563316503,-698.238891601563,76,13,2,1980-01-06T03:00:26
1633357065,630600,30152,10.2725757922311,110000,47.2272104291383,-698.238891601563,89,13,2,1980-01-06T03:00:27
1633357066,630600,31152,10.2960319584687,110000,47.105683260197,-698.238891601563,100,13,2,1980-01-06T03:00:28
1633357067,630600,32152,10.3072780677176,110000,47.0594242657739,-698.238891601563,111,13,2,1980-01-06T03:00:29
1633357068,630700,33152,10.3365179582823,110000,46.9553920819491,-698.238891601563,124,13,2,1980-01-06T03:00:30
1633357069,630700,34152,10.3477640725448,110000,46.8510419840861,-698.238891601563,136,13,2,1980-01-06T03:00:31
1633357070,630600,35152,10.3477640725448,110000,46.740686180943,-698.238891601563,147,13,2,1980-01-06T03:00:32
1633357071,630600,36152,10.3593315058105,110000,46.6421328955888,-698.238891601563,160,13,2,1980-01-06T03:00:33
1633357072,630600,37152,10.3863221891604,110000,46.590293889386,-698.238891601563,171,13,2,1980-01-06T03:00:34
1633357073,630600,38152,10.4017454403905,110000,46.4917859264121,-698.238891601563,182,13,2,1980-01-06T03:00:35
1633357074,630600,39152,10.4197392368028,110000,46.3875013324371,-698.238891601563,196,13,2,1980-01-06T03:00:36
1633357075,630600,40152,10.4377330367804,110000,46.2890118595401,-698.238891601563,207,13,2,1980-01-06T03:00:37
1633357076,630600,41152,10.4091357491998,110000,46.2362754968443,-698.238891601563,218,13,2,1980-01-06T03:00:38
1633357077,630600,42152,10.4284148184898,110000,46.1377987071351,-698.238891601563,231,13,2,1980-01-06T03:00:39
1633357078,630700,43152,10.4705074673289,110000,46.0396493605292,-698.238891601563,242,13,2,1980-01-06T03:00:40
1633357079,630600,44152,10.484324142575,110000,45.9468744382419,-698.238891601563,254,13,2,1980-01-06T03:00:41
1633357080,630600,45152,10.5007113647779,110000,45.8425040855123,-698.238891601563,11,13,2,1980-01-06T03:00:42
1633357081,630600,46152,10.5097082723428,109805.272864439,45.7961380100645,-683.06494140625,22,13,2,1980-01-06T03:00:43
1633357082,630600,47152,10.4962129113297,109159.246193894,45.6913281845882,-632.56689453125,33,13,2,1980-01-06T03:00:44
1633357083,630600,48152,10.5052098184489,108528.442743632,45.6100835455496,-583.023620605469,46,13,2,1980-01-06T03:00:45
1633357084,630600,49152,10.5501943674146,107917.332277699,45.511888905635,-534.803833007813,58,13,2,1980-01-06T03:00:46
1633357085,630600,50152,10.5537288686346,107614.051998449,45.4712474269921,-510.791748046875,69,13,2,1980-01-06T03:00:47
1633357086,630600,51152,10.5643323731201,107017.652312252,45.3841893507826,-463.408386230469,82,13,2,1980-01-06T03:00:48
1633357087,630600,52152,10.5746145604702,106433.575286092,45.2971221682042,-416.797088623047,93,13,2,1980-01-06T03:00:49
1633357088,630700,53152,10.5736506053567,105867.113727349,45.2157151450179,-371.393341064453,104,13,2,1980-01-06T03:00:50
1633357089,630700,54152,10.5775064258722,105329.046094793,45.1343666992381,-328.081176757812,118,13,2,1980-01-06T03:00:51
1633357090,630600,55152,10.5897165252513,105077.723691059,45.0821955599839,-307.789428710937,129,13,2,1980-01-06T03:00:52
1633357091,630600,56152,10.6334158417436,104585.085773955,45.0304159700144,-267.8984375,140,13,2,1980-01-06T03:00:53
1633357092,630600,57152,10.6469112231453,104141.940783577,44.9375402450361,-231.885177612305,153,13,2,1980-01-06T03:00:54
1633357093,630600,58152,10.6292387002876,103742.675451738,44.8675381392516,-199.331115722656,164,13,2,1980-01-06T03:00:55
1633357094,630600,59152,10.6314879302785,103559.16100855,44.82685932261,-184.333999633789,176,13,2,1980-01-06T03:00:56
1633357095,630600,60152,10.6446619927724,103258.574558084,44.7688615841595,-159.723861694336,189,13,2,1980-01-06T03:00:57
1633357096,630600,61152,10.6543015519055,103033.051741862,44.7166358998705,-141.219863891602,200,13,2,1980-01-06T03:00:58
1633357097,630600,62152,10.6999288123524,102886.107778156,44.6822749096519,-129.146057128906,211,13,2,1980-01-06T03:00:59
1633357098,630700,63152,10.7102110150548,102795.134446143,44.6300458146914,-121.663558959961,224,13,2,1980-01-06T03:01:00
1633357099,630700,64152,10.7172800300879,102766.613153929,44.6184936776747,-119.316955566406,236,13,2,1980-01-06T03:01:01
1633357100,630600,65152,10.6938237550487,102717.80329246,44.594955818324,-115.299072265625,247,13,2,1980-01-06T03:01:02
1633357101,630600,66152,10.7127815659122,102700.226293457,44.5544559825043,-113.851943969727,4,13,2,1980-01-06T03:01:03
1633357102,630600,67152,10.718243986726,102687.918458753,44.5312503910234,-112.83895111084,15,13,2,1980-01-06T03:01:04
1633357103,630600,68152,10.7596941318421,102691.34557275,44.5142682613338,-113.120658874512,26,13,2,1980-01-06T03:01:05
1633357104,630600,69152,10.7760814037342,102690.943905197,44.4795466152432,-113.087860107422,40,13,2,1980-01-06T03:01:06
1633357105,630600,70152,10.7555169845779,102682.23401564,44.4560455522308,-112.370719909668,51,13,2,1980-01-06T03:01:07
