time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian
1633357040,55900,1577,0,1,147,1,1148,1,147,1,1148,8,13,0,1970-01-01T03:00:02
1633357041,55900,5577,0,1,147,1,1148,1,147,1,1148,56,13,0,1970-01-01T03:00:05
1633357042,55900,6577,0,1,147,1,1148,1,147,1,1148,68,13,0,1980-01-06T03:00:04
1633357043,55900,7577,0,1,147,1,1148,1,147,1,1148,79,13,0,1980-01-06T03:00:05
1633357044,56000,8577,0,1,147,1,1148,1,147,1,1148,92,13,0,1980-01-06T03:00:06
1633357045,55900,9577,0,1,147,1,1148,1,147,1,1148,104,13,0,1980-01-06T03:00:07
1633357046,55900,10577,0,1,147,1,1148,1,147,1,1148,115,13,0,1980-01-06T03:00:08
1633357047,56000,11577,0,1,147,1,1148,1,147,1,1148,127,13,0,1980-01-06T03:00:09
1633357048,55900,12577,0,1,147,1,1148,1,147,1,1148,139,13,0,1980-01-06T03:00:10
1633357049,55900,13577,0,1,147,1,1148,1,147,1,1148,151,13,0,1980-01-06T03:00:11
1633357050,56000,14577,0,1,147,1,1148,1,147,1,1148,163,13,0,1980-01-06T03:00:12
1633357051,55900,15577,0,1,147,1,1148,1,147,1,1148,175,13,0,1980-01-06T03:00:13
1633357052,55900,16577,0,1,147,1,1148,1,147,1,1148,186,13,0,1980-01-06T03:00:14
1633357053,56000,17577,0,1,147,1,1148,1,147,1,1148,198,13,0,1980-01-06T03:00:15
1633357054,55900,18577,0,1,147,1,1148,1,147,1,1148,211,13,0,1980-01-06T03:00:16
1633357055,55900,19577,0,1,147,1,1148,1,147,1,1148,222,13,0,1980-01-06T03:00:17
1633357056,56000,20577,0,1,147,1,1148,1,147,1,1148,234,13,0,1980-01-06T03:00:18
1633357057,55900,21577,0,1,147,1,1148,1,147,1,1148,246,13,0,1980-01-06T03:00:19
1633357058,55900,22577,0,1,147,1,1148,1,147,1,1148,1,13,0,1980-01-06T03:00:20
1633357059,56000,23577,0,1,147,1,1148,1,147,1,1148,14,13,0,1980-01-06T03:00:21
1633357060,55900,24577,0,1,147,1,1148,1,147,1,1148,26,13,0,1980-01-06T03:00:22
1633357061,55900,25577,0,1,147,1,1148,1,147,1,1148,37,13,0,1980-01-06T03:00:23
1633357062,56000,26577,0,1,147,1,1148,1,147,1,1148,49,13,0,1980-01-06T03:00:24
1633357063,55900,27577,0,1,147,1,1148,1,147,1,1148,61,13,0,1980-01-06T03:00:25
1633357064,55900,28577,0,1,147,1,1148,1,147,1,1148,73,13,0,1980-01-06T03:00:26
1633357065,56000,29577,0,1,147,1,1148,1,147,1,1148,85,13,0,1980-01-06T03:00:27
1633357066,55900,30577,0,1,147,1,1148,1,147,1,1148,97,13,0,1980-01-06T03:00:28
1633357067,55900,31577,0,1,147,1,1148,1,147,1,1148,108,13,0,1980-01-06T03:00:29
1633357068,56000,32577,0,1,147,1,1148,1,147,1,1148,120,13,0,1980-01-06T03:00:30
1633357069,55900,33577,0,1,147,1,1148,1,147,1,1148,133,13,0,1980-01-06T03:00:31
1633357070,55900,34577,0,1,147,1,1148,1,147,1,1148,144,13,0,1980-01-06T03:00:32
1633357071,56000,35577,0,1,147,1,1148,1,147,1,1148,156,13,0,1980-01-06T03:00:33
1633357072,55900,36577,0,1,147,1,1148,1,147,1,1148,168,13,0,1980-01-06T03:00:34
1633357073,55900,37577,0,1,147,1,1148,1,147,1,1148,179,13,0,1980-01-06T03:00:35
1633357074,56000,38577,0,1,147,1,1148,1,147,1,1148,192,13,0,1980-01-06T03:00:36
1633357075,55900,39577,0,1,147,1,1148,1,147,1,1148,204,13,0,1980-01-06T03:00:37
1633357076,55900,40577,0,1,147,1,1148,1,147,1,1148,215,13,0,1980-01-06T03:00:38
1633357077,56000,41577,0,1,147,1,1148,1,147,1,1148,227,13,0,1980-01-06T03:00:39
1633357078,55900,42577,0,1,147,1,1148,1,147,1,1148,239,13,0,1980-01-06T03:00:40
1633357079,55900,43577,0,1,147,1,1148,1,147,1,1148,251,13,0,1980-01-06T03:00:41
1633357080,56000,44577,0,1,147,1,1148,1,147,1,1148,7,13,0,1980-01-06T03:00:42
1633357081,55900,45577,0,1,147,1,1148,1,147,1,1148,19,13,0,1980-01-06T03:00:43
1633357082,55900,46577,0,1,147,1,1148,1,147,1,1148,30,13,0,1980-01-06T03:00:44
1633357083,56000,47577,0,1,147,1,1148,1,147,1,1148,42,13,0,1980-01-06T03:00:45
1633357084,55900,48577,0,1,147,1,1148,1,147,1,1148,55,13,0,1980-01-06T03:00:46
1633357085,55900,49577,0,1,147,1,1148,1,147,1,1148,66,13,0,1980-01-06T03:00:47
1633357086,56000,50577,0,1,147,1,1148,1,147,1,1148,78,13,0,1980-01-06T03:00:48
1633357087,55900,51577,0,1,147,1,1148,1,147,1,1148,90,13,0,1980-01-06T03:00:49
1633357088,55900,52577,0,1,147,1,1148,1,147,1,1148,101,13,0,1980-01-06T03:00:50
1633357089,56000,53577,0,1,147,1,1148,1,147,1,1148,114,13,0,1980-01-06T03:00:51
1633357090,55900,54577,0,1,147,1,1148,1,147,1,1148,126,13,0,1980-01-06T03:00:52
1633357091,55900,55577,0,1,147,1,1148,1,147,1,1148,137,13,0,1980-01-06T03:00:53
1633357092,56000,56577,0,1,147,1,1148,1,147,1,1148,149,13,0,1980-01-06T03:00:54
1633357093,55900,57577,0,1,147,1,1148,1,147,1,1148,161,13,0,1980-01-06T03:00:55
1633357094,55900,58577,0,1,147,1,1148,1,147,1,1148,173,13,0,1980-01-06T03:00:56
1633357095,56000,59577,0,1,147,1,1148,1,147,1,1148,185,13,0,1980-01-06T03:00:57
1633357096,55900,60577,0,1,147,1,1148,1,147,1,1148,197,13,0,1980-01-06T03:00:58
1633357097,55900,61577,0,1,147,1,1148,1,147,1,1148,208,13,0,1980-01-06T03:00:59
1633357098,56000,62577,0,1,147,1,1148,1,147,1,1148,220,13,0,1980-01-06T03:01:00
1633357099,55900,63577,0,1,147,1,1148,1,147,1,1148,233,13,0,1980-01-06T03:01:01
1633357100,55900,64577,0,1,147,1,1148,1,147,1,1148,244,13,0,1980-01-06T03:01:02
1633357101,56000,65577,0,1,147,1,1148,1,147,1,1148,0,13,0,1980-01-06T03:01:03
1633357102,55900,66577,0,1,147,1,1148,1,147,1,1148,12,13,0,1980-01-06T03:01:04
1633357103,55900,67577,0,1,147,1,1148,1,147,1,1148,23,13,0,1980-01-06T03:01:05
1633357104,56000,68577,0,1,147,1,1148,1,147,1,1148,36,13,0,1980-01-06T03:01:06
1633357105,55900,69577,0,1,147,1,1148,1,147,1,1148,48,13,0,1980-01-06T03:01:07
1633357106,55900,70577,0,1,147,1,1148,1,147,1,1148,59,13,0,1980-01-06T03:01:08
1633357108,55900,72577,0,1,147,1,1148,1,147,1,1148,83,13,0,1980-01-06T03:01:10
1633357109,55900,73577,0,1,147,1,1148,1,147,1,1148,95,13,0,1980-01-06T03:01:11
1633357110,56000,74577,0,1,147,1,1148,1,147,1,1148,107,13,0,1980-01-06T03:01:12
1633357111,55900,75577,0,1,147,1,1148,1,147,1,1148,119,13,0,1980-01-06T03:01:13
1633357112,55900,76577,0,1,147,1,1148,1,147,1,1148,130,13,0,1980-01-06T03:01:14
1633357113,56000,77577,0,1,147,1,1148,1,147,1,1148,142,13,0,1980-01-06T03:01:15
1633357114,55900,78577,0,1,147,1,1148,1,147,1,1148,155,13,0,1980-01-06T03:01:16
1633357115,55900,79577,0,1,147,1,1148,1,147,1,1148,166,13,0,1980-01-06T03:01:17
1633357116,56000,80577,0,1,147,1,1148,1,147,1,1148,178,13,0,1980-01-06T03:01:18
1633357117,55900,81577,0,1,147,1,1148,1,147,1,1148,190,13,0,1980-01-06T03:01:19
1633357118,55900,82577,0,1,147,1,1148,1,147,1,1148,201,13,0,1980-01-06T03:01:20
1633357119,56000,83577,0,1,147,1,1148,1,147,1,1148,214,13,0,1980-01-06T03:01:21
1633357120,55900,84577,0,1,147,1,1148,1,147,1,1148,226,13,0,1980-01-06T03:01:22
1633357121,55900,85577,0,1,147,1,1148,1,147,1,1148,237,13,0,1980-01-06T03:01:23
1633357122,56000,86577,0,1,147,1,1148,1,147,1,1148,249,13,0,1980-01-06T03:01:24
1633357123,55900,87577,0,1,147,1,1148,1,147,1,1148,5,13,0,1980-01-06T03:01:25
1633357124,55900,88577,0,1,147,1,1148,1,147,1,1148,17,13,0,1980-01-06T03:01:26
1633357125,56000,89577,0,1,147,1,1148,1,147,1,1148,29,13,0,1980-01-06T03:01:27
1633357126,55900,90577,0,1,147,1,1148,1,147,1,1148,41,13,0,1980-01-06T03:01:28
1633357127,55900,91577,0,1,147,1,1148,1,147,1,1148,52,13,0,1980-01-06T03:01:29
1633357128,56000,92577,0,1,147,1,1148,1,147,1,1148,64,13,0,1980-01-06T03:01:30
1633357129,55900,93577,0,1,147,1,1148,1,147,1,1148,77,13,0,1980-01-06T03:01:31
1633357130,55900,94577,0,1,147,1,1148,1,147,1,1148,88,13,0,1980-01-06T03:01:32
1633357131,56000,95577,0,1,147,1,1148,1,147,1,1148,100,13,0,1980-01-06T03:01:33
1633357132,55900,96577,0,1,147,1,1148,1,147,1,1148,112,13,0,1980-01-06T03:01:34
1633357133,55900,97577,0,1,147,1,1148,1,147,1,1148,123,13,0,1980-01-06T03:01:35
1633357134,56000,98577,0,1,147,1,1148,1,147,1,1148,136,13,0,1980-01-06T03:01:36
1633357135,55900,99577,0,1,147,1,1148,1,147,1,1148,148,13,0,1980-01-06T03:01:37
1633357136,55900,100577,0,1,147,1,1148,1,147,1,1148,159,13,0,1980-01-06T03:01:38
1633357137,56000,101577,0,1,147,1,1148,1,147,1,1148,171,13,0,1980-01-06T03:01:39
1633357138,55900,102577,0,1,147,1,1148,1,147,1,1148,183,13,0,1980-01-06T03:01:40
1633357139,55900,103577,0,1,147,1,1148,1,147,1,1148,195,13,0,1980-01-06T03:01:41
1633357140,56000,104577,0,1,147,1,1148,1,147,1,1148,207,13,0,1980-01-06T03:01:42
1633357141,55900,105577,0,1,147,1,1148,1,147,1,1148,219,13,0,1980-01-06T03:01:43
1633357142,55900,106577,0,1,147,1,1148,1,147,1,1148,230,13,0,1980-01-06T03:01:44
1633357143,56000,107577,0,1,147,1,1148,1,147,1,1148,242,13,0,1980-01-06T03:01:45
1633357144,55900,108577,0,1,147,1,1148,1,147,1,1148,255,13,0,1980-01-06T03:01:46
1633357145,55900,109577,0,1,147,1,1148,1,147,1,1148,10,13,0,1980-01-06T03:01:47
1633357146,56000,110577,0,1,147,1,1148,1,147,1,1148,22,13,0,1980-01-06T03:01:48
1633357147,55900,111577,0,1,147,1,1148,1,147,1,1148,34,13,0,1980-01-06T03:01:49
1633357148,55900,112577,0,1,147,1,1148,1,147,1,1148,45,13,0,1980-01-06T03:01:50
1633357149,56000,113577,0,1,147,1,1148,1,147,1,1148,58,13,0,1980-01-06T03:01:51
1633357150,55900,114577,0,1,147,1,1148,1,147,1,1148,70,13,0,1980-01-06T03:01:52
1633357151,55900,115577,0,1,147,1,1148,1,147,1,1148,81,13,0,1980-01-06T03:01:53
1633357152,56000,116577,0,1,147,1,1148,1,147,1,1148,93,13,0,1980-01-06T03:01:54
1633357153,55900,117577,0,1,147,1,1148,1,147,1,1148,105,13,0,1980-01-06T03:01:55
1633357154,55900,118577,0,1,147,1,1148,1,147,1,1148,117,13,0,1980-01-06T03:01:56
1633357155,56000,119577,0,1,147,1,1148,1,147,1,1148,129,13,0,1980-01-06T03:01:57
1633357156,55900,120577,0,1,147,1,1148,1,147,1,1148,141,13,0,1980-01-06T03:01:58
1633357157,55900,121577,0,1,147,1,1148,1,147,1,1148,152,13,0,1980-01-06T03:01:59
1633357158,56000,122577,0,1,147,1,1148,1,147,1,1148,164,13,0,1980-01-06T03:02:00
1633357159,55900,123577,0,1,147,1,1148,1,147,1,1148,177,13,0,1980-01-06T03:02:01
1633357160,55900,124577,0,1,147,1,1148,1,147,1,1148,188,13,0,1980-01-06T03:02:02
1633357161,56000,125577,0,1,147,1,1148,1,147,1,1148,200,13,0,1980-01-06T03:02:03
1633357162,55900,126577,0,1,147,1,1148,1,147,1,1148,212,13,0,1980-01-06T03:02:04
1633357163,55900,127577,0,1,147,1,1148,1,147,1,1148,223,13,0,1980-01-06T03:02:05
1633357164,56000,128577,0,1,147,1,1148,1,147,1,1148,236,13,0,1980-01-06T03:02:06
1633357165,55900,129577,0,1,147,1,1148,1,147,1,1148,248,13,0,1980-01-06T03:02:07
1633357166,55900,130577,0,1,147,1,1148,1,147,1,1148,3,13,0,1980-01-06T03:02:08
1633357167,56000,131577,0,1,147,1,1148,1,147,1,1148,15,13,0,1980-01-06T03:02:09
1633357168,55900,132577,0,1,147,1,1148,1,147,1,1148,27,13,0,1980-01-06T03:02:10
1633357169,55900,133577,0,1,147,1,1148,1,147,1,1148,39,13,0,1980-01-06T03:02:11
1633357170,56000,134577,0,1,147,1,1148,1,147,1,1148,51,13,0,1980-01-06T03:02:12
1633357171,55900,135577,0,1,147,1,1148,1,147,1,1148,63,13,0,1980-01-06T03:02:13
1633357172,55900,136577,0,1,147,1,1148,1,147,1,1148,74,13,0,1980-01-06T03:02:14
1633357173,56000,137577,0,1,147,1,1148,1,147,1,1148,86,13,0,1980-01-06T03:02:15
1633357174,55900,138577,0,1,147,1,1148,1,147,1,1148,99,13,0,1980-01-06T03:02:16
1633357175,55900,139577,0,1,147,1,1148,1,147,1,1148,110,13,0,1980-01-06T03:02:17
1633357176,56000,140577,0,1,147,1,1148,1,147,1,1148,122,13,0,1980-01-06T03:02:18
1633357177,55900,141577,0,1,147,1,1148,1,147,1,1148,134,13,0,1980-01-06T03:02:19
1633357178,55900,142577,0,1,147,1,1148,1,147,1,1148,145,13,0,1980-01-06T03:02:20
1633357179,56000,143577,0,1,147,1,1148,1,147,1,1148,158,13,0,1980-01-06T03:02:21
1633357180,55900,144577,0,1,147,1,1148,1,147,1,1148,170,13,0,1980-01-06T03:02:22
1633357181,55900,145577,0,1,147,1,1148,1,147,1,1148,181,13,0,1980-01-06T03:02:23
1633357182,56000,146577,0,1,147,1,1148,1,147,1,1148,193,13,0,1980-01-06T03:02:24
1633357183,55900,147577,0,1,147,1,1148,1,147,1,1148,205,13,0,1980-01-06T03:02:25
1633357184,55900,148577,0,1,147,1,1148,1,147,1,1148,217,13,0,1980-01-06T03:02:26
1633357185,56000,149577,0,1,147,1,1148,1,147,1,1148,229,13,0,1980-01-06T03:02:27
1633357186,55900,150577,0,1,147,1,1148,1,147,1,1148,241,13,0,1980-01-06T03:02:28
1633357187,55900,151577,0,1,147,1,1148,1,147,1,1148,252,13,0,1980-01-06T03:02:29
1633357188,56000,152577,0,1,147,1,1148,1,147,1,1148,8,13,0,1980-01-06T03:02:30
1633357189,55900,153577,0,1,147,1,1148,1,147,1,1148,21,13,0,1980-01-06T03:02:31
1633357190,55900,154577,0,1,147,1,1148,1,147,1,1148,32,13,0,1980-01-06T03:02:32
1633357191,56000,155577,0,1,147,1,1148,1,147,1,1148,44,13,0,1980-01-06T03:02:33
1633357192,55900,156577,0,1,147,1,1148,1,147,1,1148,56,13,0,1980-01-06T03:02:34
1633357193,55900,157577,0,1,147,1,1148,1,147,1,1148,67,13,0,1980-01-06T03:02:35
1633357194,56000,158577,0,1,147,1,1148,1,147,1,1148,80,13,0,1980-01-06T03:02:36
1633357195,55900,159577,0,1,147,1,1148,1,147,1,1148,92,13,0,1980-01-06T03:02:37
1633357196,55900,160577,0,1,147,1,1148,1,147,1,1148,103,13,0,1980-01-06T03:02:38
1633357197,56000,161577,0,1,147,1,1148,1,147,1,1148,115,13,0,1980-01-06T03:02:39
1633357198,55900,162577,0,1,147,1,1148,1,147,1,1148,127,13,0,1980-01-06T03:02:40
1633357199,55900,163577,0,1,147,1,1148,1,147,1,1148,139,13,0,1980-01-06T03:02:41
1633357200,56000,164577,0,1,147,1,1148,1,147,1,1148,151,13,0,1980-01-06T03:02:42
1633357201,55900,165577,0,1,147,1,1148,1,147,1,1148,163,13,0,1980-01-06T03:02:43
1633357202,55900,166577,0,1,147,1,1148,1,147,1,1148,174,13,0,1980-01-06T03:02:44
1633357203,56000,167577,0,1,147,1,1148,1,147,1,1148,186,13,0,1980-01-06T03:02:45
1633357204,55900,168577,0,1,147,1,1148,1,147,1,1148,199,13,0,1980-01-06T03:02:46
1633357205,55900,169577,0,1,147,1,1148,1,147,1,1148,210,13,0,1980-01-06T03:02:47
1633357206,56000,170577,0,1,147,1,1148,1,147,1,1148,222,13,0,1980-01-06T03:02:48
1633357207,55900,171577,0,1,147,1,1148,1,147,1,1148,234,13,0,1980-01-06T03:02:49
1633357208,55900,172577,0,1,147,1,1148,1,147,1,1148,245,13,0,1980-01-06T03:02:50
1633357209,56000,173577,0,1,147,1,1148,1,147,1,1148,2,13,0,1980-01-06T03:02:51
1633357210,55900,174577,0,1,147,1,1148,1,147,1,1148,14,13,0,1980-01-06T03:02:52
1633357211,55900,175577,0,1,147,1,1148,1,147,1,1148,25,13,0,1980-01-06T03:02:53
1633357212,56000,176577,0,1,147,1,1148,1,147,1,1148,37,13,0,1980-01-06T03:02:54
