time_s,time_us,time_steady,dna_temp,heater_is_on,seq,srcSystem,srcComponent,time_gregorian
1633357039,874200,1395,13.6609802246094,1,6,13,0,1970-01-01T03:00:02
1633357040,874200,2395,13.9077758789063,1,17,13,0,1970-01-01T03:00:03
1633357041,874200,6395,17.9425659179687,1,66,13,0,1970-01-01T03:00:06
1633357042,874200,7395,19.0235595703125,1,77,13,0,1980-01-06T03:00:04
1633357043,874200,8395,19.447509765625,0,89,13,0,1980-01-06T03:00:05
1633357044,874200,9395,20.4054870605469,0,102,13,0,1980-01-06T03:00:06
1633357045,874200,10395,20.9368591308594,0,113,13,0,1980-01-06T03:00:07
1633357046,874200,11395,21.3409423828125,0,124,13,0,1980-01-06T03:00:08
1633357047,874200,12395,21.4613952636719,0,137,13,0,1980-01-06T03:00:09
1633357048,874200,13395,21.5814819335937,0,149,13,0,1980-01-06T03:00:10
1633357049,874200,14395,21.54150390625,0,160,13,0,1980-01-06T03:00:11
1633357050,874200,15395,21.4212951660156,0,173,13,0,1980-01-06T03:00:12
1633357051,874200,16395,21.5814819335937,0,184,13,0,1980-01-06T03:00:13
1633357052,874200,17395,21.3811340332031,0,195,13,0,1980-01-06T03:00:14
1633357053,874200,18395,21.3409423828125,0,209,13,0,1980-01-06T03:00:15
1633357054,874200,19395,21.3811340332031,0,220,13,0,1980-01-06T03:00:16
1633357055,874200,20395,21.0180053710937,0,231,13,0,1980-01-06T03:00:17
1633357056,874200,21395,21.0585327148438,0,244,13,0,1980-01-06T03:00:18
1633357057,874200,22395,20.7741088867188,0,255,13,0,1980-01-06T03:00:19
1633357058,874200,23395,20.6106872558594,0,11,13,0,1980-01-06T03:00:20
1633357059,874200,24395,20.6106872558594,0,24,13,0,1980-01-06T03:00:21
1633357060,874200,25395,20.4876708984375,0,35,13,0,1980-01-06T03:00:22
1633357061,874200,26395,20.4054870605469,0,46,13,0,1980-01-06T03:00:23
1633357062,874200,27395,20.1578063964844,0,59,13,0,1980-01-06T03:00:24
1633357063,874200,28395,20.0748901367187,0,71,13,0,1980-01-06T03:00:25
1633357064,874200,29395,20.0748901367187,0,82,13,0,1980-01-06T03:00:26
1633357065,874200,30395,19.9918212890625,0,95,13,0,1980-01-06T03:00:27
1633357066,874200,31395,20.0333862304687,0,106,13,0,1980-01-06T03:00:28
1633357067,874200,32395,19.7415466308594,0,117,13,0,1980-01-06T03:00:29
1633357068,874200,33395,19.6577453613281,0,131,13,0,1980-01-06T03:00:30
1633357069,874200,34395,19.5737915039063,0,142,13,0,1980-01-06T03:00:31
1633357070,874200,35395,19.4896545410156,0,153,13,0,1980-01-06T03:00:32
1633357071,874200,36395,19.5317687988281,0,166,13,0,1980-01-06T03:00:33
1633357072,874200,37395,19.4053344726563,0,177,13,0,1980-01-06T03:00:34
1633357073,874200,38395,19.32080078125,0,189,13,0,1980-01-06T03:00:35
1633357074,874200,39395,19.1512451171875,0,202,13,0,1980-01-06T03:00:36
1633357075,874200,40395,19.066162109375,0,213,13,0,1980-01-06T03:00:37
1633357076,874200,41395,18.8526611328125,0,224,13,0,1980-01-06T03:00:38
1633357077,874200,42395,18.7239685058594,0,237,13,0,1980-01-06T03:00:39
1633357078,874200,43395,18.7669067382813,0,249,13,0,1980-01-06T03:00:40
1633357079,874200,44395,18.5948486328125,0,4,13,0,1980-01-06T03:00:41
1633357080,874200,45395,18.3786926269531,0,17,13,0,1980-01-06T03:00:42
1633357081,874200,46395,18.2918701171875,0,28,13,0,1980-01-06T03:00:43
1633357082,874200,47395,18.3786926269531,0,39,13,0,1980-01-06T03:00:44
1633357083,874200,48395,18.1176147460938,0,53,13,0,1980-01-06T03:00:45
1633357084,874200,49395,18.2483825683594,0,64,13,0,1980-01-06T03:00:46
1633357085,874200,50395,18.1612548828125,0,75,13,0,1980-01-06T03:00:47
1633357086,874200,51395,17.898681640625,0,88,13,0,1980-01-06T03:00:48
1633357087,874200,52395,17.9425659179687,0,99,13,0,1980-01-06T03:00:49
1633357088,874200,53395,17.8547058105469,0,111,13,0,1980-01-06T03:00:50
1633357089,874200,54395,17.8107299804687,0,124,13,0,1980-01-06T03:00:51
1633357090,874200,55395,17.8547058105469,0,135,13,0,1980-01-06T03:00:52
1633357091,874200,56395,17.8107299804687,0,146,13,0,1980-01-06T03:00:53
1633357092,874200,57395,17.5899658203125,0,159,13,0,1980-01-06T03:00:54
1633357093,874200,58395,17.545654296875,0,171,13,0,1980-01-06T03:00:55
1633357094,874200,59395,17.545654296875,0,182,13,0,1980-01-06T03:00:56
1633357095,874200,60395,17.4568481445313,0,195,13,0,1980-01-06T03:00:57
1633357096,874200,61395,17.6342163085938,0,206,13,0,1980-01-06T03:00:58
1633357097,874200,62395,17.5899658203125,0,217,13,0,1980-01-06T03:00:59
1633357098,874200,63395,17.4568481445313,0,231,13,0,1980-01-06T03:01:00
1633357099,874200,64395,17.3232727050781,0,242,13,0,1980-01-06T03:01:01
1633357100,874200,65395,17.3232727050781,0,253,13,0,1980-01-06T03:01:02
1633357101,874200,66395,17.3232727050781,0,10,13,0,1980-01-06T03:01:03
1633357102,874200,67395,17.2786254882813,0,21,13,0,1980-01-06T03:01:04
1633357103,874200,68395,17.2786254882813,0,33,13,0,1980-01-06T03:01:05
1633357104,874200,69395,17.189208984375,0,46,13,0,1980-01-06T03:01:06
1633357105,874200,70395,17.0096435546875,0,57,13,0,1980-01-06T03:01:07
1633357107,874200,72395,17.0546264648438,0,81,13,0,1980-01-06T03:01:09
1633357108,874200,73395,16.9646301269531,0,93,13,0,1980-01-06T03:01:10
1633357109,874200,74395,17.0546264648438,0,104,13,0,1980-01-06T03:01:11
1633357110,874200,75395,16.9195556640625,0,117,13,0,1980-01-06T03:01:12
1633357111,874200,76395,16.8292236328125,0,128,13,0,1980-01-06T03:01:13
1633357112,874200,77395,16.7386779785156,0,139,13,0,1980-01-06T03:01:14
1633357113,874200,78395,16.7386779785156,0,153,13,0,1980-01-06T03:01:15
1633357114,874200,79395,16.6933288574219,0,164,13,0,1980-01-06T03:01:16
1633357115,874200,80395,16.7386779785156,0,175,13,0,1980-01-06T03:01:17
1633357116,874200,81395,16.6933288574219,0,188,13,0,1980-01-06T03:01:18
1633357117,874200,82395,16.6933288574219,0,199,13,0,1980-01-06T03:01:19
1633357118,874200,83395,16.5112915039062,0,211,13,0,1980-01-06T03:01:20
1633357119,874200,84395,16.4656372070313,0,224,13,0,1980-01-06T03:01:21
1633357120,874200,85395,16.3741455078125,0,235,13,0,1980-01-06T03:01:22
1633357121,874200,86395,16.556884765625,0,246,13,0,1980-01-06T03:01:23
1633357122,874200,87395,16.4656372070313,0,3,13,0,1980-01-06T03:01:24
1633357123,874200,88395,16.3283386230469,0,15,13,0,1980-01-06T03:01:25
1633357124,874200,89395,16.1905212402344,0,26,13,0,1980-01-06T03:01:26
1633357125,874200,90395,16.3283386230469,0,39,13,0,1980-01-06T03:01:27
1633357126,874200,91395,16.2365112304688,0,50,13,0,1980-01-06T03:01:28
1633357127,874200,92395,16.2824401855469,0,61,13,0,1980-01-06T03:01:29
1633357128,874200,93395,16.2824401855469,0,75,13,0,1980-01-06T03:01:30
1633357129,874200,94395,16.1444396972656,0,86,13,0,1980-01-06T03:01:31
1633357130,874200,95395,16.1905212402344,0,97,13,0,1980-01-06T03:01:32
1633357131,874200,96395,16.0058898925781,0,110,13,0,1980-01-06T03:01:33
1633357132,874200,97395,15.9595947265625,0,121,13,0,1980-01-06T03:01:34
1633357133,874200,98395,16.2365112304688,0,133,13,0,1980-01-06T03:01:35
1633357134,874200,99395,16.0982971191406,0,146,13,0,1980-01-06T03:01:36
1633357135,874200,100395,16.0058898925781,0,157,13,0,1980-01-06T03:01:37
1633357136,874200,101395,15.9132080078125,0,168,13,0,1980-01-06T03:01:38
1633357137,874200,102395,15.8667907714844,0,181,13,0,1980-01-06T03:01:39
1633357138,874200,103395,15.8203125,0,193,13,0,1980-01-06T03:01:40
1633357139,874200,104395,15.7271423339844,0,204,13,0,1980-01-06T03:01:41
1633357140,874200,105395,15.9595947265625,0,217,13,0,1980-01-06T03:01:42
1633357141,874200,106395,15.9595947265625,0,228,13,0,1980-01-06T03:01:43
1633357142,874200,107395,15.6804809570313,0,239,13,0,1980-01-06T03:01:44
1633357143,874200,108395,15.8667907714844,0,253,13,0,1980-01-06T03:01:45
1633357144,874200,109395,15.6804809570313,0,8,13,0,1980-01-06T03:01:46
1633357145,874200,110395,15.5869445800781,0,19,13,0,1980-01-06T03:01:47
