time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
1633357039,151300,1151,0,1004,2,13,0,1970-01-01T03:00:02
1633357040,151300,1151,0,1004,13,13,0,1970-01-01T03:00:02
1633357041,662300,5951,0,1200,62,13,0,1970-01-01T03:00:05
1633357042,630600,7151,0,1200,73,13,0,1980-01-06T03:00:04
1633357042,630600,7151,0,1200,84,13,0,1980-01-06T03:00:04
1633357043,830600,8351,1,1200,98,13,0,1980-01-06T03:00:05
1633357045,30600,9551,0,1200,109,13,0,1980-01-06T03:00:07
1633357046,230600,10751,0,1200,120,13,0,1980-01-06T03:00:08
1633357047,430600,11951,0,1200,133,13,0,1980-01-06T03:00:09
1633357048,630600,13151,0,1200,144,13,0,1980-01-06T03:00:10
1633357048,630600,13151,0,1200,156,13,0,1980-01-06T03:00:10
1633357049,830700,14351,0,1200,169,13,0,1980-01-06T03:00:11
1633357051,30700,15551,1,1200,180,13,0,1980-01-06T03:00:13
1633357052,230600,16751,0,1200,191,13,0,1980-01-06T03:00:14
1633357053,430600,17951,0,1200,204,13,0,1980-01-06T03:00:15
1633357054,630600,19151,0,1200,216,13,0,1980-01-06T03:00:16
1633357054,630600,19151,0,1200,227,13,0,1980-01-06T03:00:16
1633357055,830600,20351,0,1200,240,13,0,1980-01-06T03:00:17
1633357057,30600,21551,0,1200,251,13,0,1980-01-06T03:00:19
1633357058,230600,22751,1,1200,6,13,0,1980-01-06T03:00:20
1633357059,430600,23951,0,1200,20,13,0,1980-01-06T03:00:21
1633357060,630600,25151,0,1200,31,13,0,1980-01-06T03:00:22
1633357060,630600,25151,0,1200,42,13,0,1980-01-06T03:00:22
1633357061,830600,26351,0,1200,55,13,0,1980-01-06T03:00:23
1633357063,30700,27551,0,1200,66,13,0,1980-01-06T03:00:25
1633357064,230700,28751,0,1200,78,13,0,1980-01-06T03:00:26
1633357065,430600,29951,1,1200,91,13,0,1980-01-06T03:00:27
1633357066,630600,31151,0,1200,102,13,0,1980-01-06T03:00:28
1633357066,630600,31151,0,1200,113,13,0,1980-01-06T03:00:28
1633357067,830600,32351,0,1200,126,13,0,1980-01-06T03:00:29
1633357069,30600,33551,0,1200,138,13,0,1980-01-06T03:00:31
1633357070,230600,34751,0,1200,149,13,0,1980-01-06T03:00:32
1633357071,430600,35951,0,1200,162,13,0,1980-01-06T03:00:33
1633357072,630600,37151,0,1200,173,13,0,1980-01-06T03:00:34
1633357072,630600,37151,0,1200,184,13,0,1980-01-06T03:00:34
1633357073,830600,38351,0,1200,198,13,0,1980-01-06T03:00:35
1633357075,30600,39551,0,1200,209,13,0,1980-01-06T03:00:37
1633357076,230600,40751,0,1200,220,13,0,1980-01-06T03:00:38
1633357077,430700,41951,1,1200,233,13,0,1980-01-06T03:00:39
1633357078,630700,43151,0,1200,244,13,0,1980-01-06T03:00:40
1633357078,630700,43151,0,1200,0,13,0,1980-01-06T03:00:40
1633357079,830700,44351,1,1200,13,13,0,1980-01-06T03:00:41
1633357081,30600,45551,0,1200,24,13,0,1980-01-06T03:00:43
1633357082,230600,46751,0,1200,35,13,0,1980-01-06T03:00:44
1633357083,430600,47951,0,1200,48,13,0,1980-01-06T03:00:45
1633357084,630600,49151,0,1200,60,13,0,1980-01-06T03:00:46
1633357084,630600,49151,0,1200,71,13,0,1980-01-06T03:00:46
1633357085,830600,50351,1,1200,84,13,0,1980-01-06T03:00:47
1633357087,30600,51551,0,1200,95,13,0,1980-01-06T03:00:49
1633357088,230600,52751,0,1200,106,13,0,1980-01-06T03:00:50
1633357089,430600,53951,0,1200,120,13,0,1980-01-06T03:00:51
1633357090,630600,55151,0,1200,131,13,0,1980-01-06T03:00:52
1633357090,630600,55151,0,1200,142,13,0,1980-01-06T03:00:52
1633357091,830700,56351,0,1200,155,13,0,1980-01-06T03:00:53
1633357093,30700,57551,0,1200,166,13,0,1980-01-06T03:00:55
1633357094,230600,58751,0,1200,178,13,0,1980-01-06T03:00:56
1633357095,430600,59951,0,1200,191,13,0,1980-01-06T03:00:57
1633357096,630600,61151,0,1200,202,13,0,1980-01-06T03:00:58
1633357096,630600,61151,0,1200,213,13,0,1980-01-06T03:00:58
1633357097,830600,62351,0,1200,226,13,0,1980-01-06T03:00:59
1633357099,30600,63551,0,1200,238,13,0,1980-01-06T03:01:01
1633357100,230600,64751,0,1200,249,13,0,1980-01-06T03:01:02
1633357101,430600,65951,0,1200,6,13,0,1980-01-06T03:01:03
1633357102,630600,67151,1,1200,17,13,0,1980-01-06T03:01:04
1633357102,630600,67151,1,1200,28,13,0,1980-01-06T03:01:04
1633357103,830600,68351,1,1200,42,13,0,1980-01-06T03:01:05
1633357105,30600,69551,0,1200,53,13,0,1980-01-06T03:01:07
1633357106,230700,70751,1,1200,64,13,0,1980-01-06T03:01:08
1633357107,430700,71951,0,1200,77,13,0,1980-01-06T03:01:09
1633357108,630600,73151,1,1200,88,13,0,1980-01-06T03:01:10
1633357108,630600,73151,1,1200,100,13,0,1980-01-06T03:01:10
1633357109,830600,74351,0,1200,113,13,0,1980-01-06T03:01:11
1633357111,30600,75551,0,1200,124,13,0,1980-01-06T03:01:13
1633357112,230600,76751,0,1200,135,13,0,1980-01-06T03:01:14
1633357113,430600,77951,0,1200,148,13,0,1980-01-06T03:01:15
