time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian
1317392240,572900,1573,56.9036750793457,7,13,0,1970-01-01T03:00:02
1317392241,572900,2573,56.9036750793457,18,13,0,1970-01-01T03:00:03
1317392243,283900,5573,56.917724609375,54,13,0,1970-01-01T03:00:05
1633357042,52200,6573,56.917724609375,67,13,0,1980-01-06T03:00:04
1633357043,52200,7573,56.917724609375,78,13,0,1980-01-06T03:00:05
1633357044,52200,8573,56.9036750793457,90,13,0,1980-01-06T03:00:06
1633357045,52200,9573,56.917724609375,103,13,0,1980-01-06T03:00:07
1633357046,52200,10573,56.9036750793457,114,13,0,1980-01-06T03:00:08
1633357047,52200,11573,56.9317626953125,125,13,0,1980-01-06T03:00:09
1633357048,52200,12573,56.917724609375,138,13,0,1980-01-06T03:00:10
1633357049,52200,13573,56.917724609375,150,13,0,1980-01-06T03:00:11
1633357050,52200,14573,56.9036750793457,161,13,0,1980-01-06T03:00:12
1633357051,52200,15573,56.889625549316406,174,13,0,1980-01-06T03:00:13
1633357052,52200,16573,56.917724609375,185,13,0,1980-01-06T03:00:14
1633357053,52200,17573,56.9036750793457,196,13,0,1980-01-06T03:00:15
1633357054,52200,18573,56.9036750793457,210,13,0,1980-01-06T03:00:16
1633357055,52200,19573,56.917724609375,221,13,0,1980-01-06T03:00:17
1633357056,52200,20573,56.875587463378906,232,13,0,1980-01-06T03:00:18
1633357057,52200,21573,53.65885925292969,245,13,0,1980-01-06T03:00:19
1633357058,52200,22573,48.63010025024414,0,13,0,1980-01-06T03:00:20
1633357059,52200,23573,43.966552734375,12,13,0,1980-01-06T03:00:21
1633357060,52200,24573,39.738460540771484,25,13,0,1980-01-06T03:00:22
1633357061,52200,25573,35.889625549316406,36,13,0,1980-01-06T03:00:23
1633357062,52200,26573,32.434112548828125,47,13,0,1980-01-06T03:00:24
1633357063,52200,27573,29.301671981811523,60,13,0,1980-01-06T03:00:25
1633357064,52200,28573,26.492305755615234,72,13,0,1980-01-06T03:00:26
1633357065,52200,29573,23.935781478881836,83,13,0,1980-01-06T03:00:27
1633357066,52200,30573,21.70233917236328,96,13,0,1980-01-06T03:00:28
1633357067,52200,31573,19.707691192626953,107,13,0,1980-01-06T03:00:29
1633357068,52200,32573,17.93779182434082,118,13,0,1980-01-06T03:00:30
1633357069,52200,33573,16.350500106811523,132,13,0,1980-01-06T03:00:31
1633357070,52200,34573,14.931770324707031,143,13,0,1980-01-06T03:00:32
1633357071,52200,35573,13.68160343170166,154,13,0,1980-01-06T03:00:33
1633357072,52200,36573,12.585951805114746,167,13,0,1980-01-06T03:00:34
1633357073,52200,37573,11.616722106933594,178,13,0,1980-01-06T03:00:35
1633357074,52200,38573,10.745818138122559,190,13,0,1980-01-06T03:00:36
1633357075,52200,39573,9.973243713378906,203,13,0,1980-01-06T03:00:37
1633357076,52200,40573,9.28494930267334,214,13,0,1980-01-06T03:00:38
1633357077,52200,41573,8.709029197692871,225,13,0,1980-01-06T03:00:39
1633357078,52200,42573,8.14715576171875,238,13,0,1980-01-06T03:00:40
1633357079,52200,43573,7.697658538818359,250,13,0,1980-01-06T03:00:41
1633357080,52200,44573,7.290300369262695,5,13,0,1980-01-06T03:00:42
1633357081,52200,45573,6.911036014556885,18,13,0,1980-01-06T03:00:43
1633357082,52200,46573,6.559865951538086,29,13,0,1980-01-06T03:00:44
1633357083,52200,47573,6.2648820877075195,40,13,0,1980-01-06T03:00:45
1633357084,52200,48573,5.983945369720459,54,13,0,1980-01-06T03:00:46
1633357085,52200,49573,5.787290573120117,65,13,0,1980-01-06T03:00:47
1633357086,52200,50573,5.548494815826416,76,13,0,1980-01-06T03:00:48
1633357087,52200,51573,5.365886211395264,89,13,0,1980-01-06T03:00:49
1633357088,52200,52573,5.225417613983154,100,13,0,1980-01-06T03:00:50
1633357089,52200,53573,5.113043308258057,112,13,0,1980-01-06T03:00:51
1633357090,52200,54573,5.028761863708496,125,13,0,1980-01-06T03:00:52
1633357091,52200,55573,4.930434703826904,136,13,0,1980-01-06T03:00:53
1633357092,52200,56573,4.916387557983398,147,13,0,1980-01-06T03:00:54
1633357093,52200,57573,4.874246597290039,160,13,0,1980-01-06T03:00:55
1633357094,52200,58573,4.888294219970703,172,13,0,1980-01-06T03:00:56
1633357095,52200,59573,4.930434703826904,183,13,0,1980-01-06T03:00:57
1633357096,52200,60573,5.014715671539307,196,13,0,1980-01-06T03:00:58
1633357097,52200,61573,5.1692304611206055,207,13,0,1980-01-06T03:00:59
1633357098,52200,62573,5.337791919708252,218,13,0,1980-01-06T03:01:00
1633357099,52200,63573,5.53444766998291,232,13,0,1980-01-06T03:01:01
1633357100,52200,64573,5.787290573120117,243,13,0,1980-01-06T03:01:02
1633357101,52200,65573,6.082274436950684,254,13,0,1980-01-06T03:01:03
1633357102,52200,66573,6.405350685119629,11,13,0,1980-01-06T03:01:04
1633357103,52200,67573,6.7424750328063965,22,13,0,1980-01-06T03:01:05
1633357104,52200,68573,7.121737957000732,34,13,0,1980-01-06T03:01:06
1633357105,52200,69573,7.444815158843994,47,13,0,1980-01-06T03:01:07
1633357106,52200,70573,7.8381266593933105,58,13,0,1980-01-06T03:01:08
1633357108,52200,72573,8.540467262268066,82,13,0,1980-01-06T03:01:10
1633357109,52200,73573,8.891637802124023,94,13,0,1980-01-06T03:01:11
1633357110,52200,74573,9.24280834197998,105,13,0,1980-01-06T03:01:12
1633357111,52200,75573,9.608026504516602,118,13,0,1980-01-06T03:01:13
1633357112,52200,76573,9.9170560836792,129,13,0,1980-01-06T03:01:14
1633357113,52200,77573,10.226086616516113,140,13,0,1980-01-06T03:01:15
1633357114,52200,78573,10.549162864685059,154,13,0,1980-01-06T03:01:16
1633357115,52200,79573,10.844145774841309,165,13,0,1980-01-06T03:01:17
1633357116,52200,80573,11.139129638671875,176,13,0,1980-01-06T03:01:18
1633357117,52200,81573,11.434113502502441,189,13,0,1980-01-06T03:01:19
1633357118,52200,82573,11.6729097366333,200,13,0,1980-01-06T03:01:20
1633357119,52200,83573,11.925751686096191,212,13,0,1980-01-06T03:01:21
1633357120,52200,84573,12.178593635559082,225,13,0,1980-01-06T03:01:22
1633357121,52200,85573,12.417389869689941,236,13,0,1980-01-06T03:01:23
1633357122,52200,86573,12.656185150146484,247,13,0,1980-01-06T03:01:24
1633357123,52200,87573,12.8528413772583,4,13,0,1980-01-06T03:01:25
1633357124,52200,88573,13.0494966506958,16,13,0,1980-01-06T03:01:26
1633357125,52200,89573,13.274247169494629,27,13,0,1980-01-06T03:01:27
1633357126,52200,90573,13.456853866577148,40,13,0,1980-01-06T03:01:28
1633357127,52200,91573,13.611371040344238,51,13,0,1980-01-06T03:01:29
1633357128,52200,92573,13.779932022094727,62,13,0,1980-01-06T03:01:30
1633357129,52200,93573,13.962539672851562,76,13,0,1980-01-06T03:01:31
1633357130,52200,94573,14.103008270263672,87,13,0,1980-01-06T03:01:32
1633357131,52200,95573,14.243475914001465,98,13,0,1980-01-06T03:01:33
1633357132,52200,96573,14.38394546508789,111,13,0,1980-01-06T03:01:34
1633357133,52200,97573,14.552506446838379,122,13,0,1980-01-06T03:01:35
