time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian
1633357040,252200,1773,4022,2998,2186,3,0.256811201572418,2500,27,14,1,0.0241533815860748,3705,450,244,2,2.45650601387024,9,13,0,1970-01-01T03:00:02
1633357041,252200,5773,4033,3563,3059,3,0.114856794476509,2463,26,13,1,0.0232785139232874,3749,502,273,2,1.95514047145844,57,13,0,1970-01-01T03:00:05
1633357042,252200,6773,4033,3598,3119,3,0.107394091784954,2515,27,14,1,0.0245194900780916,3766,530,289,2,1.74347579479218,69,13,0,1980-01-06T03:00:04
1633357043,252200,7773,4034,3622,3162,3,0.102165929973125,2569,28,15,1,0.0258958265185356,3784,561,307,2,1.54478323459625,80,13,0,1980-01-06T03:00:05
1633357044,252200,8773,4059,3634,3165,3,0.101804755628109,2614,30,16,1,0.0271178595721722,3813,574,313,2,1.47081303596497,93,13,0,1980-01-06T03:00:06
1633357045,252200,9773,4058,3652,3197,3,0.0979803428053856,2671,31,16,1,0.0287743899971247,3829,609,335,2,1.29456329345703,105,13,0,1980-01-06T03:00:07
1633357046,252200,10773,4056,3687,3262,3,0.0903635919094086,2746,34,17,1,0.0311630237847567,3855,675,374,2,1.03360772132874,116,13,0,1980-01-06T03:00:08
1633357047,252200,11773,4057,3699,3283,3,0.0879439786076546,2798,34,18,1,0.0329781286418438,3864,714,396,2,0.912336945533752,128,13,0,1980-01-06T03:00:09
1633357048,252200,12773,4058,3706,3297,3,0.0863415747880936,2842,37,17,1,0.0346294231712818,3877,753,421,2,0.809547901153564,140,13,0,1980-01-06T03:00:10
1633357049,252200,13773,4061,3718,3317,3,0.0840668231248856,2890,38,19,1,0.0365657918155193,3890,798,448,2,0.709362864494324,152,13,0,1980-01-06T03:00:11
1633357050,252200,14773,4060,3723,3327,3,0.08293566852808,2928,39,19,1,0.0382096394896507,3902,839,474,2,0.631965637207031,164,13,0,1980-01-06T03:00:12
1633357051,252200,15773,4056,3724,3332,3,0.0823716148734093,2962,42,18,1,0.0397722311317921,3909,880,499,2,0.565337061882019,176,13,0,1980-01-06T03:00:13
1633357052,252200,16773,4059,3734,3348,3,0.0805733948945999,3003,43,20,1,0.0417836271226406,3920,922,528,2,0.506302654743195,187,13,0,1980-01-06T03:00:14
1633357053,252200,17773,4056,3733,3350,3,0.0803493335843086,3029,44,21,1,0.043137900531292,3924,959,552,2,0.460768610239029,199,13,0,1980-01-06T03:00:15
1633357054,252200,18773,4056,3739,3358,3,0.0794546380639076,3062,45,20,1,0.0449532568454742,3931,1002,580,2,0.41425895690918,212,13,0,1980-01-06T03:00:16
1633357055,252200,19773,4060,3744,3369,3,0.0782284736633301,3092,46,21,1,0.0467054471373558,3940,1047,609,2,0.37181356549263,223,13,0,1980-01-06T03:00:17
1633357056,252200,20773,4059,3751,3379,3,0.0771177634596825,3124,49,22,1,0.048691738396883,3950,1094,641,2,0.333185166120529,235,13,0,1980-01-06T03:00:18
1633357057,252200,21773,4063,3755,3383,3,0.0766745358705521,3146,50,22,1,0.0501337051391602,3955,1135,667,2,0.303515255451202,247,13,0,1980-01-06T03:00:19
1633357058,252200,22773,4063,3757,3389,3,0.0760108008980751,3169,51,22,1,0.0517132617533207,3959,1176,697,2,0.277056276798248,2,13,0,1980-01-06T03:00:20
1633357059,252200,23773,4056,3754,3388,3,0.0761213228106499,3186,52,23,1,0.0529312752187252,3958,1215,725,2,0.254475802183151,15,13,0,1980-01-06T03:00:21
1633357060,252200,24773,4057,3758,3394,3,0.0754586979746819,3207,53,24,1,0.0544992126524448,3963,1257,756,2,0.232617720961571,27,13,0,1980-01-06T03:00:22
1633357061,252200,25773,4057,3760,3399,3,0.074907511472702,3225,55,23,1,0.0559024214744568,3967,1296,786,2,0.214323982596397,38,13,0,1980-01-06T03:00:23
1633357062,252200,26773,4061,3766,3409,3,0.0738078281283379,3248,56,24,1,0.057780783623457,3974,1343,819,2,0.194516062736511,50,13,0,1980-01-06T03:00:24
1633357063,252200,27773,4061,3769,3413,3,0.0733689591288567,3266,57,24,1,0.059322327375412,3977,1382,849,2,0.179713264107704,62,13,0,1980-01-06T03:00:25
1633357064,252200,28773,4056,3766,3411,3,0.0735883191227913,3278,60,25,1,0.060387160629034,3978,1418,877,2,0.167212814092636,74,13,0,1980-01-06T03:00:26
1633357065,252200,29773,4061,3773,3420,3,0.072602279484272,3296,61,25,1,0.0620434246957302,3986,1462,911,2,0.15328611433506,86,13,0,1980-01-06T03:00:27
1633357066,252200,30773,4057,3769,3417,3,0.0729306489229202,3307,62,25,1,0.0630922392010689,3985,1496,938,2,0.143438681960106,98,13,0,1980-01-06T03:00:28
1633357067,252200,31773,4059,3771,3421,3,0.072492890059948,3319,62,26,1,0.0642697811126709,3987,1534,968,2,0.133279606699944,109,13,0,1980-01-06T03:00:29
1633357068,252200,32773,4061,3778,3430,3,0.0715099722146988,3339,64,26,1,0.0663141161203384,3994,1578,1003,2,0.122522532939911,121,13,0,1980-01-06T03:00:30
1633357069,252200,33773,4059,3774,3430,3,0.0715099722146988,3346,65,27,1,0.0670550242066383,3992,1611,1030,2,0.115094818174839,134,13,0,1980-01-06T03:00:31
1633357070,252200,34773,4062,3780,3436,3,0.0708562284708023,3363,66,28,1,0.0689124390482903,3999,1653,1065,2,0.106357418000698,145,13,0,1980-01-06T03:00:32
1633357071,252200,35773,4061,3781,3437,3,0.070747397840023,3372,66,28,1,0.0699305906891823,4001,1687,1094,2,0.0998200699687004,157,13,0,1980-01-06T03:00:33
1633357072,252200,36773,4058,3778,3433,3,0.071182943880558,3378,68,28,1,0.0706233382225037,3998,1718,1120,2,0.0942418575286865,169,13,0,1980-01-06T03:00:34
1633357073,252200,37773,4057,3780,3438,3,0.0706385895609856,3388,69,28,1,0.0718036517500877,3999,1753,1150,2,0.0883479341864586,180,13,0,1980-01-06T03:00:35
1633357074,252200,38773,4059,3784,3442,3,0.0702037066221237,3400,70,29,1,0.0732641592621803,4003,1790,1181,2,0.0825465098023415,193,13,0,1980-01-06T03:00:36
1633357075,252200,39773,4062,3787,3447,3,0.0696608424186707,3409,71,29,1,0.0743925720453262,4009,1827,1212,2,0.0771501734852791,205,13,0,1980-01-06T03:00:37
1633357076,252200,40773,4064,3784,3440,3,0.0704210847616196,3416,72,30,1,0.0752905830740929,4012,1843,1229,2,0.0749336332082748,216,13,0,1980-01-06T03:00:38
1633357077,252200,41773,4064,3782,3441,3,0.0703123807907105,3423,72,30,1,0.0762070268392563,4012,1875,1254,2,0.0706992670893669,228,13,0,1980-01-06T03:00:39
1633357078,252200,42773,4060,3783,3440,3,0.0704210847616196,3427,73,30,1,0.0767391994595528,4013,1907,1283,2,0.0667144507169724,240,13,0,1980-01-06T03:00:40
1633357079,252200,43773,4062,3782,3442,3,0.0702037066221237,3436,74,30,1,0.077959842979908,4015,1942,1314,2,0.0626216903328896,252,13,0,1980-01-06T03:00:41
1633357080,252200,44773,4064,3790,3449,3,0.069443941116333,3447,76,31,1,0.0794970989227295,4018,1980,1348,2,0.0584691949188709,8,13,0,1980-01-06T03:00:42
1633357081,252200,45773,4064,3791,3452,3,0.069118820130825,3454,76,32,1,0.080502413213253,4021,2013,1379,2,0.0550909750163555,20,13,0,1980-01-06T03:00:43
1633357082,252200,46773,4063,3787,3449,3,0.069443941116333,3457,77,31,1,0.0809399038553238,4018,2040,1403,2,0.0524740293622017,31,13,0,1980-01-06T03:00:44
1633357083,252200,47773,4065,3790,3454,3,0.0689022392034531,3467,78,31,1,0.0824279710650444,4023,2077,1437,2,0.0490887314081192,43,13,0,1980-01-06T03:00:45
1633357084,252200,48773,4062,3787,3451,3,0.0692271664738655,3469,79,32,1,0.0827312096953392,4021,2102,1460,2,0.046925101429224,56,13,0,1980-01-06T03:00:46
1633357085,252200,49773,4062,3787,3452,3,0.069118820130825,3472,79,32,1,0.0831896439194679,4020,2132,1489,2,0.0444524735212326,67,13,0,1980-01-06T03:00:47
1633357086,252200,50773,4063,3794,3458,3,0.0684694722294807,3482,81,31,1,0.0847497060894966,4025,2167,1523,2,0.0417283847928047,79,13,0,1980-01-06T03:00:48
1633357087,252200,51773,4062,3791,3458,3,0.0684694722294807,3486,80,33,1,0.0853878706693649,4025,2191,1547,2,0.0399547219276428,91,13,0,1980-01-06T03:00:49
1633357088,252200,52773,4064,3797,3462,3,0.0680372044444084,3494,81,32,1,0.0866893082857132,4029,2223,1578,2,0.0377022698521614,102,13,0,1980-01-06T03:00:50
1633357089,252200,53773,4066,3795,3461,3,0.0681452229619026,3500,82,32,1,0.0876879915595055,4029,2248,1602,2,0.0360273793339729,115,13,0,1980-01-06T03:00:51
1633357090,252200,54773,4063,3792,3461,3,0.0681452229619026,3502,83,33,1,0.0880253165960312,4029,2272,1626,2,0.0344859734177589,127,13,0,1980-01-06T03:00:52
1633357091,252200,55773,4062,3792,3460,3,0.0682532787322998,3505,83,34,1,0.0885355249047279,4028,2292,1646,2,0.0332490876317024,138,13,0,1980-01-06T03:00:53
1633357092,252200,56773,4062,3792,3461,3,0.0681452229619026,3509,85,33,1,0.0892238095402718,4029,2316,1670,2,0.0318195968866348,150,13,0,1980-01-06T03:00:54
1633357093,252200,57773,4065,3796,3467,3,0.0674976035952568,3518,86,34,1,0.0908068269491196,4033,2345,1699,2,0.0301684513688087,162,13,0,1980-01-06T03:00:55
1633357094,252200,58773,4065,3799,3468,3,0.0673897787928581,3522,86,33,1,0.0915261134505272,4034,2366,1722,2,0.029022516682744,174,13,0,1980-01-06T03:00:56
1633357095,252200,59773,4060,3794,3463,3,0.0679292231798172,3522,87,35,1,0.0915261134505272,4031,2381,1738,3,0.0255295019596815,186,13,0,1980-01-06T03:00:57
