time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian
1633357039,852200,1395,11.039999961853,102842,-125.518218994141,5,13,1,1970-01-01T03:00:02
1633357040,852200,2395,11.0500001907349,102843,-125.600463867188,16,13,1,1970-01-01T03:00:03
1633357041,852200,6395,11.0699996948242,102847,-125.92945098877,65,13,1,1970-01-01T03:00:06
1633357042,852200,7395,11.0600004196167,102839,-125.271476745605,76,13,1,1980-01-06T03:00:04
1633357043,852200,8395,11.0799999237061,102845,-125.764953613281,88,13,1,1980-01-06T03:00:05
1633357044,852200,9395,11.0699996948242,102838,-125.189231872559,101,13,1,1980-01-06T03:00:06
1633357045,852200,10395,11.0799999237061,102839,-125.271476745605,112,13,1,1980-01-06T03:00:07
1633357046,852200,11395,11.0900001525879,102847,-125.92945098877,123,13,1,1980-01-06T03:00:08
1633357047,852200,12395,11.0900001525879,102847,-125.92945098877,136,13,1,1980-01-06T03:00:09
1633357048,852200,13395,11.0900001525879,102846,-125.847198486328,148,13,1,1980-01-06T03:00:10
1633357049,852200,14395,11.0900001525879,102838,-125.189231872559,159,13,1,1980-01-06T03:00:11
1633357050,852200,15395,11.0900001525879,102836,-125.02473449707,172,13,1,1980-01-06T03:00:12
1633357051,852200,16395,11.0900001525879,102836,-125.02473449707,183,13,1,1980-01-06T03:00:13
1633357052,852200,17395,11.1000003814697,102837,-125.106986999512,194,13,1,1980-01-06T03:00:14
1633357053,852200,18395,11.1199998855591,102845,-125.764953613281,208,13,1,1980-01-06T03:00:15
1633357054,852200,19395,11.1199998855591,102846,-125.847198486328,219,13,1,1980-01-06T03:00:16
1633357055,852200,20395,11.1199998855591,102838,-125.189231872559,230,13,1,1980-01-06T03:00:17
1633357056,852200,21395,11.1300001144409,102843,-125.600463867188,243,13,1,1980-01-06T03:00:18
1633357057,852200,22395,11.1300001144409,102842,-125.518218994141,254,13,1,1980-01-06T03:00:19
1633357058,852200,23395,11.1400003433228,102843,-125.600463867188,10,13,1,1980-01-06T03:00:20
1633357059,852200,24395,11.1499996185303,102847,-125.92945098877,23,13,1,1980-01-06T03:00:21
1633357060,852200,25395,11.1599998474121,102847,-125.92945098877,34,13,1,1980-01-06T03:00:22
1633357061,852200,26395,11.1800003051758,102846,-125.847198486328,45,13,1,1980-01-06T03:00:23
1633357062,852200,27395,11.1800003051758,102843,-125.600463867188,58,13,1,1980-01-06T03:00:24
1633357063,852200,28395,11.1899995803833,102844,-125.682708740234,70,13,1,1980-01-06T03:00:25
1633357064,852200,29395,11.1999998092651,102847,-125.92945098877,81,13,1,1980-01-06T03:00:26
1633357065,852200,30395,11.210000038147,102847,-125.92945098877,94,13,1,1980-01-06T03:00:27
1633357066,852200,31395,11.2299995422363,102846,-125.847198486328,105,13,1,1980-01-06T03:00:28
1633357067,852200,32395,11.2399997711182,102842,-125.518218994141,116,13,1,1980-01-06T03:00:29
1633357068,852200,33395,11.2600002288818,102845,-125.764953613281,130,13,1,1980-01-06T03:00:30
1633357069,852200,34395,11.2799997329712,102845,-125.764953613281,141,13,1,1980-01-06T03:00:31
1633357070,852200,35395,11.2799997329712,102844,-125.682708740234,152,13,1,1980-01-06T03:00:32
1633357071,852200,36395,11.2799997329712,102844,-125.682708740234,165,13,1,1980-01-06T03:00:33
1633357072,852200,37395,11.289999961853,102846,-125.847198486328,176,13,1,1980-01-06T03:00:34
1633357073,852200,38395,11.3000001907349,102841,-125.435966491699,188,13,1,1980-01-06T03:00:35
1633357074,852200,39395,11.3199996948242,102844,-125.682708740234,201,13,1,1980-01-06T03:00:36
1633357075,852200,40395,11.3199996948242,102842,-125.518218994141,212,13,1,1980-01-06T03:00:37
1633357076,852200,41395,11.3199996948242,102843,-125.600463867188,223,13,1,1980-01-06T03:00:38
1633357077,852200,42395,11.3199996948242,102846,-125.847198486328,236,13,1,1980-01-06T03:00:39
1633357078,852200,43395,11.3299999237061,102846,-125.847198486328,248,13,1,1980-01-06T03:00:40
1633357079,852200,44395,11.3400001525879,102847,-125.92945098877,3,13,1,1980-01-06T03:00:41
1633357080,852200,45395,11.3500003814697,102846,-125.847198486328,16,13,1,1980-01-06T03:00:42
1633357081,852200,46395,11.3699998855591,102842,-125.518218994141,27,13,1,1980-01-06T03:00:43
1633357082,852200,47395,11.3999996185303,102845,-125.764953613281,38,13,1,1980-01-06T03:00:44
1633357083,852200,48395,11.3999996185303,102842,-125.518218994141,52,13,1,1980-01-06T03:00:45
1633357084,852200,49395,11.4300003051758,102844,-125.682708740234,63,13,1,1980-01-06T03:00:46
1633357085,852200,50395,11.4399995803833,102843,-125.600463867188,74,13,1,1980-01-06T03:00:47
1633357086,852200,51395,11.4499998092651,102838,-125.189231872559,87,13,1,1980-01-06T03:00:48
1633357087,852200,52395,11.460000038147,102837,-125.106986999512,98,13,1,1980-01-06T03:00:49
1633357088,852200,53395,11.4700002670288,102840,-125.353721618652,110,13,1,1980-01-06T03:00:50
1633357089,852200,54395,11.4799995422363,102840,-125.353721618652,123,13,1,1980-01-06T03:00:51
1633357090,852200,55395,11.5,102844,-125.682708740234,134,13,1,1980-01-06T03:00:52
1633357091,852200,56395,11.5100002288818,102845,-125.764953613281,145,13,1,1980-01-06T03:00:53
1633357092,852200,57395,11.5200004577637,102842,-125.518218994141,158,13,1,1980-01-06T03:00:54
1633357093,852200,58395,11.5500001907349,102842,-125.518218994141,170,13,1,1980-01-06T03:00:55
1633357094,852200,59395,11.5600004196167,102843,-125.600463867188,181,13,1,1980-01-06T03:00:56
1633357095,852200,60395,11.5900001525879,102845,-125.764953613281,194,13,1,1980-01-06T03:00:57
1633357096,852200,61395,11.6099996566772,102844,-125.682708740234,205,13,1,1980-01-06T03:00:58
1633357097,852200,62395,11.6199998855591,102845,-125.764953613281,216,13,1,1980-01-06T03:00:59
1633357098,852200,63395,11.6300001144409,102842,-125.518218994141,230,13,1,1980-01-06T03:01:00
1633357099,852200,64395,11.6499996185303,102842,-125.518218994141,241,13,1,1980-01-06T03:01:01
1633357100,852200,65395,11.6700000762939,102846,-125.847198486328,252,13,1,1980-01-06T03:01:02
1633357101,852200,66395,11.6899995803833,102842,-125.518218994141,9,13,1,1980-01-06T03:01:03
1633357102,852200,67395,11.710000038147,102847,-125.92945098877,20,13,1,1980-01-06T03:01:04
1633357103,852200,68395,11.7200002670288,102848,-126.011695861816,32,13,1,1980-01-06T03:01:05
1633357104,852200,69395,11.7399997711182,102843,-125.600463867188,45,13,1,1980-01-06T03:01:06
1633357105,852200,70395,11.75,102843,-125.600463867188,56,13,1,1980-01-06T03:01:07
1633357107,852200,72395,11.7799997329712,102843,-125.600463867188,80,13,1,1980-01-06T03:01:09
1633357108,852200,73395,11.8000001907349,102844,-125.682708740234,92,13,1,1980-01-06T03:01:10
1633357109,852200,74395,11.8100004196167,102849,-126.093940734863,103,13,1,1980-01-06T03:01:11
1633357110,852200,75395,11.8299999237061,102844,-125.682708740234,116,13,1,1980-01-06T03:01:12
1633357111,852200,76395,11.8400001525879,102843,-125.600463867188,127,13,1,1980-01-06T03:01:13
1633357112,852200,77395,11.8400001525879,102843,-125.600463867188,138,13,1,1980-01-06T03:01:14
1633357113,852200,78395,11.8500003814697,102843,-125.600463867188,152,13,1,1980-01-06T03:01:15
1633357114,852200,79395,11.8599996566772,102842,-125.518218994141,163,13,1,1980-01-06T03:01:16
1633357115,852200,80395,11.8699998855591,102847,-125.92945098877,174,13,1,1980-01-06T03:01:17
1633357116,852200,81395,11.8800001144409,102846,-125.847198486328,187,13,1,1980-01-06T03:01:18
1633357117,852200,82395,11.8900003433228,102847,-125.92945098877,198,13,1,1980-01-06T03:01:19
1633357118,852200,83395,11.8900003433228,102845,-125.764953613281,210,13,1,1980-01-06T03:01:20
1633357119,852200,84395,11.9099998474121,102846,-125.847198486328,223,13,1,1980-01-06T03:01:21
1633357120,852200,85395,11.9200000762939,102848,-126.011695861816,234,13,1,1980-01-06T03:01:22
1633357121,852200,86395,11.9200000762939,102849,-126.093940734863,245,13,1,1980-01-06T03:01:23
1633357122,852200,87395,11.9300003051758,102851,-126.258430480957,2,13,1,1980-01-06T03:01:24
1633357123,852200,88395,11.9300003051758,102846,-125.847198486328,14,13,1,1980-01-06T03:01:25
1633357124,852200,89395,11.9300003051758,102846,-125.847198486328,25,13,1,1980-01-06T03:01:26
1633357125,852200,90395,11.9399995803833,102849,-126.093940734863,38,13,1,1980-01-06T03:01:27
1633357126,852200,91395,11.960000038147,102849,-126.093940734863,49,13,1,1980-01-06T03:01:28
1633357127,852200,92395,11.9799995422363,102850,-126.17618560791,60,13,1,1980-01-06T03:01:29
1633357128,852200,93395,11.9799995422363,102850,-126.17618560791,74,13,1,1980-01-06T03:01:30
1633357129,852200,94395,11.9799995422363,102847,-125.92945098877,85,13,1,1980-01-06T03:01:31
1633357130,852200,95395,12,102852,-126.340682983398,96,13,1,1980-01-06T03:01:32
1633357131,852200,96395,12,102847,-125.92945098877,109,13,1,1980-01-06T03:01:33
1633357132,852200,97395,12,102846,-125.847198486328,120,13,1,1980-01-06T03:01:34
