time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
1633357037,76359,1489,11,4,10,0,1970-01-01T03:00:01
1633357038,86282,2555,11,14,10,0,1970-01-01T03:00:02
1633357039,96205,3503,11,20,10,0,1970-01-01T03:00:03
1633357040,106128,4493,11.0625,30,10,0,1970-01-01T03:00:04
1633357041,116051,5483,11.0625,40,10,0,1980-01-06T03:00:03
1633357042,125974,6493,11.0625,46,10,0,1980-01-06T03:00:04
1633357043,126117,7565,11.0625,56,10,0,1980-01-06T03:00:05
1633357044,125959,8495,11.125,66,10,0,1980-01-06T03:00:06
1633357045,136208,9519,11.1875,76,10,0,1980-01-06T03:00:07
1633357046,138822,10582,11.25,82,10,0,1980-01-06T03:00:08
1633357047,129027,11503,11.3125,92,10,0,1980-01-06T03:00:09
1633357048,135974,12504,11.375,102,10,0,1980-01-06T03:00:10
1633357049,126071,13501,11.5,108,10,0,1980-01-06T03:00:11
1633357050,126653,14494,11.5625,118,10,0,1980-01-06T03:00:12
1633357051,125959,15566,11.625,128,10,0,1980-01-06T03:00:13
1633357052,135943,16513,11.75,134,10,0,1980-01-06T03:00:14
1633357053,145945,17513,11.8125,144,10,0,1980-01-06T03:00:15
1633357054,146663,18513,11.875,154,10,0,1980-01-06T03:00:16
1633357055,126037,19513,11.9375,160,10,0,1980-01-06T03:00:17
1633357056,137950,20580,12.0625,170,10,0,1980-01-06T03:00:18
1633357057,145963,21521,12.125,180,10,0,1980-01-06T03:00:19
1633357058,139237,22516,12.1875,186,10,0,1980-01-06T03:00:20
1633357059,136066,23484,12.25,196,10,0,1980-01-06T03:00:21
1633357060,138680,24515,12.375,206,10,0,1980-01-06T03:00:22
1633357061,138676,25581,12.375,212,10,0,1980-01-06T03:00:23
1633357062,146064,26526,12.5,222,10,0,1980-01-06T03:00:24
1633357063,136738,27512,12.5625,232,10,0,1980-01-06T03:00:25
1633357064,148756,28613,12.5625,242,10,0,1980-01-06T03:00:26
1633357065,148695,29534,12.625,248,10,0,1980-01-06T03:00:27
1633357066,158767,30543,12.6875,2,10,0,1980-01-06T03:00:28
1633357067,157906,31522,12.6875,12,10,0,1980-01-06T03:00:29
1633357068,148175,32522,12.6875,18,10,0,1980-01-06T03:00:30
1633357069,165962,33609,12.75,28,10,0,1980-01-06T03:00:31
1633357070,175952,34552,12.8125,38,10,0,1980-01-06T03:00:32
1633357071,166059,35541,12.8125,44,10,0,1980-01-06T03:00:33
1633357072,188763,36562,12.8125,54,10,0,1980-01-06T03:00:34
1633357073,168839,37542,12.875,64,10,0,1980-01-06T03:00:35
1633357074,177138,38619,12.875,70,10,0,1980-01-06T03:00:36
1633357075,165957,39541,12.9375,80,10,0,1980-01-06T03:00:37
1633357076,192665,40561,12.9375,90,10,0,1980-01-06T03:00:38
1633357077,188951,41648,12.9375,96,10,0,1980-01-06T03:00:39
1633357078,188710,42562,13,106,10,0,1980-01-06T03:00:40
1633357079,205960,43581,13,116,10,0,1980-01-06T03:00:41
1633357080,179005,44563,13.0625,122,10,0,1980-01-06T03:00:42
1633357081,202693,45574,13.0625,132,10,0,1980-01-06T03:00:43
1633357082,205956,46656,13.0625,142,10,0,1980-01-06T03:00:44
1633357083,205991,47608,13.125,152,10,0,1980-01-06T03:00:45
1633357084,206157,48572,13.125,158,10,0,1980-01-06T03:00:46
1633357085,226488,49602,13.1875,168,10,0,1980-01-06T03:00:47
1633357086,216063,50599,13.1875,178,10,0,1980-01-06T03:00:48
1633357087,215967,51659,13.1875,184,10,0,1980-01-06T03:00:49
1633357088,228687,52605,13.25,194,10,0,1980-01-06T03:00:50
1633357089,216069,53596,13.25,204,10,0,1980-01-06T03:00:51
1633357090,219044,54576,13.25,210,10,0,1980-01-06T03:00:52
1633357091,225959,55606,13.3125,220,10,0,1980-01-06T03:00:53
1633357092,235955,56682,13.3125,230,10,0,1980-01-06T03:00:54
1633357093,229196,57613,13.375,236,10,0,1980-01-06T03:00:55
1633357094,226248,58602,13.375,246,10,0,1980-01-06T03:00:56
1633357095,229090,59672,13.375,0,10,0,1980-01-06T03:00:57
1633357096,225957,60602,13.4375,6,10,0,1980-01-06T03:00:58
1633357097,228692,61602,13.5,16,10,0,1980-01-06T03:00:59
1633357098,228805,62602,13.5,26,10,0,1980-01-06T03:01:00
1633357099,236237,63629,13.5625,36,10,0,1980-01-06T03:01:01
1633357100,236383,64671,13.5625,42,10,0,1980-01-06T03:01:02
1633357101,225959,65600,13.5625,52,10,0,1980-01-06T03:01:03
1633357102,243791,66621,13.625,62,10,0,1980-01-06T03:01:04
1633357103,226518,67606,13.6875,68,10,0,1980-01-06T03:01:05
1633357104,235951,68604,13.6875,78,10,0,1980-01-06T03:01:06
1633357105,246114,69690,13.6875,88,10,0,1980-01-06T03:01:07
1633357106,236849,70606,13.75,94,10,0,1980-01-06T03:01:08
1633357107,236303,71616,13.75,104,10,0,1980-01-06T03:01:09
1633357108,236150,72671,13.75,114,10,0,1980-01-06T03:01:10
1633357109,238768,73615,13.8125,120,10,0,1980-01-06T03:01:11
1633357110,236226,74604,13.8125,130,10,0,1980-01-06T03:01:12
1633357111,238696,75611,13.8125,140,10,0,1980-01-06T03:01:13
1633357112,236037,76623,13.875,146,10,0,1980-01-06T03:01:14
1633357113,245997,77691,13.875,156,10,0,1980-01-06T03:01:15
1633357114,248688,78625,13.875,166,10,0,1980-01-06T03:01:16
1633357115,248684,79625,13.9375,172,10,0,1980-01-06T03:01:17
1633357116,246000,80626,14,182,10,0,1980-01-06T03:01:18
1633357117,247989,81608,14,192,10,0,1980-01-06T03:01:19
1633357118,259058,82696,14,198,10,0,1980-01-06T03:01:20
1633357119,258692,83643,14,208,10,0,1980-01-06T03:01:21
1633357120,256067,84629,14.0625,218,10,0,1980-01-06T03:01:22
1633357121,256846,85606,14.0625,224,10,0,1980-01-06T03:01:23
1633357122,265987,86635,14.125,234,10,0,1980-01-06T03:01:24
1633357123,275954,87711,14.1875,244,10,0,1980-01-06T03:01:25
1633357124,258801,88661,14.1875,254,10,0,1980-01-06T03:01:26
1633357125,266229,89646,14.25,4,10,0,1980-01-06T03:01:27
1633357126,275959,90713,14.25,14,10,0,1980-01-06T03:01:28
1633357127,265986,91637,14.3125,20,10,0,1980-01-06T03:01:29
1633357128,266057,92642,14.3125,30,10,0,1980-01-06T03:01:30
1633357129,266381,93643,14.3125,40,10,0,1980-01-06T03:01:31
1633357130,272044,94660,14.3125,50,10,0,1980-01-06T03:01:32
1633357131,278694,95730,14.375,56,10,0,1980-01-06T03:01:33
1633357132,286391,96666,14.375,66,10,0,1980-01-06T03:01:34
1633357133,304403,97696,14.375,76,10,0,1980-01-06T03:01:35
1633357134,285959,98654,14.4375,82,10,0,1980-01-06T03:01:36
1633357135,285999,99653,14.5,92,10,0,1980-01-06T03:01:37
1633357136,288855,100740,14.5,102,10,0,1980-01-06T03:01:38
1633357137,278692,101653,14.5,108,10,0,1980-01-06T03:01:39
1633357138,276049,102643,14.5625,118,10,0,1980-01-06T03:01:40
1633357139,278818,103723,14.5625,128,10,0,1980-01-06T03:01:41
1633357140,279045,104663,14.625,134,10,0,1980-01-06T03:01:42
1633357141,288692,105673,14.625,144,10,0,1980-01-06T03:01:43
1633357142,298702,106675,14.6875,154,10,0,1980-01-06T03:01:44
1633357143,296045,107665,14.6875,160,10,0,1980-01-06T03:01:45
1633357144,289337,108731,14.6875,170,10,0,1980-01-06T03:01:46
1633357145,305982,109683,14.75,180,10,0,1980-01-06T03:01:47
1633357146,298924,110683,14.75,186,10,0,1980-01-06T03:01:48
1633357147,308694,111685,14.75,196,10,0,1980-01-06T03:01:49
1633357148,306064,112683,14.75,206,10,0,1980-01-06T03:01:50
1633357149,316083,113783,14.75,216,10,0,1980-01-06T03:01:51
1633357150,318733,114703,14.8125,222,10,0,1980-01-06T03:01:52
1633357151,319280,115696,14.8125,232,10,0,1980-01-06T03:01:53
1633357152,329527,116726,14.875,242,10,0,1980-01-06T03:01:54
1633357153,335959,117704,14.875,248,10,0,1980-01-06T03:01:55
1633357154,338711,118783,14.9375,2,10,0,1980-01-06T03:01:56
1633357155,346094,119713,14.9375,12,10,0,1980-01-06T03:01:57
1633357156,336212,120704,15,18,10,0,1980-01-06T03:01:58
1633357157,418205,121791,15,28,10,0,1980-01-06T03:01:59
1633357158,345967,122722,15,38,10,0,1980-01-06T03:02:00
1633357159,356582,123743,15.0625,44,10,0,1980-01-06T03:02:01
1633357160,346108,124733,15.0625,54,10,0,1980-01-06T03:02:02
1633357161,346067,125721,15.0625,64,10,0,1980-01-06T03:02:03
1633357162,358688,126806,15.125,70,10,0,1980-01-06T03:02:04
1633357163,348698,127733,15.125,80,10,0,1980-01-06T03:02:05
1633357164,346096,128733,15.125,90,10,0,1980-01-06T03:02:06
1633357165,356720,129763,15.1875,100,10,0,1980-01-06T03:02:07
1633357166,365955,130734,15.1875,106,10,0,1980-01-06T03:02:08
1633357167,355959,131796,15.25,116,10,0,1980-01-06T03:02:09
1633357168,355966,132747,15.25,126,10,0,1980-01-06T03:02:10
1633357169,358801,133743,15.25,132,10,0,1980-01-06T03:02:11
1633357170,436065,134812,15.3125,142,10,0,1980-01-06T03:02:12
1633357171,446498,135812,15.3125,152,10,0,1980-01-06T03:02:13
1633357172,445940,136833,15.3125,158,10,0,1980-01-06T03:02:14
1633357173,455967,137899,15.3125,168,10,0,1980-01-06T03:02:15
1633357174,448691,138825,15.375,178,10,0,1980-01-06T03:02:16
1633357175,442064,139813,15.375,184,10,0,1980-01-06T03:02:17
1633357176,449025,140892,15.4375,194,10,0,1980-01-06T03:02:18
1633357177,445967,141822,15.5,204,10,0,1980-01-06T03:02:19
1633357178,448688,142826,15.5,210,10,0,1980-01-06T03:02:20
1633357179,438851,143819,15.5,220,10,0,1980-01-06T03:02:21
1633357180,462714,144831,15.5,230,10,0,1980-01-06T03:02:22
1633357181,476075,145942,15.5625,240,10,0,1980-01-06T03:02:23
1633357182,466065,146841,15.5625,246,10,0,1980-01-06T03:02:24
1633357183,469736,147853,15.5625,0,10,0,1980-01-06T03:02:25
1633357184,485956,148853,15.625,10,10,0,1980-01-06T03:02:26
1633357185,466055,149834,15.625,16,10,0,1980-01-06T03:02:27
1633357186,466204,150920,15.6875,26,10,0,1980-01-06T03:02:28
1633357187,475956,151863,15.6875,36,10,0,1980-01-06T03:02:29
1633357188,472044,152839,15.6875,42,10,0,1980-01-06T03:02:30
1633357189,476059,153831,15.6875,52,10,0,1980-01-06T03:02:31
1633357190,479070,154863,15.75,62,10,0,1980-01-06T03:02:32
1633357191,485948,155935,15.75,68,10,0,1980-01-06T03:02:33
1633357192,478686,156852,15.75,78,10,0,1980-01-06T03:02:34
1633357193,476067,157863,15.75,88,10,0,1980-01-06T03:02:35
1633357194,485951,158929,15.8125,94,10,0,1980-01-06T03:02:36
1633357195,485975,159854,15.8125,104,10,0,1980-01-06T03:02:37
