time_s,time_us,azimuth,elevation,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357437,958158,-1.0,0.0,0,0,0,2021-10-04T17:23:57,1633357438.4982169,2021-10-04T17:23:58
1633357442,805522,1.0,0.0,0,0,0,2021-10-04T17:24:02,1633357443.286293,2021-10-04T17:24:03
1633357445,248529,-1.0,0.0,0,0,0,2021-10-04T17:24:05,1633357445.7305958,2021-10-04T17:24:05
1633357452,958153,-10.0,0.0,0,0,0,2021-10-04T17:24:12,1633357453.444021,2021-10-04T17:24:13
1633357458,176277,10.0,0.0,0,0,0,2021-10-04T17:24:18,1633357458.6585839,2021-10-04T17:24:18
1633357461,168305,0.0,10.0,0,0,0,2021-10-04T17:24:21,1633357461.654105,2021-10-04T17:24:21
1633357471,756031,-10.0,0.0,0,0,0,2021-10-04T17:24:31,1633357472.237341,2021-10-04T17:24:32
1633357484,796251,-10.0,0.0,0,0,0,2021-10-04T17:24:44,1633357485.2960439,2021-10-04T17:24:45
1633357489,780477,10.0,0.0,0,0,0,2021-10-04T17:24:49,1633357490.2617679,2021-10-04T17:24:50
1633357497,82002,0.0,10.0,0,0,0,2021-10-04T17:24:57,1633357497.56368,2021-10-04T17:24:57
1633357546,677805,-10.0,0.0,0,0,0,2021-10-04T17:25:46,1633357547.165196,2021-10-04T17:25:47
1633357551,632333,-10.0,0.0,0,0,0,2021-10-04T17:25:51,1633357552.1167688,2021-10-04T17:25:52
1633357558,385260,0.0,10.0,0,0,0,2021-10-04T17:25:58,1633357558.871517,2021-10-04T17:25:58
1633357561,377252,0.0,-10.0,0,0,0,2021-10-04T17:26:01,1633357561.863641,2021-10-04T17:26:01
1633357566,303776,10.0,0.0,0,0,0,2021-10-04T17:26:06,1633357566.788408,2021-10-04T17:26:06
1633357573,194359,10.0,0.0,0,0,0,2021-10-04T17:26:13,1633357573.679193,2021-10-04T17:26:13
1633357577,29558,-10.0,0.0,0,0,0,2021-10-04T17:26:17,1633357577.5179849,2021-10-04T17:26:17
1633357890,246542,10.0,0.0,0,0,0,2021-10-04T17:31:30,1633357890.750473,2021-10-04T17:31:30
