time_s,time_us,time_steady,update_time_operator,update_time_radio,last_packet_time,last_packet_rssi,last_packet_snr,last_packet_signal_rssi,last_executed_cmd_seq,radio_error_bits,radio_state,count_packet_recieved,count_crc_errors,count_hdr_errors,count_mavlink_msgs_recieved,count_operator_cmds_recieved,count_operator_cmds_executed,count_operator_errors,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965020,707060,221003,221003,220983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,151,10,0,1980-01-06T03:03:40,1633357263.356009,2021-10-04T17:21:03
315965034,707156,235003,234993,235003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,193,10,0,1980-01-06T03:03:54,1633357276.935525,2021-10-04T17:21:16
315965048,706645,249003,249003,248993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,235,10,0,1980-01-06T03:04:08,1633357290.565589,2021-10-04T17:21:30
315965075,706691,276003,276003,276003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,60,10,0,1980-01-06T03:04:35,1633357318.645565,2021-10-04T17:21:58
315965089,716800,290013,290003,290013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,102,10,0,1980-01-06T03:04:49,1633357332.2152529,2021-10-04T17:22:12
315965103,759544,304014,304003,304014,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,144,10,0,1980-01-06T03:05:03,1633357345.195392,2021-10-04T17:22:25
315965116,758700,317013,317003,317013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,183,10,0,1980-01-06T03:05:16,1633357358.1658719,2021-10-04T17:22:38
315965143,749067,344003,344003,343843,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,8,10,0,1980-01-06T03:05:43,1633357386.777621,2021-10-04T17:23:06
315965157,749074,358003,358003,357973,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,50,10,0,1980-01-06T03:05:57,1633357400.376525,2021-10-04T17:23:20
315965171,749361,372004,371993,372004,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,92,10,0,1980-01-06T03:06:11,1633357413.416256,2021-10-04T17:23:33
315965184,758552,385013,385003,385013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,131,10,0,1980-01-06T03:06:24,1633357426.508044,2021-10-04T17:23:46
315965198,869631,399003,399003,399003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,173,10,0,1980-01-06T03:06:38,1633357442.1561608,2021-10-04T17:24:02
315965213,870013,414003,414003,413943,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,218,10,0,1980-01-06T03:06:53,1633357455.73644,2021-10-04T17:24:15
315965226,870013,427003,427003,426953,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,1,10,0,1980-01-06T03:07:06,1633357468.746585,2021-10-04T17:24:28
315965239,870028,440003,440003,439983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,40,10,0,1980-01-06T03:07:19,1633357482.3861768,2021-10-04T17:24:42
315965253,869634,454003,454003,454003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,82,10,0,1980-01-06T03:07:33,1633357495.40696,2021-10-04T17:24:55
315965267,869756,468003,467993,468003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,124,10,0,1980-01-06T03:07:47,1633357511.176249,2021-10-04T17:25:11
315965280,869618,481003,481003,481003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,163,10,0,1980-01-06T03:08:00,1633357523.5267,2021-10-04T17:25:23
315965294,879543,495013,495003,495013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,205,10,0,1980-01-06T03:08:14,1633357537.1667209,2021-10-04T17:25:37
315965309,915734,510013,510003,510013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,250,10,0,1980-01-06T03:08:29,1633357550.76774,2021-10-04T17:25:50
315965322,915402,523013,523003,523013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,33,10,0,1980-01-06T03:08:42,1633357563.8266358,2021-10-04T17:26:03
315965349,905884,550003,550003,549993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,114,10,0,1980-01-06T03:09:09,1633357592.629097,2021-10-04T17:26:32
315965363,905892,564003,564003,563883,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,156,10,0,1980-01-06T03:09:23,1633357605.696517,2021-10-04T17:26:45
315965376,905871,577003,577003,576963,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,195,10,0,1980-01-06T03:09:36,1633357619.356912,2021-10-04T17:26:59
315965390,915752,591013,591003,591013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,237,10,0,1980-01-06T03:09:50,1633357632.397512,2021-10-04T17:27:12
315965406,137404,606003,606003,606003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,26,10,0,1980-01-06T03:10:06,1633357648.166877,2021-10-04T17:27:28
315965419,137382,619003,619003,618993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,65,10,0,1980-01-06T03:10:19,1633357661.7872639,2021-10-04T17:27:41
315965433,137780,633003,633003,632983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,107,10,0,1980-01-06T03:10:33,1633357674.858021,2021-10-04T17:27:54
315965447,137380,647003,647003,647003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,149,10,0,1980-01-06T03:10:47,1633357687.807533,2021-10-04T17:28:07
315965474,137788,674003,674003,673993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,230,10,0,1980-01-06T03:11:14,1633357716.5573518,2021-10-04T17:28:36
315965488,137800,688003,688003,687983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,16,10,0,1980-01-06T03:11:28,1633357730.170009,2021-10-04T17:28:50
315965502,225376,702003,702003,701953,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,58,10,0,1980-01-06T03:11:42,1633357743.2070608,2021-10-04T17:29:03
315965515,225005,715003,715003,715003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,97,10,0,1980-01-06T03:11:55,1633357756.216804,2021-10-04T17:29:16
315965529,225382,729003,729003,728993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,139,10,0,1980-01-06T03:12:09,1633357772.007277,2021-10-04T17:29:32
315965543,224979,743003,743003,743003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,181,10,0,1980-01-06T03:12:23,1633357785.126977,2021-10-04T17:29:45
