time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965021,706647,222003,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,156,10,0,1980-01-06T03:03:41,1633357264.534904,2021-10-04T17:21:04
315965035,707056,236003,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,198,10,0,1980-01-06T03:03:55,1633357278.1152399,2021-10-04T17:21:18
315965063,707060,264003,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,26,10,0,1980-01-06T03:04:23,1633357306.8055959,2021-10-04T17:21:46
315965076,707063,277003,0,0,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,65,10,0,1980-01-06T03:04:36,1633357319.8255248,2021-10-04T17:21:59
315965090,716584,291013,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,107,10,0,1980-01-06T03:04:50,1633357332.7959728,2021-10-04T17:22:12
315965104,748676,305003,0,0,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,149,10,0,1980-01-06T03:05:04,1633357346.367241,2021-10-04T17:22:26
315965117,748646,318003,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,188,10,0,1980-01-06T03:05:17,1633357361.406421,2021-10-04T17:22:41
315965131,749062,332003,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,230,10,0,1980-01-06T03:05:31,1633357375.005993,2021-10-04T17:22:55
315965145,758526,346013,0,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,16,10,0,1980-01-06T03:05:45,1633357388.5476289,2021-10-04T17:23:08
315965158,758599,359013,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,55,10,0,1980-01-06T03:05:58,1633357401.585768,2021-10-04T17:23:21
315965172,749117,373003,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,97,10,0,1980-01-06T03:06:12,1633357414.6460679,2021-10-04T17:23:34
315965185,758522,386013,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,136,10,0,1980-01-06T03:06:25,1633357429.7267249,2021-10-04T17:23:49
315965198,869631,399003,0,0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,175,10,0,1980-01-06T03:06:38,1633357442.736532,2021-10-04T17:24:02
315965214,879618,415013,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,223,10,0,1980-01-06T03:06:54,1633357456.9361439,2021-10-04T17:24:16
315965227,869923,428003,0,0,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,6,10,0,1980-01-06T03:07:07,1633357469.926148,2021-10-04T17:24:29
315965240,879503,441013,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,45,10,0,1980-01-06T03:07:20,1633357482.976244,2021-10-04T17:24:42
