time_s,time_us,time_steady,updated_time_steady,updated_time_from_s,updated_time_from_us,updated_time_from_base,updated_time_to_s,updated_time_to_us,updated_time_to_base,count_of_time_updates,count_of_aggressive_time_updates,imi_time_sync_steady,imi_count_of_syncs,imi_time_s,imi_time_us,imi_time_base,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965020,707060,221003,199659,315964997,432332,1,315964999,363149,1,2,1,220873,200,315965020,577080,1,152,10,0,1980-01-06T03:03:40,1633357263.944869,2021-10-04T17:21:03
315965034,707156,235003,199659,315964997,432332,1,315964999,363149,1,2,1,233113,211,315965032,817040,1,194,10,0,1980-01-06T03:03:54,1633357277.525836,2021-10-04T17:21:17
315965049,707059,250003,199659,315964997,432332,1,315964999,363149,1,2,1,249703,226,315965049,407077,1,239,10,0,1980-01-06T03:04:09,1633357290.565589,2021-10-04T17:21:30
315965075,706691,276003,199659,315964997,432332,1,315964999,363149,1,2,1,275083,249,315965074,787059,1,61,10,0,1980-01-06T03:04:35,1633357319.235972,2021-10-04T17:21:59
315965089,716800,290013,199659,315964997,432332,1,315964999,363149,1,2,1,289433,262,315965089,137063,1,103,10,0,1980-01-06T03:04:49,1633357332.2152529,2021-10-04T17:22:12
315965103,759544,304014,297956,315965097,659608,1,315965097,701685,1,3,1,303763,275,315965103,509070,1,145,10,0,1980-01-06T03:05:03,1633357345.785497,2021-10-04T17:22:25
315965116,758700,317013,297956,315965097,659608,1,315965097,701685,1,3,1,315993,286,315965115,739072,1,184,10,0,1980-01-06T03:05:16,1633357358.1658719,2021-10-04T17:22:38
315965143,749067,344003,297956,315965097,659608,1,315965097,701685,1,3,1,343724,311,315965143,469303,1,9,10,0,1980-01-06T03:05:43,1633357387.376085,2021-10-04T17:23:07
315965158,758599,359013,297956,315965097,659608,1,315965097,701685,1,3,1,351463,318,315965151,209080,1,54,10,0,1980-01-06T03:05:58,1633357400.376525,2021-10-04T17:23:20
315965171,749361,372004,297956,315965097,659608,1,315965097,701685,1,3,1,371433,336,315965171,179070,1,93,10,0,1980-01-06T03:06:11,1633357413.416256,2021-10-04T17:23:33
315965184,758552,385013,297956,315965097,659608,1,315965097,701685,1,3,1,383713,347,315965183,458691,1,132,10,0,1980-01-06T03:06:24,1633357427.087996,2021-10-04T17:23:47
315965198,869631,399003,398762,315965198,507567,1,315965198,628582,1,4,1,398083,360,315965197,828713,1,174,10,0,1980-01-06T03:06:38,1633357442.1561608,2021-10-04T17:24:02
315965213,870013,414003,398762,315965198,507567,1,315965198,628582,1,4,1,413613,374,315965213,480010,1,219,10,0,1980-01-06T03:06:53,1633357455.73644,2021-10-04T17:24:15
315965226,870013,427003,398762,315965198,507567,1,315965198,628582,1,4,1,425773,385,315965225,640020,1,2,10,0,1980-01-06T03:07:06,1633357469.3264968,2021-10-04T17:24:29
315965240,879503,441013,398762,315965198,507567,1,315965198,628582,1,4,1,440123,398,315965239,990018,1,44,10,0,1980-01-06T03:07:20,1633357482.3861768,2021-10-04T17:24:42
315965253,869634,454003,398762,315965198,507567,1,315965198,628582,1,4,1,453373,410,315965253,240018,1,83,10,0,1980-01-06T03:07:33,1633357498.1064248,2021-10-04T17:24:58
315965268,879497,469013,398762,315965198,507567,1,315965198,628582,1,4,1,468813,424,315965268,680016,1,128,10,0,1980-01-06T03:07:48,1633357511.176249,2021-10-04T17:25:11
315965281,869622,482003,398762,315965198,507567,1,315965198,628582,1,4,1,481003,435,315965280,870032,1,167,10,0,1980-01-06T03:08:01,1633357524.1167839,2021-10-04T17:25:24
315965294,879543,495013,398762,315965198,507567,1,315965198,628582,1,4,1,494223,447,315965294,90017,1,206,10,0,1980-01-06T03:08:14,1633357537.746393,2021-10-04T17:25:37
315965309,915734,510013,499141,315965299,8134,1,315965299,44069,1,5,1,509713,461,315965309,615524,1,251,10,0,1980-01-06T03:08:29,1633357551.3469808,2021-10-04T17:25:51
315965336,905871,537003,499141,315965299,8134,1,315965299,44069,1,5,1,536283,485,315965336,185483,1,76,10,0,1980-01-06T03:08:56,1633357579.496728,2021-10-04T17:26:19
315965349,905884,550003,499141,315965299,8134,1,315965299,44069,1,5,1,549613,497,315965349,515515,1,115,10,0,1980-01-06T03:09:09,1633357593.216696,2021-10-04T17:26:33
315965364,905453,565003,499141,315965299,8134,1,315965299,44069,1,5,1,561763,508,315965361,665892,1,160,10,0,1980-01-06T03:09:24,1633357606.2868009,2021-10-04T17:26:46
