time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965019,985000,219970,219970,219970,5514,1,-11,0,0,0,178,11,0,1980-01-06T03:03:39,1633357262.7752209,2021-10-04T17:21:02
315965034,556000,234542,234542,234542,5888,1,-11,0,0,0,40,11,0,1980-01-06T03:03:54,1633357276.935525,2021-10-04T17:21:16
315965047,923000,247898,247898,247898,6228,1,-11,0,0,0,124,11,0,1980-01-06T03:04:07,1633357289.985285,2021-10-04T17:21:29
315965061,296000,261258,261258,261258,6569,1,-11,0,0,0,209,11,0,1980-01-06T03:04:21,1633357302.9755719,2021-10-04T17:21:42
315965075,881000,275827,275827,275827,6942,1,-11,0,0,0,70,11,0,1980-01-06T03:04:35,1633357318.645565,2021-10-04T17:21:58
315965089,253000,289187,289187,289187,7282,1,-11,0,0,0,154,11,0,1980-01-06T03:04:49,1633357331.6261399,2021-10-04T17:22:11
315965102,622000,302542,302542,302542,7625,1,-11,0,0,0,241,11,0,1980-01-06T03:05:02,1633357344.5859568,2021-10-04T17:22:24
315965115,994000,315900,315900,315900,7965,1,-11,0,0,0,69,11,0,1980-01-06T03:05:15,1633357357.5856209,2021-10-04T17:22:37
315965143,952000,343831,343831,343831,8678,1,-11,0,0,0,14,11,0,1980-01-06T03:05:43,1633357386.777621,2021-10-04T17:23:06
315965157,325000,357191,357191,357191,9019,1,-11,0,0,0,99,11,0,1980-01-06T03:05:57,1633357399.7858489,2021-10-04T17:23:19
315965170,696000,370548,370548,370548,9361,1,-11,0,0,0,185,11,0,1980-01-06T03:06:10,1633357413.416256,2021-10-04T17:23:33
315965185,284000,385122,385122,385122,9733,1,-11,0,0,0,45,11,0,1980-01-06T03:06:25,1633357426.508044,2021-10-04T17:23:46
315965198,654000,398479,398479,398479,10074,1,-11,0,0,0,130,11,0,1980-01-06T03:06:38,1633357442.1561608,2021-10-04T17:24:02
315965212,25000,411836,411836,411836,10415,1,-11,0,0,0,215,11,0,1980-01-06T03:06:52,1633357455.73644,2021-10-04T17:24:15
315965226,611000,426408,426408,426408,10788,1,-11,0,0,0,76,11,0,1980-01-06T03:07:06,1633357468.746585,2021-10-04T17:24:28
315965239,988000,439771,439771,439771,11129,1,-11,0,0,0,161,11,0,1980-01-06T03:07:19,1633357481.776177,2021-10-04T17:24:41
315965254,579000,454348,454348,454348,11502,1,-11,0,0,0,22,11,0,1980-01-06T03:07:34,1633357495.40696,2021-10-04T17:24:55
315965266,582000,466339,466339,466339,11808,1,-11,0,0,0,72,11,0,1980-01-06T03:07:46,1633357510.596396,2021-10-04T17:25:10
315965280,827000,480569,480569,480569,12172,1,-11,0,0,0,180,11,0,1980-01-06T03:08:00,1633357523.5267,2021-10-04T17:25:23
315965294,60000,493789,493789,493789,12501,1,-11,0,0,0,253,11,0,1980-01-06T03:08:14,1633357536.5566769,2021-10-04T17:25:36
315965308,309000,508024,508024,508024,12863,1,-11,0,0,0,103,11,0,1980-01-06T03:08:28,1633357550.76774,2021-10-04T17:25:50
315965322,553000,522254,522254,522254,13227,1,-11,0,0,0,211,11,0,1980-01-06T03:08:42,1633357563.8266358,2021-10-04T17:26:03
315965350,29000,549702,549702,549702,13923,1,-11,0,0,0,139,11,0,1980-01-06T03:09:10,1633357592.629097,2021-10-04T17:26:32
315965364,273000,563932,563932,563932,14283,1,-11,0,0,0,243,11,0,1980-01-06T03:09:24,1633357605.696517,2021-10-04T17:26:45
315965377,502000,577148,577148,577148,14621,1,-11,0,0,0,69,11,0,1980-01-06T03:09:37,1633357618.7476208,2021-10-04T17:26:58
315965390,729000,590362,590362,590362,14959,1,-11,0,0,0,151,11,0,1980-01-06T03:09:50,1633357632.397512,2021-10-04T17:27:12
315965405,992000,605609,605609,605609,15345,1,-11,0,0,0,25,11,0,1980-01-06T03:10:05,1633357648.166877,2021-10-04T17:27:28
315965419,218000,618823,618823,618823,15677,1,-11,0,0,0,101,11,0,1980-01-06T03:10:19,1633357661.206712,2021-10-04T17:27:41
315965432,449000,632040,632040,632040,16015,1,-11,0,0,0,183,11,0,1980-01-06T03:10:32,1633357674.858021,2021-10-04T17:27:54
