time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965018,771000,218757,5,5,12804,12804,189,189,5478,5478,5478,5478,0,0,1654,72,7132,5478,194,0,0,0,0,0,1654,0,0,0,147,11,0,1980-01-06T03:03:38,1633357259.54582,2021-10-04T17:20:59
315965032,129000,232115,5,5,13603,13603,201,201,5820,5820,5820,5820,0,0,1757,72,7577,5820,206,0,0,0,0,0,1757,0,0,0,232,11,0,1980-01-06T03:03:52,1633357275.756832,2021-10-04T17:21:15
315965045,493000,245470,5,5,14402,14402,213,213,6162,6162,6162,6161,0,0,1860,72,8022,6162,218,0,0,0,0,0,1860,0,0,0,62,11,0,1980-01-06T03:04:05,1633357288.785476,2021-10-04T17:21:28
315965060,82000,260045,5,5,15272,15272,226,226,6534,6534,6534,6534,0,0,1973,72,8507,6534,231,0,0,0,0,0,1973,0,0,0,177,11,0,1980-01-06T03:04:20,1633357301.8157399,2021-10-04T17:21:41
315965073,452000,273402,5,5,16065,16065,238,238,6873,6873,6873,6873,0,0,2076,72,8949,6873,243,0,0,0,0,0,2076,0,0,0,7,11,0,1980-01-06T03:04:33,1633357315.405225,2021-10-04T17:21:55
315965086,821000,286756,5,5,16868,16868,250,250,7217,7217,7217,7217,0,0,2179,72,9396,7217,255,0,0,0,0,0,2179,0,0,0,92,11,0,1980-01-06T03:04:46,1633357330.415524,2021-10-04T17:22:10
315965100,192000,300115,5,5,17662,17662,262,262,7556,7556,7556,7556,0,0,2283,72,9839,7556,267,0,0,0,0,0,2283,0,0,0,177,11,0,1980-01-06T03:05:00,1633357343.3956568,2021-10-04T17:22:23
315965113,563000,313473,5,5,18464,18464,274,274,7899,7899,7899,7899,0,0,2387,72,10286,7899,279,0,0,0,0,0,2387,0,0,0,7,11,0,1980-01-06T03:05:13,1633357357.0056078,2021-10-04T17:22:37
315965129,367000,329260,5,5,19403,19403,289,289,8300,8300,8300,8300,0,0,2509,72,10809,8300,294,0,0,0,0,0,2509,0,0,0,153,11,0,1980-01-06T03:05:29,1633357370.5473728,2021-10-04T17:22:50
315965142,738000,342617,5,5,20208,20208,301,301,8645,8645,8645,8644,0,0,2612,72,11257,8645,306,0,0,0,0,0,2612,0,0,0,239,11,0,1980-01-06T03:05:42,1633357386.1863048,2021-10-04T17:23:06
