time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965014,986900,215577,1,2,0,1,190,3,200348,1,931015,243,13,0,1980-01-06T03:03:34,1633357257.7550209,2021-10-04T17:20:57
315965029,986900,230577,1,2,0,1,204,3,200348,1,931015,165,13,0,1980-01-06T03:03:49,1633357271.3249838,2021-10-04T17:21:11
315965041,986900,242577,1,2,0,1,215,3,200348,1,931015,51,13,0,1980-01-06T03:04:01,1633357284.3654358,2021-10-04T17:21:24
315965053,986900,254577,1,2,0,1,226,3,200348,1,931015,194,13,0,1980-01-06T03:04:13,1633357299.435184,2021-10-04T17:21:39
315965068,986900,269577,1,2,0,1,239,3,200348,1,931015,116,13,0,1980-01-06T03:04:28,1633357313.036629,2021-10-04T17:21:53
315965083,986900,284577,1,2,0,1,253,3,200348,1,931015,38,13,0,1980-01-06T03:04:43,1633357326.005684,2021-10-04T17:22:06
315965095,986900,296577,1,2,0,1,264,3,200348,1,931015,180,13,0,1980-01-06T03:04:55,1633357339.005493,2021-10-04T17:22:19
315965107,986900,308577,1,2,0,1,274,3,200348,1,931015,67,13,0,1980-01-06T03:05:07,1633357352.6064079,2021-10-04T17:22:32
315965122,986900,323577,1,2,0,1,288,3,200348,1,931015,245,13,0,1980-01-06T03:05:22,1633357368.1860769,2021-10-04T17:22:48
315965137,986900,338577,1,2,0,1,301,3,200348,1,931015,167,13,0,1980-01-06T03:05:37,1633357381.2160928,2021-10-04T17:23:01
315965149,986900,350577,1,2,0,1,312,3,200348,1,931015,53,13,0,1980-01-06T03:05:49,1633357394.146021,2021-10-04T17:23:14
315965164,986900,365577,1,2,0,1,326,3,200348,1,931015,231,13,0,1980-01-06T03:06:04,1633357407.786581,2021-10-04T17:23:27
315965179,986900,380577,1,2,0,1,339,3,200348,1,931015,153,13,0,1980-01-06T03:06:19,1633357421.003401,2021-10-04T17:23:41
315965207,150200,407577,1,2,0,1,364,4,399748,0,163315,217,13,0,1980-01-06T03:06:47,1633357449.5378208,2021-10-04T17:24:09
315965219,150200,419577,1,2,0,1,374,4,399748,0,163315,104,13,0,1980-01-06T03:06:59,1633357463.117061,2021-10-04T17:24:23
315965234,150200,434577,1,2,0,1,388,4,399748,0,163315,26,13,0,1980-01-06T03:07:14,1633357476.159569,2021-10-04T17:24:36
315965261,150200,461577,1,2,0,1,413,4,399748,0,163315,90,13,0,1980-01-06T03:07:41,1633357505.5465438,2021-10-04T17:25:05
315965276,150200,476577,1,2,0,1,426,4,399748,0,163315,12,13,0,1980-01-06T03:07:56,1633357518.5263128,2021-10-04T17:25:18
315965288,150200,488577,1,2,0,1,437,4,399748,0,163315,155,13,0,1980-01-06T03:08:08,1633357531.5077128,2021-10-04T17:25:31
