time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965011,537870,211977,11.3125,49,10,1,1980-01-06T03:03:31,1633357252.744736,2021-10-04T17:20:52
315965017,629437,218083,11.375,101,10,1,1980-01-06T03:03:37,1633357258.9448,2021-10-04T17:20:58
315965025,629422,226162,11.5,173,10,1,1980-01-06T03:03:45,1633357268.37514,2021-10-04T17:21:08
315965031,619616,232073,11.5625,225,10,1,1980-01-06T03:03:51,1633357274.595033,2021-10-04T17:21:14
315965038,656795,239190,11.3125,27,10,1,1980-01-06T03:03:58,1633357281.375525,2021-10-04T17:21:21
315965044,669712,245140,11.25,83,10,1,1980-01-06T03:04:04,1633357288.205232,2021-10-04T17:21:28
315965051,666819,252182,11.0625,141,10,1,1980-01-06T03:04:11,1633357295.0458798,2021-10-04T17:21:35
315965058,722789,259172,10.9375,203,10,1,1980-01-06T03:04:18,1633357301.23526,2021-10-04T17:21:41
315965065,736797,266181,10.875,9,10,1,1980-01-06T03:04:25,1633357308.0351489,2021-10-04T17:21:48
315965071,726812,272171,10.8125,61,10,1,1980-01-06T03:04:31,1633357314.2354,2021-10-04T17:21:54
315965079,746828,280184,10.625,129,10,1,1980-01-06T03:04:39,1633357321.035861,2021-10-04T17:22:01
315965086,746779,287183,10.25,191,10,1,1980-01-06T03:04:46,1633357327.765612,2021-10-04T17:22:07
315965093,759837,294209,9.875,253,10,1,1980-01-06T03:04:53,1633357336.6255288,2021-10-04T17:22:16
315965099,818684,300234,9.625,49,10,1,1980-01-06T03:04:59,1633357342.8054118,2021-10-04T17:22:22
315965106,811816,307224,9.125,111,10,1,1980-01-06T03:05:06,1633357349.6159408,2021-10-04T17:22:29
315965112,821470,313222,8.75,163,10,1,1980-01-06T03:05:12,1633357356.405601,2021-10-04T17:22:36
315965120,838701,321242,8.0625,231,10,1,1980-01-06T03:05:20,1633357363.165616,2021-10-04T17:22:43
315965127,908803,328374,7.5,37,10,1,1980-01-06T03:05:27,1633357369.9656448,2021-10-04T17:22:49
315965134,901704,335302,7.0,99,10,1,1980-01-06T03:05:34,1633357376.756036,2021-10-04T17:22:56
315965140,928810,341398,6.4375,151,10,1,1980-01-06T03:05:40,1633357382.9665608,2021-10-04T17:23:02
315965147,961411,348373,5.875,213,10,1,1980-01-06T03:05:47,1633357389.736193,2021-10-04T17:23:09
315965155,59116,355474,5.8125,19,10,1,1980-01-06T03:05:55,1633357395.9264169,2021-10-04T17:23:15
315965169,141722,369542,5.25,139,10,1,1980-01-06T03:06:09,1633357411.6463048,2021-10-04T17:23:31
315965176,131848,376543,5.1875,201,10,1,1980-01-06T03:06:16,1633357418.516425,2021-10-04T17:23:38
315965181,147687,381552,5.0,247,10,1,1980-01-06T03:06:21,1633357424.7462769,2021-10-04T17:23:44
315965189,231436,389637,4.9375,59,10,1,1980-01-06T03:06:29,1633357431.476565,2021-10-04T17:23:51
315965195,228955,395624,4.75,111,10,1,1980-01-06T03:06:35,1633357437.686513,2021-10-04T17:23:57
315965202,342513,402633,4.5,173,10,1,1980-01-06T03:06:42,1633357444.506033,2021-10-04T17:24:04
315965208,359746,408642,4.375,225,10,1,1980-01-06T03:06:48,1633357450.716024,2021-10-04T17:24:10
315965217,392925,417676,4.25,47,10,1,1980-01-06T03:06:57,1633357458.1165168,2021-10-04T17:24:18
315965224,392369,424743,3.9375,109,10,1,1980-01-06T03:07:04,1633357466.966301,2021-10-04T17:24:26
315965231,399761,431681,3.375,171,10,1,1980-01-06T03:07:11,1633357473.778805,2021-10-04T17:24:33
315965237,439646,437792,3.125,223,10,1,1980-01-06T03:07:17,1633357479.9963279,2021-10-04T17:24:39
315965244,432066,444705,2.5,29,10,1,1980-01-06T03:07:24,1633357486.8562279,2021-10-04T17:24:46
315965250,439642,450711,2.0625,81,10,1,1980-01-06T03:07:30,1633357493.046701,2021-10-04T17:24:53
315965258,489631,458846,1.4375,149,10,1,1980-01-06T03:07:38,1633357500.498836,2021-10-04T17:25:00
315965264,532472,464816,1.3125,201,10,1,1980-01-06T03:07:44,1633357506.71748,2021-10-04T17:25:06
315965271,569734,471920,1.375,7,10,1,1980-01-06T03:07:51,1633357513.538404,2021-10-04T17:25:13
315965278,622386,478914,1.4375,69,10,1,1980-01-06T03:07:58,1633357519.706425,2021-10-04T17:25:19
315965285,622948,485914,1.625,131,10,1,1980-01-06T03:08:05,1633357526.4567769,2021-10-04T17:25:26
315965291,629757,491911,1.75,183,10,1,1980-01-06T03:08:11,1633357532.7264159,2021-10-04T17:25:32
315965299,675881,499988,1.8125,251,10,1,1980-01-06T03:08:19,1633357542.2165198,2021-10-04T17:25:42
315965305,696340,505943,1.875,47,10,1,1980-01-06T03:08:25,1633357548.996981,2021-10-04T17:25:48
315965313,705501,513952,2.0,119,10,1,1980-01-06T03:08:33,1633357555.8473969,2021-10-04T17:25:55
315965319,728283,519976,1.9375,171,10,1,1980-01-06T03:08:39,1633357562.0666718,2021-10-04T17:26:02
315965326,755938,527014,2.0,233,10,1,1980-01-06T03:08:46,1633357568.866744,2021-10-04T17:26:08
315965332,775827,533015,2.0,29,10,1,1980-01-06T03:08:52,1633357575.0667238,2021-10-04T17:26:15
315965340,776335,541017,1.9375,97,10,1,1980-01-06T03:09:00,1633357582.486552,2021-10-04T17:26:22
315965346,765517,546998,1.625,149,10,1,1980-01-06T03:09:06,1633357588.766516,2021-10-04T17:26:28
315965360,858404,561113,1.6875,17,10,1,1980-01-06T03:09:20,1633357603.906821,2021-10-04T17:26:43
315965367,856664,568095,1.8125,79,10,1,1980-01-06T03:09:27,1633357610.696552,2021-10-04T17:26:50
315965373,937901,574175,1.8125,131,10,1,1980-01-06T03:09:33,1633357617.57828,2021-10-04T17:26:57
315965380,945605,581200,1.8125,193,10,1,1980-01-06T03:09:40,1633357624.4073758,2021-10-04T17:27:04
315965388,935593,589175,1.6875,5,10,1,1980-01-06T03:09:48,1633357630.6367319,2021-10-04T17:27:10
315965395,938364,596187,1.4375,67,10,1,1980-01-06T03:09:55,1633357638.027021,2021-10-04T17:27:18
315965403,180204,603197,1.1875,129,10,1,1980-01-06T03:10:03,1633357644.326685,2021-10-04T17:27:24
315965410,217508,610243,1.125,187,10,1,1980-01-06T03:10:10,1633357651.1168048,2021-10-04T17:27:31
315965416,277414,616333,1.0625,243,10,1,1980-01-06T03:10:16,1633357657.346773,2021-10-04T17:27:37
315965423,278019,623287,0.8125,45,10,1,1980-01-06T03:10:23,1633357666.8267329,2021-10-04T17:27:46
315965430,309824,630310,0.75,107,10,1,1980-01-06T03:10:30,1633357673.087072,2021-10-04T17:27:53
315965437,327403,637335,0.8125,169,10,1,1980-01-06T03:10:37,1633357679.837061,2021-10-04T17:27:59
315965443,397670,643408,0.75,221,10,1,1980-01-06T03:10:43,1633357686.61686,2021-10-04T17:28:06
315965451,407427,651448,0.8125,37,10,1,1980-01-06T03:10:51,1633357692.837661,2021-10-04T17:28:12
315965457,407507,657485,0.75,89,10,1,1980-01-06T03:10:57,1633357699.0675008,2021-10-04T17:28:19
315965464,398328,664408,0.75,147,10,1,1980-01-06T03:11:04,1633357705.866864,2021-10-04T17:28:25
315965471,397418,671413,0.5,209,10,1,1980-01-06T03:11:11,1633357712.686956,2021-10-04T17:28:32
315965478,460356,678483,0.3125,15,10,1,1980-01-06T03:11:18,1633357719.5169969,2021-10-04T17:28:39
315965492,478462,692497,-0.125,139,10,1,1980-01-06T03:11:32,1633357735.2071118,2021-10-04T17:28:55
315965498,477407,698570,-0.3125,191,10,1,1980-01-06T03:11:38,1633357741.387272,2021-10-04T17:29:01
315965506,587743,706587,-0.5,3,10,1,1980-01-06T03:11:46,1633357748.2868009,2021-10-04T17:29:08
315965512,595309,712516,-0.8125,55,10,1,1980-01-06T03:11:52,1633357755.056813,2021-10-04T17:29:15
315965520,597912,720526,-1.5,127,10,1,1980-01-06T03:12:00,1633357761.907189,2021-10-04T17:29:21
315965526,597930,726592,-1.6875,179,10,1,1980-01-06T03:12:06,1633357768.129024,2021-10-04T17:29:28
315965533,605015,733531,-2.0625,241,10,1,1980-01-06T03:12:13,1633357774.9479718,2021-10-04T17:29:34
315965539,605129,739594,-2.25,37,10,1,1980-01-06T03:12:19,1633357781.2468798,2021-10-04T17:29:41
315965547,677741,747605,-2.375,105,10,1,1980-01-06T03:12:27,1633357788.0671809,2021-10-04T17:29:48
315965554,685008,754610,-2.5,167,10,1,1980-01-06T03:12:34,1633357797.0469449,2021-10-04T17:29:57
315965561,821228,761751,-2.5625,229,10,1,1980-01-06T03:12:41,1633357803.8788998,2021-10-04T17:30:03
315965567,825361,767833,-2.6875,25,10,1,1980-01-06T03:12:47,1633357810.096885,2021-10-04T17:30:10
315965575,885149,775880,-2.8125,97,10,1,1980-01-06T03:12:55,1633357817.5676289,2021-10-04T17:30:17
315965581,895565,781814,-2.8125,149,10,1,1980-01-06T03:13:01,1633357823.8172479,2021-10-04T17:30:23
315965589,15114,789010,-2.875,211,10,1,1980-01-06T03:13:09,1633357830.760524,2021-10-04T17:30:30
315965596,7807,796013,-3.1875,17,10,1,1980-01-06T03:13:16,1633357837.657469,2021-10-04T17:30:37
315965604,104226,803985,-3.3125,85,10,1,1980-01-06T03:13:24,1633357844.499413,2021-10-04T17:30:44
315965610,154711,810039,-3.9375,137,10,1,1980-01-06T03:13:30,1633357850.707545,2021-10-04T17:30:50
315965617,194503,817075,-4.75,199,10,1,1980-01-06T03:13:37,1633357859.6174169,2021-10-04T17:30:59
315965623,204114,823086,-5.1875,251,10,1,1980-01-06T03:13:43,1633357865.8770928,2021-10-04T17:31:05
315965630,254761,830143,-5.875,57,10,1,1980-01-06T03:13:50,1633357873.277413,2021-10-04T17:31:13
315965636,310226,836179,-6.1875,109,10,1,1980-01-06T03:13:56,1633357879.5470169,2021-10-04T17:31:19
315965643,314497,843213,-6.3125,171,10,1,1980-01-06T03:14:03,1633357886.327164,2021-10-04T17:31:26
315965650,415312,850373,-6.5,233,10,1,1980-01-06T03:14:10,1633357892.57726,2021-10-04T17:31:32
315965657,414215,857294,-6.75,39,10,1,1980-01-06T03:14:17,1633357899.366793,2021-10-04T17:31:39
315965665,454444,865335,-6.8125,107,10,1,1980-01-06T03:14:25,1633357906.2471318,2021-10-04T17:31:46
315965672,484617,872365,-6.75,169,10,1,1980-01-06T03:14:32,1633357913.0569959,2021-10-04T17:31:53
315965678,554286,878435,-6.75,221,10,1,1980-01-06T03:14:38,1633357919.2772129,2021-10-04T17:31:59
