time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965236,509477,436643,0.00457763671875,7.676000118255615,220,10,2,1980-01-06T03:07:16,1633357479.754381,2021-10-04T17:24:39
315965249,569605,449703,0.00640869140625,7.684000015258789,78,10,2,1980-01-06T03:07:29,1633357493.3696918,2021-10-04T17:24:53
315965276,206880,476340,0.00640869140625,7.699999809265137,50,10,2,1980-01-06T03:07:56,1633357519.4552438,2021-10-04T17:25:19
315965339,497702,539595,0.00640869140625,7.671999931335449,88,10,2,1980-01-06T03:08:59,1633357582.2565758,2021-10-04T17:26:22
315965573,647767,773426,-0.00732421875,7.6479997634887695,84,10,2,1980-01-06T03:12:53,1633357817.469241,2021-10-04T17:30:17
315965593,944996,793723,nan,nan,4,10,2,1980-01-06T03:13:13,1633357838.0815558,2021-10-04T17:30:38
315965636,354267,836093,-0.01190185546875,7.624000072479248,116,10,2,1980-01-06T03:13:56,1633357879.2713969,2021-10-04T17:31:19
315965649,444053,849183,0.00640869140625,7.627999782562256,230,10,2,1980-01-06T03:14:09,1633357892.339977,2021-10-04T17:31:32
315965725,546708,925286,0.00640869140625,7.607999801635742,126,10,2,1980-01-06T03:15:25,1633357968.3960009,2021-10-04T17:32:48
315965753,313962,953053,0.00457763671875,7.671999931335449,108,10,2,1980-01-06T03:15:53,1633357997.3051488,2021-10-04T17:33:17
315965821,959226,1021673,0.00457763671875,7.559999942779541,192,10,2,1980-01-06T03:17:01,1633358065.998512,2021-10-04T17:34:25
315965821,959226,1021673,0.00457763671875,7.559999942779541,192,10,2,1980-01-06T03:17:01,1633358066.289525,2021-10-04T17:34:26
315965829,261980,1028976,0.00457763671875,7.624000072479248,4,10,2,1980-01-06T03:17:09,1633358072.171928,2021-10-04T17:34:32
315966150,63724,1349496,0.00457763671875,7.460000038146973,232,10,2,1980-01-06T03:22:30,1633358393.7794929,2021-10-04T17:39:53
315966213,137537,1412356,nan,nan,14,10,2,1980-01-06T03:23:33,1633358453.954624,2021-10-04T17:40:53
315966262,777214,1461996,nan,nan,188,10,2,1980-01-06T03:24:22,1633358503.8849518,2021-10-04T17:41:43
