time_s,time_us,time_steady,iTOW,fTOW,week,gpsFix,flags,ecefX,ecefY,ecefZ,pAcc,ecefVX,ecefVY,ecefVZ,sAcc,pDOP,reserved1,numSV,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian,lat,lon,h
315965209,533000,409347,138263000,0,2178,0,76,637813700,0,0,649523520,0,0,0,7375,9999,0,0,147,11,0,1980-01-06T03:06:49,1633357452.286728,2021-10-04T17:24:12,0.0,0.0,0.0
315965242,564000,442345,138296000,0,2178,0,76,637813700,0,0,649524608,0,0,0,7649,9999,0,0,226,11,0,1980-01-06T03:07:22,1633357486.570905,2021-10-04T17:24:46,0.0,0.0,0.0
315965455,788000,655356,138509000,0,2178,0,76,637813700,0,0,649539008,0,0,0,9227,9999,0,0,7,11,0,1980-01-06T03:10:55,1633357698.2443209,2021-10-04T17:28:18,0.0,0.0,0.0
315965571,901000,771353,138625000,0,2178,0,76,637813700,0,0,649552576,0,0,0,9982,9999,0,0,141,11,0,1980-01-06T03:12:51,1633357815.9660358,2021-10-04T17:30:15,0.0,0.0,0.0
315965628,944000,828340,138682000,0,2178,0,76,637813700,0,0,649560448,0,0,0,10333,9999,0,0,52,11,0,1980-01-06T03:13:48,1633357869.8150039,2021-10-04T17:31:09,0.0,0.0,0.0
315965650,970000,850344,138704000,0,2178,0,76,637813700,0,0,649563712,0,0,0,10465,9999,0,0,88,11,0,1980-01-06T03:14:10,1633357892.8963568,2021-10-04T17:31:32,0.0,0.0,0.0
315965670,972000,870326,138724000,0,2178,0,76,637813700,0,0,649566784,0,0,0,10584,9999,0,0,89,11,0,1980-01-06T03:14:30,1633357912.259685,2021-10-04T17:31:52,0.0,0.0,0.0
315965755,81000,954351,138808000,0,2178,0,76,637813700,0,0,649580864,0,0,0,11069,9999,0,0,174,11,0,1980-01-06T03:15:55,1633357997.3051488,2021-10-04T17:33:17,0.0,0.0,0.0
315965778,123000,977370,138831000,0,2178,0,76,637813700,0,0,649585024,0,0,0,11198,9999,0,0,244,11,0,1980-01-06T03:16:18,1633358018.941596,2021-10-04T17:33:38,0.0,0.0,0.0
315965805,250000,1004470,138858000,0,2178,0,76,637813700,0,0,649591040,0,0,0,11347,9999,0,0,171,11,0,1980-01-06T03:16:45,1633358047.676776,2021-10-04T17:34:07,0.0,0.0,0.0
315965862,192000,1061355,138915000,0,2178,0,76,637813700,0,0,649604480,0,0,0,11657,9999,0,0,79,11,0,1980-01-06T03:17:42,1633358104.584949,2021-10-04T17:35:04,0.0,0.0,0.0
315966152,459000,1351338,139205000,0,2178,0,76,637813700,0,0,649693376,0,0,0,13101,9999,0,0,247,11,0,1980-01-06T03:22:32,1633358394.333345,2021-10-04T17:39:54,0.0,0.0,0.0
315966161,462000,1360332,139214000,0,2178,0,76,637813700,0,0,649696896,0,0,0,13144,9999,0,0,216,11,0,1980-01-06T03:22:41,1633358402.359021,2021-10-04T17:40:02,0.0,0.0,0.0
