time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965235,146500,435573,6.377257347106934,38,13,0,1980-01-06T03:07:15,1633357477.115537,2021-10-04T17:24:37
315965244,146500,444573,4.494983196258545,145,13,0,1980-01-06T03:07:24,1633357487.799353,2021-10-04T17:24:47
315965300,146500,500573,5.576588153839111,40,13,0,1980-01-06T03:08:20,1633357543.1822798,2021-10-04T17:25:43
315965494,414700,694573,56.9317626953125,39,13,0,1980-01-06T03:11:34,1633357736.7466328,2021-10-04T17:28:56
315965587,414700,787573,5.084949970245361,118,13,0,1980-01-06T03:13:07,1633357830.000777,2021-10-04T17:30:30
315965615,541800,815573,53.63076400756836,194,13,0,1980-01-06T03:13:35,1633357856.8193328,2021-10-04T17:30:56
315965633,541800,833573,56.98795700073242,152,13,0,1980-01-06T03:13:53,1633357874.8746278,2021-10-04T17:31:14
315965670,541800,870573,8.301671028137207,80,13,0,1980-01-06T03:14:30,1633357912.259685,2021-10-04T17:31:52
315965753,541800,953573,4.284280300140381,40,13,0,1980-01-06T03:15:53,1633357997.3051488,2021-10-04T17:33:17
315965798,541800,998573,21.168561935424805,62,13,0,1980-01-06T03:16:38,1633358041.3857799,2021-10-04T17:34:01
315965855,541800,1055573,5.688962936401367,226,13,0,1980-01-06T03:17:35,1633358097.7336838,2021-10-04T17:34:57
315966150,813100,1350573,3.8066887855529785,144,13,0,1980-01-06T03:22:30,1633358393.7794929,2021-10-04T17:39:53
315966226,63200,1425573,19.173912048339844,10,13,0,1980-01-06T03:23:46,1633358466.5633929,2021-10-04T17:41:06
315966263,63200,1462573,5.098996162414551,192,13,0,1980-01-06T03:24:23,1633358503.8849518,2021-10-04T17:41:43
315966272,63200,1471573,4.902340412139893,43,13,0,1980-01-06T03:24:32,1633358514.121644,2021-10-04T17:41:54
