time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965234,85000,435079,7.8125,104,12,3,1980-01-06T03:07:14,1633357476.4989889,2021-10-04T17:24:36
315965275,250000,476076,6.5,218,12,3,1980-01-06T03:07:55,1633357518.2894359,2021-10-04T17:25:18
315965550,329000,751175,3.0,148,12,3,1980-01-06T03:12:30,1633357793.0266159,2021-10-04T17:29:53
315965614,208000,815079,1.6875,178,12,3,1980-01-06T03:13:34,1633357856.0924609,2021-10-04T17:30:56
315965751,53000,952078,-1.75,163,12,3,1980-01-06T03:15:51,1633357993.387228,2021-10-04T17:33:13
315965812,991000,1014078,-3.625,23,12,3,1980-01-06T03:16:52,1633358055.1639879,2021-10-04T17:34:15
315965826,801000,1028081,-4.0625,7,12,3,1980-01-06T03:17:06,1633358068.8940768,2021-10-04T17:34:28
315965854,715000,1056080,-5.125,200,12,3,1980-01-06T03:17:34,1633358097.7336838,2021-10-04T17:34:57
315965898,760000,1100077,-6.0,0,12,3,1980-01-06T03:18:18,1633358140.1724799,2021-10-04T17:35:40
315965925,955000,1127079,-6.1875,94,12,3,1980-01-06T03:18:45,1633358168.619225,2021-10-04T17:36:08
315966260,776000,1462080,-19.1875,6,12,3,1980-01-06T03:24:20,1633358502.7102878,2021-10-04T17:41:42
