time_s,time_us,cookie,snr,frame_no,tap_bytes,rssi_bytes,crc_bytes,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357438,61719,677,1,444,00000000000000000000000000,0100c890e0,4d5d,2021-10-04T17:23:58,1633357438.008321,2021-10-04T17:23:58
1633357443,9103918,678,6,1868,00000000000000000000000000,06004c07e0,d040,2021-10-04T17:24:12,1633357443.912283,2021-10-04T17:24:03
1633357444,8145177,679,2,452,00000000000000000000000000,0200c890e0,657d,2021-10-04T17:24:12,1633357444.816648,2021-10-04T17:24:04
1633357451,816206,680,7,459,00000000000000000000000000,0700c890e0,57db,2021-10-04T17:24:11,1633357451.084589,2021-10-04T17:24:11
1633357451,6568524,681,2,460,00000000000000000000000000,0200c890e0,94f2,2021-10-04T17:24:17,1633357451.659138,2021-10-04T17:24:11
1633357452,2846605,682,4,461,00000000000000000000000000,0400c890e0,b28a,2021-10-04T17:24:14,1633357452.28673,2021-10-04T17:24:12
1633357475,9495773,683,14,487,00000000000000000000000000,0e00c890e0,6929,2021-10-04T17:24:44,1633357475.95154,2021-10-04T17:24:35
1633357476,4969797,684,15,488,00000000000000000000000000,0f00c890e0,3b93,2021-10-04T17:24:40,1633357476.498989,2021-10-04T17:24:36
1633357477,1132893,685,11,489,00000000000000000000000000,0b00c890e0,b566,2021-10-04T17:24:38,1633357477.115539,2021-10-04T17:24:37
1633357479,7523610,686,15,490,00000000000000000000000000,0f00c890e0,ff59,2021-10-04T17:24:46,1633357479.754381,2021-10-04T17:24:39
1633357480,3794598,687,15,491,00000000000000000000000000,0f00c890e0,cf99,2021-10-04T17:24:43,1633357480.381717,2021-10-04T17:24:40
1633357481,5541849,688,12,493,00000000000000000000000000,0c00c890e0,0c0d,2021-10-04T17:24:46,1633357481.556335,2021-10-04T17:24:41
1633357482,1295182,689,14,494,00000000000000000000000000,0e00c890e0,1df2,2021-10-04T17:24:43,1633357482.131592,2021-10-04T17:24:42
1633357483,3130342,690,10,496,00000000000000000000000000,0a00c890e0,99d2,2021-10-04T17:24:46,1633357483.31511,2021-10-04T17:24:43
1633357486,329144,691,10,497,00000000000000000000000000,0a00c890e0,1e25,2021-10-04T17:24:46,1633357486.034782,2021-10-04T17:24:46
1633357486,5688722,692,14,498,00000000000000000000000000,0e00c890e0,8ac2,2021-10-04T17:24:51,1633357486.570907,2021-10-04T17:24:46
1633357487,2145650,693,12,499,00000000000000000000000000,0c00c890e0,d977,2021-10-04T17:24:49,1633357487.216614,2021-10-04T17:24:47
1633357487,7968754,694,12,500,00000000000000000000000000,0c00c890e0,9dfd,2021-10-04T17:24:54,1633357487.799355,2021-10-04T17:24:47
1633357488,1375410,695,1,32821,00000000000000000000000000,0100589ee0,180d,2021-10-04T17:24:49,1633357488.139698,2021-10-04T17:24:48
1633357488,9515469,696,15,502,00000000000000000000000000,0f00c890e0,7ffd,2021-10-04T17:24:57,1633357488.95361,2021-10-04T17:24:48
1633357489,6419355,697,14,503,00000000000000000000000000,0e00c890e0,9e76,2021-10-04T17:24:55,1633357489.643979,2021-10-04T17:24:49
1633357492,1974565,698,14,504,00000000000000000000000000,0e00c890e0,7ecd,2021-10-04T17:24:53,1633357492.199664,2021-10-04T17:24:52
