time_s,time_us,time_steady,update_time_operator,update_time_radio,last_packet_time,last_packet_rssi,last_packet_snr,last_packet_signal_rssi,last_executed_cmd_seq,radio_error_bits,radio_state,count_packet_recieved,count_crc_errors,count_hdr_errors,count_mavlink_msgs_recieved,count_operator_cmds_recieved,count_operator_cmds_executed,count_operator_errors,seq,srcSystem,srcComponent,time_gregorian
1,17482,1013,1003,1013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,3,10,0,1970-01-01T03:00:01
2,7662,2003,2003,2003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,6,10,0,1970-01-01T03:00:02
3,8011,3003,3003,2973,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,9,10,0,1970-01-01T03:00:03
4,8010,4003,4003,3993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,12,10,0,1970-01-01T03:00:04
5,7649,5003,5003,4973,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,15,10,0,1970-01-01T03:00:05
315964803,776325,6003,6003,5993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,18,10,0,1980-01-06T03:00:03
315964804,776132,7003,6993,7003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,21,10,0,1980-01-06T03:00:04
315964805,776157,8003,7993,8003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,24,10,0,1980-01-06T03:00:05
315964806,776325,9003,9003,8993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,27,10,0,1980-01-06T03:00:06
315964807,785827,10013,10003,10013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,30,10,0,1980-01-06T03:00:07
315964808,786636,11014,11003,11014,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,33,10,0,1980-01-06T03:00:08
315964809,776260,12003,12003,12003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,36,10,0,1980-01-06T03:00:09
315964810,776326,13003,13003,12953,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,39,10,0,1980-01-06T03:00:10
315964811,785946,14013,14003,14013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,42,10,0,1980-01-06T03:00:11
315964812,786927,15014,15003,15014,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,45,10,0,1980-01-06T03:00:12
315964813,776326,16003,16003,15933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,48,10,0,1980-01-06T03:00:13
315964814,785789,17013,17003,17013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,51,10,0,1980-01-06T03:00:14
315964815,785866,18013,18003,18013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,54,10,0,1980-01-06T03:00:15
315964816,776245,19003,19003,18993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,57,10,0,1980-01-06T03:00:16
315964817,776326,20003,20003,19993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,60,10,0,1980-01-06T03:00:17
315964818,776349,21003,21003,20933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,63,10,0,1980-01-06T03:00:18
315964819,775957,22003,22003,22003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,66,10,0,1980-01-06T03:00:19
315964820,776301,23003,23003,22993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,69,10,0,1980-01-06T03:00:20
315964821,785791,24013,24003,24013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,72,10,0,1980-01-06T03:00:21
315964822,776322,25003,25003,24993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,75,10,0,1980-01-06T03:00:22
315964823,775938,26003,26003,25993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,78,10,0,1980-01-06T03:00:23
315964824,775980,27003,27003,26994,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,81,10,0,1980-01-06T03:00:24
315964825,776237,28003,27993,28003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,84,10,0,1980-01-06T03:00:25
