time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian
315964805,214000,5215,5215,5215,35,1,-11,0,0,0,75,11,0,1980-01-06T03:00:05
315964806,467000,6469,6469,6469,61,1,-11,0,0,0,101,11,0,1980-01-06T03:00:06
315964807,471000,7472,7472,7472,87,1,-11,0,0,0,127,11,0,1980-01-06T03:00:07
315964808,684000,8686,8686,8686,118,1,-11,0,0,0,158,11,0,1980-01-06T03:00:08
315964809,898000,9899,9899,9899,149,1,-11,0,0,0,189,11,0,1980-01-06T03:00:09
315964811,115000,11116,11116,11116,181,1,-11,0,0,0,221,11,0,1980-01-06T03:00:11
315964812,329000,12330,12330,12330,212,1,-11,0,0,0,252,11,0,1980-01-06T03:00:12
315964813,543000,13544,13544,13544,243,1,-11,0,0,0,27,11,0,1980-01-06T03:00:13
315964814,758000,14757,14757,14757,274,1,-11,0,0,0,58,11,0,1980-01-06T03:00:14
315964815,973000,15971,15971,15971,304,1,-11,0,0,0,88,11,0,1980-01-06T03:00:15
315964817,191000,17188,17188,17188,336,1,-11,0,0,0,120,11,0,1980-01-06T03:00:17
315964818,406000,18402,18402,18402,367,1,-11,0,0,0,151,11,0,1980-01-06T03:00:18
315964819,621000,19615,19615,19615,398,1,-11,0,0,0,182,11,0,1980-01-06T03:00:19
315964820,836000,20829,20829,20829,429,1,-11,0,0,0,213,11,0,1980-01-06T03:00:20
315964822,54000,22046,22046,22046,459,1,-11,0,0,0,243,11,0,1980-01-06T03:00:22
315964823,269000,23260,23260,23260,491,1,-11,0,0,0,19,11,0,1980-01-06T03:00:23
315964824,484000,24474,24474,24474,522,1,-11,0,0,0,50,11,0,1980-01-06T03:00:24
315964825,699000,25688,25688,25688,553,1,-11,0,0,0,81,11,0,1980-01-06T03:00:25
315964826,914000,26901,26901,26901,583,1,-11,0,0,0,111,11,0,1980-01-06T03:00:26
315964828,131000,28117,28117,28117,615,1,-11,0,0,0,143,11,0,1980-01-06T03:00:28
315964829,343000,29329,29329,29329,646,1,-11,0,0,0,174,11,0,1980-01-06T03:00:29
