time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian
0,238200,233,nan,nan,2,10,2,1970-01-01T03:00:00
1,680259,1676,nan,nan,12,10,2,1970-01-01T03:00:01
3,137624,3133,nan,nan,28,10,2,1970-01-01T03:00:03
4,687482,4683,nan,nan,38,10,2,1970-01-01T03:00:04
315964803,908568,6136,0.00457763671875,7.955999851226807,54,10,2,1980-01-06T03:00:03
315964805,317943,7545,0.00732421875,7.900000095367432,64,10,2,1980-01-06T03:00:05
315964806,765802,8993,0.00640869140625,7.97599983215332,74,10,2,1980-01-06T03:00:06
315964808,238071,10465,0.00732421875,7.751999855041504,90,10,2,1980-01-06T03:00:08
315964809,666884,11894,0.00457763671875,7.820000171661377,100,10,2,1980-01-06T03:00:09
315964811,95929,13323,nan,nan,116,10,2,1980-01-06T03:00:11
315964812,648131,14875,0.00640869140625,7.736000061035156,126,10,2,1980-01-06T03:00:12
315964814,75910,16303,nan,nan,142,10,2,1980-01-06T03:00:14
315964815,545936,17773,nan,nan,152,10,2,1980-01-06T03:00:15
315964817,48215,19275,0.00640869140625,7.723999977111816,168,10,2,1980-01-06T03:00:17
315964818,518556,20746,0.0054931640625,7.723999977111816,178,10,2,1980-01-06T03:00:18
315964820,18143,22245,0.00732421875,7.73199987411499,194,10,2,1980-01-06T03:00:20
315964821,445928,23673,nan,nan,204,10,2,1980-01-06T03:00:21
315964822,895936,25123,0.00457763671875,7.800000190734863,220,10,2,1980-01-06T03:00:22
315964824,408688,26636,nan,nan,230,10,2,1980-01-06T03:00:24
315964825,858552,28086,0.00640869140625,7.736000061035156,240,10,2,1980-01-06T03:00:25
315964827,306929,29534,0.00457763671875,7.800000190734863,0,10,2,1980-01-06T03:00:27
315964828,738572,30966,0.00457763671875,7.800000190734863,10,10,2,1980-01-06T03:00:28
315964830,157827,32385,nan,nan,26,10,2,1980-01-06T03:00:30
315964831,645943,33873,0.00640869140625,7.736000061035156,36,10,2,1980-01-06T03:00:31
315964833,128047,35355,nan,nan,52,10,2,1980-01-06T03:00:33
315964834,568579,36796,nan,nan,62,10,2,1980-01-06T03:00:34
315964836,28541,38256,0.00640869140625,7.736000061035156,78,10,2,1980-01-06T03:00:36
315964837,477834,39705,0.0054931640625,7.736000061035156,88,10,2,1980-01-06T03:00:37
315964839,5949,41233,0.00640869140625,7.73199987411499,104,10,2,1980-01-06T03:00:39
315964840,476254,42703,0.00457763671875,7.796000003814697,114,10,2,1980-01-06T03:00:40
315964841,978534,44206,0.00640869140625,7.728000164031982,130,10,2,1980-01-06T03:00:41
315964843,415924,45643,0.00640869140625,7.728000164031982,140,10,2,1980-01-06T03:00:43
315964844,938111,47165,nan,nan,150,10,2,1980-01-06T03:00:44
315964846,365920,48593,nan,nan,166,10,2,1980-01-06T03:00:46
315964847,808583,50036,0.00457763671875,7.791999816894531,176,10,2,1980-01-06T03:00:47
315964849,285947,51513,nan,nan,192,10,2,1980-01-06T03:00:49
315964850,728620,52956,nan,nan,202,10,2,1980-01-06T03:00:50
315964852,175802,54403,0.00457763671875,7.763999938964844,218,10,2,1980-01-06T03:00:52
315964853,595921,55823,0.00457763671875,7.796000003814697,228,10,2,1980-01-06T03:00:53
315964855,25943,57253,0.00640869140625,7.728000164031982,244,10,2,1980-01-06T03:00:55
315964856,456061,58683,0.00457763671875,7.791999816894531,254,10,2,1980-01-06T03:00:56
315964857,976066,60203,0.0054931640625,7.73199987411499,12,10,2,1980-01-06T03:00:57
315964859,396465,61623,0.00457763671875,7.796000003814697,24,10,2,1980-01-06T03:00:59
315964860,816293,63043,0.0054931640625,7.73199987411499,34,10,2,1980-01-06T03:01:00
315964862,358120,64585,0.00640869140625,7.73199987411499,50,10,2,1980-01-06T03:01:02
315964863,785930,66013,0.0054931640625,7.73199987411499,60,10,2,1980-01-06T03:01:03
315964865,238724,67466,0.00457763671875,7.791999816894531,76,10,2,1980-01-06T03:01:05
315964866,788670,69016,0.0054931640625,7.73199987411499,86,10,2,1980-01-06T03:01:06
315964869,778354,72005,0.00640869140625,7.723999977111816,112,10,2,1980-01-06T03:01:09
315964871,216238,73443,0.00457763671875,7.796000003814697,128,10,2,1980-01-06T03:01:11
315964872,655892,74883,0.00457763671875,7.791999816894531,138,10,2,1980-01-06T03:01:12
315964874,168039,76395,nan,nan,154,10,2,1980-01-06T03:01:14
315964875,628586,77856,0.0054931640625,7.728000164031982,164,10,2,1980-01-06T03:01:15
315964877,136334,79363,0.00457763671875,7.791999816894531,180,10,2,1980-01-06T03:01:17
315964878,586297,80813,0.00457763671875,7.783999919891357,190,10,2,1980-01-06T03:01:18
315964880,38608,82266,nan,nan,206,10,2,1980-01-06T03:01:20
315964881,598102,83825,0.00640869140625,7.73199987411499,216,10,2,1980-01-06T03:01:21
315964883,25920,85253,nan,nan,232,10,2,1980-01-06T03:01:23
315964884,468644,86696,nan,nan,242,10,2,1980-01-06T03:01:24
315964885,997944,88225,0.0054931640625,7.723999977111816,252,10,2,1980-01-06T03:01:25
315964887,419180,89646,0.00640869140625,7.71999979019165,12,10,2,1980-01-06T03:01:27
315964888,998160,91225,0.00640869140625,7.723999977111816,28,10,2,1980-01-06T03:01:28
315964890,465809,92693,0.00457763671875,7.788000106811523,38,10,2,1980-01-06T03:01:30
315964891,905940,94133,0.00640869140625,7.71999979019165,48,10,2,1980-01-06T03:01:31
315964893,438107,95665,0.00640869140625,7.751999855041504,64,10,2,1980-01-06T03:01:33
315964894,875802,97103,0.0054931640625,7.723999977111816,74,10,2,1980-01-06T03:01:34
315964896,298551,98526,0.00457763671875,7.788000106811523,90,10,2,1980-01-06T03:01:36
315964897,742097,99969,0.00457763671875,7.71999979019165,100,10,2,1980-01-06T03:01:37
315964899,265939,101493,0.00640869140625,7.71999979019165,116,10,2,1980-01-06T03:01:39
315964900,798836,103026,0.00640869140625,7.71999979019165,126,10,2,1980-01-06T03:01:40
315964902,235944,104463,0.00457763671875,7.783999919891357,142,10,2,1980-01-06T03:01:42
315964903,676236,105903,0.00457763671875,7.783999919891357,152,10,2,1980-01-06T03:01:43
315964905,228086,107455,0.00640869140625,7.71999979019165,168,10,2,1980-01-06T03:01:45
315964906,656112,108883,0.00640869140625,7.71999979019165,178,10,2,1980-01-06T03:01:46
315964908,125927,110353,0.00457763671875,7.788000106811523,194,10,2,1980-01-06T03:01:48
315964909,565801,111793,0.00457763671875,7.78000020980835,204,10,2,1980-01-06T03:01:49
315964911,28739,113256,0.00640869140625,7.71999979019165,214,10,2,1980-01-06T03:01:51
315964912,475950,114703,0.00457763671875,7.776000022888184,230,10,2,1980-01-06T03:01:52
315964913,956641,116184,0.0054931640625,7.716000080108643,240,10,2,1980-01-06T03:01:53
315964915,375909,117603,0.00457763671875,7.788000106811523,0,10,2,1980-01-06T03:01:55
315964916,808746,119036,nan,nan,10,10,2,1980-01-06T03:01:56
315964918,295985,120523,0.00640869140625,7.716000080108643,26,10,2,1980-01-06T03:01:58
315964919,728704,121956,nan,nan,36,10,2,1980-01-06T03:01:59
315964921,255918,123483,0.00457763671875,7.78000020980835,52,10,2,1980-01-06T03:02:01
315964922,687850,124915,0.0054931640625,7.723999977111816,62,10,2,1980-01-06T03:02:02
315964924,118553,126346,0.00640869140625,7.716000080108643,78,10,2,1980-01-06T03:02:04
315964925,658135,127885,0.00640869140625,7.716000080108643,88,10,2,1980-01-06T03:02:05
315964927,95810,129323,0.00457763671875,7.78000020980835,98,10,2,1980-01-06T03:02:07
315964928,519197,130746,0.00457763671875,7.78000020980835,114,10,2,1980-01-06T03:02:08
315964930,58053,132285,0.00640869140625,7.716000080108643,124,10,2,1980-01-06T03:02:10
315964931,476045,133703,0.00640869140625,7.711999893188477,140,10,2,1980-01-06T03:02:11
315964932,925947,135153,0.00457763671875,7.776000022888184,150,10,2,1980-01-06T03:02:12
315964934,355926,136583,nan,nan,166,10,2,1980-01-06T03:02:14
315964935,808658,138036,0.00640869140625,7.716000080108643,176,10,2,1980-01-06T03:02:15
315964937,248555,139476,nan,nan,192,10,2,1980-01-06T03:02:17
315964938,768559,140996,nan,nan,202,10,2,1980-01-06T03:02:18
315964940,218559,142446,0.00457763671875,7.776000022888184,218,10,2,1980-01-06T03:02:20
315964941,655801,143883,0.00457763671875,7.76800012588501,228,10,2,1980-01-06T03:02:21
315964943,85917,145313,0.00640869140625,7.679999828338623,238,10,2,1980-01-06T03:02:23
315964944,518567,146746,0.00640869140625,7.627999782562256,254,10,2,1980-01-06T03:02:24
315964945,955943,148183,0.00457763671875,7.691999912261963,8,10,2,1980-01-06T03:02:25
315964947,448202,149675,0.00640869140625,7.627999782562256,24,10,2,1980-01-06T03:02:27
315964948,899068,151126,nan,nan,34,10,2,1980-01-06T03:02:28
315964950,448029,152675,nan,7.708000183105469,50,10,2,1980-01-06T03:02:30
315964951,918571,154146,0.00457763671875,7.776000022888184,60,10,2,1980-01-06T03:02:31
315964953,355806,155583,0.00457763671875,7.78000020980835,76,10,2,1980-01-06T03:02:33
315964954,848461,157075,0.00640869140625,7.711999893188477,86,10,2,1980-01-06T03:02:34
315964956,278671,158506,nan,nan,102,10,2,1980-01-06T03:02:36
315964957,765942,159993,0.00457763671875,7.776000022888184,112,10,2,1980-01-06T03:02:37
315964959,205814,161433,0.00457763671875,7.76800012588501,122,10,2,1980-01-06T03:02:39
