time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
2,972900,1989,18.401487350463867,3.302000045776367,3.257289171218872,10,13,0,1970-01-01T03:00:02
5,683900,5989,20.483272552490234,3.302000045776367,3.257289171218872,59,13,0,1970-01-01T03:00:05
315964804,452200,6989,20.780670166015625,3.302000045776367,3.257289171218872,70,13,0,1980-01-06T03:00:04
315964805,452200,7989,21.078067779541016,3.302000045776367,3.2556777000427246,81,13,0,1980-01-06T03:00:05
315964806,452200,8989,21.078067779541016,3.302000045776367,3.2782416343688965,95,13,0,1980-01-06T03:00:06
315964807,452200,9989,21.375465393066406,3.302000045776367,3.2782416343688965,106,13,0,1980-01-06T03:00:07
315964808,452200,10989,21.375465393066406,3.302000045776367,3.2782416343688965,117,13,0,1980-01-06T03:00:08
315964809,452200,11989,21.672863006591797,3.302000045776367,3.2750184535980225,130,13,0,1980-01-06T03:00:09
315964810,452200,12989,21.672863006591797,3.302000045776367,3.2750184535980225,141,13,0,1980-01-06T03:00:10
315964811,452200,13989,21.970260620117188,3.302000045776367,3.2750184535980225,153,13,0,1980-01-06T03:00:11
315964812,452200,14989,21.970260620117188,3.302000045776367,3.2782416343688965,166,13,0,1980-01-06T03:00:12
315964813,452200,15989,22.267658233642578,3.302000045776367,3.2782416343688965,177,13,0,1980-01-06T03:00:13
315964814,452200,16989,22.267658233642578,3.302000045776367,3.2782416343688965,188,13,0,1980-01-06T03:00:14
315964815,452200,17989,22.267658233642578,3.302000045776367,3.2750184535980225,201,13,0,1980-01-06T03:00:15
315964816,452200,18989,22.267658233642578,3.302000045776367,3.2750184535980225,213,13,0,1980-01-06T03:00:16
315964817,452200,19989,22.56505584716797,3.302000045776367,3.2782416343688965,224,13,0,1980-01-06T03:00:17
315964818,452200,20989,22.56505584716797,3.302000045776367,3.279853582382202,237,13,0,1980-01-06T03:00:18
315964819,452200,21989,22.56505584716797,3.302000045776367,3.2750184535980225,248,13,0,1980-01-06T03:00:19
