time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian
2,576600,1577,0,1,147,1,1148,1,147,1,1148,8,13,0,1970-01-01T03:00:02
5,287700,5577,0,1,147,1,1148,1,147,1,1148,56,13,0,1970-01-01T03:00:05
315964804,55900,6577,0,1,147,1,1148,1,147,1,1148,68,13,0,1980-01-06T03:00:04
315964805,55900,7577,0,1,147,1,1148,1,147,1,1148,79,13,0,1980-01-06T03:00:05
315964806,56000,8577,0,1,147,1,1148,1,147,1,1148,92,13,0,1980-01-06T03:00:06
315964807,55900,9577,0,1,147,1,1148,1,147,1,1148,104,13,0,1980-01-06T03:00:07
315964808,55900,10577,0,1,147,1,1148,1,147,1,1148,115,13,0,1980-01-06T03:00:08
315964809,56000,11577,0,1,147,1,1148,1,147,1,1148,127,13,0,1980-01-06T03:00:09
315964810,55900,12577,0,1,147,1,1148,1,147,1,1148,139,13,0,1980-01-06T03:00:10
315964811,55900,13577,0,1,147,1,1148,1,147,1,1148,151,13,0,1980-01-06T03:00:11
315964812,56000,14577,0,1,147,1,1148,1,147,1,1148,163,13,0,1980-01-06T03:00:12
315964813,55900,15577,0,1,147,1,1148,1,147,1,1148,175,13,0,1980-01-06T03:00:13
315964814,55900,16577,0,1,147,1,1148,1,147,1,1148,186,13,0,1980-01-06T03:00:14
315964815,56000,17577,0,1,147,1,1148,1,147,1,1148,198,13,0,1980-01-06T03:00:15
315964816,55900,18577,0,1,147,1,1148,1,147,1,1148,211,13,0,1980-01-06T03:00:16
315964817,55900,19577,0,1,147,1,1148,1,147,1,1148,222,13,0,1980-01-06T03:00:17
315964818,56000,20577,0,1,147,1,1148,1,147,1,1148,234,13,0,1980-01-06T03:00:18
315964819,55900,21577,0,1,147,1,1148,1,147,1,1148,246,13,0,1980-01-06T03:00:19
315964820,55900,22577,0,1,147,1,1148,1,147,1,1148,1,13,0,1980-01-06T03:00:20
315964821,56000,23577,0,1,147,1,1148,1,147,1,1148,14,13,0,1980-01-06T03:00:21
315964822,55900,24577,0,1,147,1,1148,1,147,1,1148,26,13,0,1980-01-06T03:00:22
315964823,55900,25577,0,1,147,1,1148,1,147,1,1148,37,13,0,1980-01-06T03:00:23
315964824,56000,26577,0,1,147,1,1148,1,147,1,1148,49,13,0,1980-01-06T03:00:24
315964825,55900,27577,0,1,147,1,1148,1,147,1,1148,61,13,0,1980-01-06T03:00:25
315964826,55900,28577,0,1,147,1,1148,1,147,1,1148,73,13,0,1980-01-06T03:00:26
315964827,56000,29577,0,1,147,1,1148,1,147,1,1148,85,13,0,1980-01-06T03:00:27
315964828,55900,30577,0,1,147,1,1148,1,147,1,1148,97,13,0,1980-01-06T03:00:28
315964829,55900,31577,0,1,147,1,1148,1,147,1,1148,108,13,0,1980-01-06T03:00:29
315964830,56000,32577,0,1,147,1,1148,1,147,1,1148,120,13,0,1980-01-06T03:00:30
315964831,55900,33577,0,1,147,1,1148,1,147,1,1148,133,13,0,1980-01-06T03:00:31
315964832,55900,34577,0,1,147,1,1148,1,147,1,1148,144,13,0,1980-01-06T03:00:32
315964833,56000,35577,0,1,147,1,1148,1,147,1,1148,156,13,0,1980-01-06T03:00:33
315964834,55900,36577,0,1,147,1,1148,1,147,1,1148,168,13,0,1980-01-06T03:00:34
315964835,55900,37577,0,1,147,1,1148,1,147,1,1148,179,13,0,1980-01-06T03:00:35
315964836,56000,38577,0,1,147,1,1148,1,147,1,1148,192,13,0,1980-01-06T03:00:36
315964837,55900,39577,0,1,147,1,1148,1,147,1,1148,204,13,0,1980-01-06T03:00:37
315964838,55900,40577,0,1,147,1,1148,1,147,1,1148,215,13,0,1980-01-06T03:00:38
315964839,56000,41577,0,1,147,1,1148,1,147,1,1148,227,13,0,1980-01-06T03:00:39
315964840,55900,42577,0,1,147,1,1148,1,147,1,1148,239,13,0,1980-01-06T03:00:40
315964841,55900,43577,0,1,147,1,1148,1,147,1,1148,251,13,0,1980-01-06T03:00:41
315964842,56000,44577,0,1,147,1,1148,1,147,1,1148,7,13,0,1980-01-06T03:00:42
315964843,55900,45577,0,1,147,1,1148,1,147,1,1148,19,13,0,1980-01-06T03:00:43
315964844,55900,46577,0,1,147,1,1148,1,147,1,1148,30,13,0,1980-01-06T03:00:44
315964845,56000,47577,0,1,147,1,1148,1,147,1,1148,42,13,0,1980-01-06T03:00:45
315964846,55900,48577,0,1,147,1,1148,1,147,1,1148,55,13,0,1980-01-06T03:00:46
315964847,55900,49577,0,1,147,1,1148,1,147,1,1148,66,13,0,1980-01-06T03:00:47
315964848,56000,50577,0,1,147,1,1148,1,147,1,1148,78,13,0,1980-01-06T03:00:48
315964849,55900,51577,0,1,147,1,1148,1,147,1,1148,90,13,0,1980-01-06T03:00:49
315964850,55900,52577,0,1,147,1,1148,1,147,1,1148,101,13,0,1980-01-06T03:00:50
315964851,56000,53577,0,1,147,1,1148,1,147,1,1148,114,13,0,1980-01-06T03:00:51
315964852,55900,54577,0,1,147,1,1148,1,147,1,1148,126,13,0,1980-01-06T03:00:52
315964853,55900,55577,0,1,147,1,1148,1,147,1,1148,137,13,0,1980-01-06T03:00:53
315964854,56000,56577,0,1,147,1,1148,1,147,1,1148,149,13,0,1980-01-06T03:00:54
315964855,55900,57577,0,1,147,1,1148,1,147,1,1148,161,13,0,1980-01-06T03:00:55
315964856,55900,58577,0,1,147,1,1148,1,147,1,1148,173,13,0,1980-01-06T03:00:56
315964857,56000,59577,0,1,147,1,1148,1,147,1,1148,185,13,0,1980-01-06T03:00:57
315964858,55900,60577,0,1,147,1,1148,1,147,1,1148,197,13,0,1980-01-06T03:00:58
315964859,55900,61577,0,1,147,1,1148,1,147,1,1148,208,13,0,1980-01-06T03:00:59
315964860,56000,62577,0,1,147,1,1148,1,147,1,1148,220,13,0,1980-01-06T03:01:00
315964861,55900,63577,0,1,147,1,1148,1,147,1,1148,233,13,0,1980-01-06T03:01:01
315964862,55900,64577,0,1,147,1,1148,1,147,1,1148,244,13,0,1980-01-06T03:01:02
315964863,56000,65577,0,1,147,1,1148,1,147,1,1148,0,13,0,1980-01-06T03:01:03
315964864,55900,66577,0,1,147,1,1148,1,147,1,1148,12,13,0,1980-01-06T03:01:04
315964865,55900,67577,0,1,147,1,1148,1,147,1,1148,23,13,0,1980-01-06T03:01:05
315964866,56000,68577,0,1,147,1,1148,1,147,1,1148,36,13,0,1980-01-06T03:01:06
315964867,55900,69577,0,1,147,1,1148,1,147,1,1148,48,13,0,1980-01-06T03:01:07
315964868,55900,70577,0,1,147,1,1148,1,147,1,1148,59,13,0,1980-01-06T03:01:08
315964870,55900,72577,0,1,147,1,1148,1,147,1,1148,83,13,0,1980-01-06T03:01:10
315964871,55900,73577,0,1,147,1,1148,1,147,1,1148,95,13,0,1980-01-06T03:01:11
315964872,56000,74577,0,1,147,1,1148,1,147,1,1148,107,13,0,1980-01-06T03:01:12
315964873,55900,75577,0,1,147,1,1148,1,147,1,1148,119,13,0,1980-01-06T03:01:13
315964874,55900,76577,0,1,147,1,1148,1,147,1,1148,130,13,0,1980-01-06T03:01:14
315964875,56000,77577,0,1,147,1,1148,1,147,1,1148,142,13,0,1980-01-06T03:01:15
315964876,55900,78577,0,1,147,1,1148,1,147,1,1148,155,13,0,1980-01-06T03:01:16
315964877,55900,79577,0,1,147,1,1148,1,147,1,1148,166,13,0,1980-01-06T03:01:17
315964878,56000,80577,0,1,147,1,1148,1,147,1,1148,178,13,0,1980-01-06T03:01:18
315964879,55900,81577,0,1,147,1,1148,1,147,1,1148,190,13,0,1980-01-06T03:01:19
315964880,55900,82577,0,1,147,1,1148,1,147,1,1148,201,13,0,1980-01-06T03:01:20
315964881,56000,83577,0,1,147,1,1148,1,147,1,1148,214,13,0,1980-01-06T03:01:21
315964882,55900,84577,0,1,147,1,1148,1,147,1,1148,226,13,0,1980-01-06T03:01:22
315964883,55900,85577,0,1,147,1,1148,1,147,1,1148,237,13,0,1980-01-06T03:01:23
315964884,56000,86577,0,1,147,1,1148,1,147,1,1148,249,13,0,1980-01-06T03:01:24
315964885,55900,87577,0,1,147,1,1148,1,147,1,1148,5,13,0,1980-01-06T03:01:25
315964886,55900,88577,0,1,147,1,1148,1,147,1,1148,17,13,0,1980-01-06T03:01:26
315964887,56000,89577,0,1,147,1,1148,1,147,1,1148,29,13,0,1980-01-06T03:01:27
315964888,55900,90577,0,1,147,1,1148,1,147,1,1148,41,13,0,1980-01-06T03:01:28
315964889,55900,91577,0,1,147,1,1148,1,147,1,1148,52,13,0,1980-01-06T03:01:29
315964890,56000,92577,0,1,147,1,1148,1,147,1,1148,64,13,0,1980-01-06T03:01:30
315964891,55900,93577,0,1,147,1,1148,1,147,1,1148,77,13,0,1980-01-06T03:01:31
315964892,55900,94577,0,1,147,1,1148,1,147,1,1148,88,13,0,1980-01-06T03:01:32
