time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
2,151300,1151,0,1004,2,13,0,1970-01-01T03:00:02
2,151300,1151,0,1004,13,13,0,1970-01-01T03:00:02
5,662300,5951,0,1200,62,13,0,1970-01-01T03:00:05
315964804,630600,7151,0,1200,73,13,0,1980-01-06T03:00:04
315964804,630600,7151,0,1200,84,13,0,1980-01-06T03:00:04
315964805,830600,8351,1,1200,98,13,0,1980-01-06T03:00:05
315964807,30600,9551,0,1200,109,13,0,1980-01-06T03:00:07
315964808,230600,10751,0,1200,120,13,0,1980-01-06T03:00:08
315964809,430600,11951,0,1200,133,13,0,1980-01-06T03:00:09
315964810,630600,13151,0,1200,144,13,0,1980-01-06T03:00:10
315964810,630600,13151,0,1200,156,13,0,1980-01-06T03:00:10
315964811,830700,14351,0,1200,169,13,0,1980-01-06T03:00:11
315964813,30700,15551,1,1200,180,13,0,1980-01-06T03:00:13
315964814,230600,16751,0,1200,191,13,0,1980-01-06T03:00:14
315964815,430600,17951,0,1200,204,13,0,1980-01-06T03:00:15
315964816,630600,19151,0,1200,216,13,0,1980-01-06T03:00:16
315964816,630600,19151,0,1200,227,13,0,1980-01-06T03:00:16
315964817,830600,20351,0,1200,240,13,0,1980-01-06T03:00:17
315964819,30600,21551,0,1200,251,13,0,1980-01-06T03:00:19
315964820,230600,22751,1,1200,6,13,0,1980-01-06T03:00:20
315964821,430600,23951,0,1200,20,13,0,1980-01-06T03:00:21
315964822,630600,25151,0,1200,31,13,0,1980-01-06T03:00:22
315964822,630600,25151,0,1200,42,13,0,1980-01-06T03:00:22
315964823,830600,26351,0,1200,55,13,0,1980-01-06T03:00:23
315964825,30700,27551,0,1200,66,13,0,1980-01-06T03:00:25
315964826,230700,28751,0,1200,78,13,0,1980-01-06T03:00:26
315964827,430600,29951,1,1200,91,13,0,1980-01-06T03:00:27
315964828,630600,31151,0,1200,102,13,0,1980-01-06T03:00:28
315964828,630600,31151,0,1200,113,13,0,1980-01-06T03:00:28
315964829,830600,32351,0,1200,126,13,0,1980-01-06T03:00:29
315964831,30600,33551,0,1200,138,13,0,1980-01-06T03:00:31
315964832,230600,34751,0,1200,149,13,0,1980-01-06T03:00:32
315964833,430600,35951,0,1200,162,13,0,1980-01-06T03:00:33
315964834,630600,37151,0,1200,173,13,0,1980-01-06T03:00:34
315964834,630600,37151,0,1200,184,13,0,1980-01-06T03:00:34
315964835,830600,38351,0,1200,198,13,0,1980-01-06T03:00:35
315964837,30600,39551,0,1200,209,13,0,1980-01-06T03:00:37
315964838,230600,40751,0,1200,220,13,0,1980-01-06T03:00:38
315964839,430700,41951,1,1200,233,13,0,1980-01-06T03:00:39
315964840,630700,43151,0,1200,244,13,0,1980-01-06T03:00:40
315964840,630700,43151,0,1200,0,13,0,1980-01-06T03:00:40
315964841,830700,44351,1,1200,13,13,0,1980-01-06T03:00:41
315964843,30600,45551,0,1200,24,13,0,1980-01-06T03:00:43
