time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian
2,572900,1573,56.9036750793457,7,13,0,1970-01-01T03:00:02
3,572900,2573,56.9036750793457,18,13,0,1970-01-01T03:00:03
5,283900,5573,56.917724609375,54,13,0,1970-01-01T03:00:05
315964804,52200,6573,56.917724609375,67,13,0,1980-01-06T03:00:04
315964805,52200,7573,56.917724609375,78,13,0,1980-01-06T03:00:05
315964806,52200,8573,56.9036750793457,90,13,0,1980-01-06T03:00:06
315964807,52200,9573,56.917724609375,103,13,0,1980-01-06T03:00:07
315964808,52200,10573,56.9036750793457,114,13,0,1980-01-06T03:00:08
315964809,52200,11573,56.9317626953125,125,13,0,1980-01-06T03:00:09
315964810,52200,12573,56.917724609375,138,13,0,1980-01-06T03:00:10
315964811,52200,13573,56.917724609375,150,13,0,1980-01-06T03:00:11
315964812,52200,14573,56.9036750793457,161,13,0,1980-01-06T03:00:12
315964813,52200,15573,56.889625549316406,174,13,0,1980-01-06T03:00:13
315964814,52200,16573,56.917724609375,185,13,0,1980-01-06T03:00:14
315964815,52200,17573,56.9036750793457,196,13,0,1980-01-06T03:00:15
315964816,52200,18573,56.9036750793457,210,13,0,1980-01-06T03:00:16
315964817,52200,19573,56.917724609375,221,13,0,1980-01-06T03:00:17
315964818,52200,20573,56.875587463378906,232,13,0,1980-01-06T03:00:18
315964819,52200,21573,53.65885925292969,245,13,0,1980-01-06T03:00:19
315964820,52200,22573,48.63010025024414,0,13,0,1980-01-06T03:00:20
315964821,52200,23573,43.966552734375,12,13,0,1980-01-06T03:00:21
315964822,52200,24573,39.738460540771484,25,13,0,1980-01-06T03:00:22
315964823,52200,25573,35.889625549316406,36,13,0,1980-01-06T03:00:23
315964824,52200,26573,32.434112548828125,47,13,0,1980-01-06T03:00:24
315964825,52200,27573,29.301671981811523,60,13,0,1980-01-06T03:00:25
315964826,52200,28573,26.492305755615234,72,13,0,1980-01-06T03:00:26
315964827,52200,29573,23.935781478881836,83,13,0,1980-01-06T03:00:27
315964828,52200,30573,21.70233917236328,96,13,0,1980-01-06T03:00:28
315964829,52200,31573,19.707691192626953,107,13,0,1980-01-06T03:00:29
315964830,52200,32573,17.93779182434082,118,13,0,1980-01-06T03:00:30
315964831,52200,33573,16.350500106811523,132,13,0,1980-01-06T03:00:31
315964832,52200,34573,14.931770324707031,143,13,0,1980-01-06T03:00:32
315964833,52200,35573,13.68160343170166,154,13,0,1980-01-06T03:00:33
315964834,52200,36573,12.585951805114746,167,13,0,1980-01-06T03:00:34
315964835,52200,37573,11.616722106933594,178,13,0,1980-01-06T03:00:35
315964836,52200,38573,10.745818138122559,190,13,0,1980-01-06T03:00:36
315964837,52200,39573,9.973243713378906,203,13,0,1980-01-06T03:00:37
315964838,52200,40573,9.28494930267334,214,13,0,1980-01-06T03:00:38
315964839,52200,41573,8.709029197692871,225,13,0,1980-01-06T03:00:39
315964840,52200,42573,8.14715576171875,238,13,0,1980-01-06T03:00:40
315964841,52200,43573,7.697658538818359,250,13,0,1980-01-06T03:00:41
315964842,52200,44573,7.290300369262695,5,13,0,1980-01-06T03:00:42
315964843,52200,45573,6.911036014556885,18,13,0,1980-01-06T03:00:43
315964844,52200,46573,6.559865951538086,29,13,0,1980-01-06T03:00:44
315964845,52200,47573,6.2648820877075195,40,13,0,1980-01-06T03:00:45
315964846,52200,48573,5.983945369720459,54,13,0,1980-01-06T03:00:46
315964847,52200,49573,5.787290573120117,65,13,0,1980-01-06T03:00:47
315964848,52200,50573,5.548494815826416,76,13,0,1980-01-06T03:00:48
315964849,52200,51573,5.365886211395264,89,13,0,1980-01-06T03:00:49
315964850,52200,52573,5.225417613983154,100,13,0,1980-01-06T03:00:50
315964851,52200,53573,5.113043308258057,112,13,0,1980-01-06T03:00:51
315964852,52200,54573,5.028761863708496,125,13,0,1980-01-06T03:00:52
315964853,52200,55573,4.930434703826904,136,13,0,1980-01-06T03:00:53
315964854,52200,56573,4.916387557983398,147,13,0,1980-01-06T03:00:54
