time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian
2,772900,1773,4022,2998,2186,3,0.2568112015724182,2500,27,14,1,0.02415338158607483,3705,450,244,2,2.4565060138702393,9,13,0,1970-01-01T03:00:02
5,483900,5773,4033,3563,3059,3,0.1148567944765091,2463,26,13,1,0.02327851392328739,3749,502,273,2,1.955140471458435,57,13,0,1970-01-01T03:00:05
315964804,252200,6773,4033,3598,3119,3,0.10739409178495407,2515,27,14,1,0.02451949007809162,3766,530,289,2,1.7434757947921753,69,13,0,1980-01-06T03:00:04
315964805,252200,7773,4034,3622,3162,3,0.10216592997312546,2569,28,15,1,0.025895826518535614,3784,561,307,2,1.5447832345962524,80,13,0,1980-01-06T03:00:05
315964806,252200,8773,4059,3634,3165,3,0.10180475562810898,2614,30,16,1,0.027117859572172165,3813,574,313,2,1.4708130359649658,93,13,0,1980-01-06T03:00:06
315964807,252200,9773,4058,3652,3197,3,0.09798034280538559,2671,31,16,1,0.028774389997124672,3829,609,335,2,1.2945632934570312,105,13,0,1980-01-06T03:00:07
315964808,252200,10773,4056,3687,3262,3,0.09036359190940857,2746,34,17,1,0.03116302378475666,3855,675,374,2,1.0336077213287354,116,13,0,1980-01-06T03:00:08
315964809,252200,11773,4057,3699,3283,3,0.08794397860765457,2798,34,18,1,0.032978128641843796,3864,714,396,2,0.9123369455337524,128,13,0,1980-01-06T03:00:09
315964810,252200,12773,4058,3706,3297,3,0.08634157478809357,2842,37,17,1,0.034629423171281815,3877,753,421,2,0.8095479011535645,140,13,0,1980-01-06T03:00:10
315964811,252200,13773,4061,3718,3317,3,0.08406682312488556,2890,38,19,1,0.03656579181551933,3890,798,448,2,0.7093628644943237,152,13,0,1980-01-06T03:00:11
315964812,252200,14773,4060,3723,3327,3,0.08293566852807999,2928,39,19,1,0.038209639489650726,3902,839,474,2,0.6319656372070312,164,13,0,1980-01-06T03:00:12
315964813,252200,15773,4056,3724,3332,3,0.08237161487340927,2962,42,18,1,0.03977223113179207,3909,880,499,2,0.565337061882019,176,13,0,1980-01-06T03:00:13
315964814,252200,16773,4059,3734,3348,3,0.08057339489459991,3003,43,20,1,0.04178362712264061,3920,922,528,2,0.5063026547431946,187,13,0,1980-01-06T03:00:14
315964815,252200,17773,4056,3733,3350,3,0.08034933358430862,3029,44,21,1,0.04313790053129196,3924,959,552,2,0.46076861023902893,199,13,0,1980-01-06T03:00:15
315964816,252200,18773,4056,3739,3358,3,0.07945463806390762,3062,45,20,1,0.04495325684547424,3931,1002,580,2,0.4142589569091797,212,13,0,1980-01-06T03:00:16
315964817,252200,19773,4060,3744,3369,3,0.07822847366333008,3092,46,21,1,0.046705447137355804,3940,1047,609,2,0.37181356549263,223,13,0,1980-01-06T03:00:17
315964818,252200,20773,4059,3751,3379,3,0.07711776345968246,3124,49,22,1,0.04869173839688301,3950,1094,641,2,0.3331851661205292,235,13,0,1980-01-06T03:00:18
315964819,252200,21773,4063,3755,3383,3,0.07667453587055206,3146,50,22,1,0.050133705139160156,3955,1135,667,2,0.3035152554512024,247,13,0,1980-01-06T03:00:19
315964820,252200,22773,4063,3757,3389,3,0.0760108008980751,3169,51,22,1,0.051713261753320694,3959,1176,697,2,0.2770562767982483,2,13,0,1980-01-06T03:00:20
315964821,252200,23773,4056,3754,3388,3,0.07612132281064987,3186,52,23,1,0.052931275218725204,3958,1215,725,2,0.25447580218315125,15,13,0,1980-01-06T03:00:21
315964822,252200,24773,4057,3758,3394,3,0.07545869797468185,3207,53,24,1,0.05449921265244484,3963,1257,756,2,0.23261772096157074,27,13,0,1980-01-06T03:00:22
315964823,252200,25773,4057,3760,3399,3,0.07490751147270203,3225,55,23,1,0.05590242147445679,3967,1296,786,2,0.2143239825963974,38,13,0,1980-01-06T03:00:23
315964824,252200,26773,4061,3766,3409,3,0.07380782812833786,3248,56,24,1,0.057780783623456955,3974,1343,819,2,0.19451606273651123,50,13,0,1980-01-06T03:00:24
315964825,252200,27773,4061,3769,3413,3,0.07336895912885666,3266,57,24,1,0.05932232737541199,3977,1382,849,2,0.17971326410770416,62,13,0,1980-01-06T03:00:25
315964826,252200,28773,4056,3766,3411,3,0.07358831912279129,3278,60,25,1,0.06038716062903404,3978,1418,877,2,0.1672128140926361,74,13,0,1980-01-06T03:00:26
315964827,252200,29773,4061,3773,3420,3,0.072602279484272,3296,61,25,1,0.06204342469573021,3986,1462,911,2,0.15328611433506012,86,13,0,1980-01-06T03:00:27
315964828,252200,30773,4057,3769,3417,3,0.07293064892292023,3307,62,25,1,0.06309223920106888,3985,1496,938,2,0.1434386819601059,98,13,0,1980-01-06T03:00:28
315964829,252200,31773,4059,3771,3421,3,0.07249289005994797,3319,62,26,1,0.0642697811126709,3987,1534,968,2,0.13327960669994354,109,13,0,1980-01-06T03:00:29
315964830,252200,32773,4061,3778,3430,3,0.07150997221469879,3339,64,26,1,0.06631411612033844,3994,1578,1003,2,0.12252253293991089,121,13,0,1980-01-06T03:00:30
315964831,252200,33773,4059,3774,3430,3,0.07150997221469879,3346,65,27,1,0.06705502420663834,3992,1611,1030,2,0.11509481817483902,134,13,0,1980-01-06T03:00:31
315964832,252200,34773,4062,3780,3436,3,0.07085622847080231,3363,66,28,1,0.06891243904829025,3999,1653,1065,2,0.10635741800069809,145,13,0,1980-01-06T03:00:32
315964833,252200,35773,4061,3781,3437,3,0.07074739784002304,3372,66,28,1,0.06993059068918228,4001,1687,1094,2,0.09982006996870041,157,13,0,1980-01-06T03:00:33
315964834,252200,36773,4058,3778,3433,3,0.07118294388055801,3378,68,28,1,0.07062333822250366,3998,1718,1120,2,0.09424185752868652,169,13,0,1980-01-06T03:00:34
315964835,252200,37773,4057,3780,3438,3,0.07063858956098557,3388,69,28,1,0.07180365175008774,3999,1753,1150,2,0.08834793418645859,180,13,0,1980-01-06T03:00:35
315964836,252200,38773,4059,3784,3442,3,0.07020370662212372,3400,70,29,1,0.07326415926218033,4003,1790,1181,2,0.08254650980234146,193,13,0,1980-01-06T03:00:36
315964837,252200,39773,4062,3787,3447,3,0.06966084241867065,3409,71,29,1,0.07439257204532623,4009,1827,1212,2,0.07715017348527908,205,13,0,1980-01-06T03:00:37
315964838,252200,40773,4064,3784,3440,3,0.07042108476161957,3416,72,30,1,0.07529058307409286,4012,1843,1229,2,0.07493363320827484,216,13,0,1980-01-06T03:00:38
315964839,252200,41773,4064,3782,3441,3,0.07031238079071045,3423,72,30,1,0.07620702683925629,4012,1875,1254,2,0.07069926708936691,228,13,0,1980-01-06T03:00:39
315964840,252200,42773,4060,3783,3440,3,0.07042108476161957,3427,73,30,1,0.07673919945955276,4013,1907,1283,2,0.06671445071697235,240,13,0,1980-01-06T03:00:40
315964841,252200,43773,4062,3782,3442,3,0.07020370662212372,3436,74,30,1,0.07795984297990799,4015,1942,1314,2,0.06262169033288956,252,13,0,1980-01-06T03:00:41
315964842,252200,44773,4064,3790,3449,3,0.06944394111633301,3447,76,31,1,0.07949709892272949,4018,1980,1348,2,0.058469194918870926,8,13,0,1980-01-06T03:00:42
315964843,252200,45773,4064,3791,3452,3,0.06911882013082504,3454,76,32,1,0.08050241321325302,4021,2013,1379,2,0.055090975016355515,20,13,0,1980-01-06T03:00:43
