time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian
2,372900,1395,11.039999961853027,102842,-125.51821899414062,5,13,1,1970-01-01T03:00:02
3,372900,2395,11.050000190734863,102843,-125.6004638671875,16,13,1,1970-01-01T03:00:03
6,83900,6395,11.069999694824219,102847,-125.92945098876953,65,13,1,1970-01-01T03:00:06
315964804,852200,7395,11.0600004196167,102839,-125.27147674560547,76,13,1,1980-01-06T03:00:04
315964805,852200,8395,11.079999923706055,102845,-125.76495361328125,88,13,1,1980-01-06T03:00:05
315964806,852200,9395,11.069999694824219,102838,-125.1892318725586,101,13,1,1980-01-06T03:00:06
315964807,852200,10395,11.079999923706055,102839,-125.27147674560547,112,13,1,1980-01-06T03:00:07
315964808,852200,11395,11.09000015258789,102847,-125.92945098876953,123,13,1,1980-01-06T03:00:08
315964809,852200,12395,11.09000015258789,102847,-125.92945098876953,136,13,1,1980-01-06T03:00:09
315964810,852200,13395,11.09000015258789,102846,-125.84719848632812,148,13,1,1980-01-06T03:00:10
315964811,852200,14395,11.09000015258789,102838,-125.1892318725586,159,13,1,1980-01-06T03:00:11
315964812,852200,15395,11.09000015258789,102836,-125.02473449707031,172,13,1,1980-01-06T03:00:12
315964813,852200,16395,11.09000015258789,102836,-125.02473449707031,183,13,1,1980-01-06T03:00:13
315964814,852200,17395,11.100000381469727,102837,-125.10698699951172,194,13,1,1980-01-06T03:00:14
315964815,852200,18395,11.119999885559082,102845,-125.76495361328125,208,13,1,1980-01-06T03:00:15
315964816,852200,19395,11.119999885559082,102846,-125.84719848632812,219,13,1,1980-01-06T03:00:16
315964817,852200,20395,11.119999885559082,102838,-125.1892318725586,230,13,1,1980-01-06T03:00:17
315964818,852200,21395,11.130000114440918,102843,-125.6004638671875,243,13,1,1980-01-06T03:00:18
315964819,852200,22395,11.130000114440918,102842,-125.51821899414062,254,13,1,1980-01-06T03:00:19
315964820,852200,23395,11.140000343322754,102843,-125.6004638671875,10,13,1,1980-01-06T03:00:20
315964821,852200,24395,11.149999618530273,102847,-125.92945098876953,23,13,1,1980-01-06T03:00:21
315964822,852200,25395,11.15999984741211,102847,-125.92945098876953,34,13,1,1980-01-06T03:00:22
315964823,852200,26395,11.180000305175781,102846,-125.84719848632812,45,13,1,1980-01-06T03:00:23
315964824,852200,27395,11.180000305175781,102843,-125.6004638671875,58,13,1,1980-01-06T03:00:24
315964825,852200,28395,11.1899995803833,102844,-125.68270874023438,70,13,1,1980-01-06T03:00:25
315964826,852200,29395,11.199999809265137,102847,-125.92945098876953,81,13,1,1980-01-06T03:00:26
315964827,852200,30395,11.210000038146973,102847,-125.92945098876953,94,13,1,1980-01-06T03:00:27
315964828,852200,31395,11.229999542236328,102846,-125.84719848632812,105,13,1,1980-01-06T03:00:28
315964829,852200,32395,11.239999771118164,102842,-125.51821899414062,116,13,1,1980-01-06T03:00:29
315964830,852200,33395,11.260000228881836,102845,-125.76495361328125,130,13,1,1980-01-06T03:00:30
315964831,852200,34395,11.279999732971191,102845,-125.76495361328125,141,13,1,1980-01-06T03:00:31
315964832,852200,35395,11.279999732971191,102844,-125.68270874023438,152,13,1,1980-01-06T03:00:32
315964833,852200,36395,11.279999732971191,102844,-125.68270874023438,165,13,1,1980-01-06T03:00:33
315964834,852200,37395,11.289999961853027,102846,-125.84719848632812,176,13,1,1980-01-06T03:00:34
315964835,852200,38395,11.300000190734863,102841,-125.43596649169922,188,13,1,1980-01-06T03:00:35
