time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
1,12000,5194,11.1875,55,12,2,1970-01-01T03:00:01
4,855000,5211,11.25,59,12,2,1970-01-01T03:00:04
5,812000,6093,11.25,71,12,2,1970-01-01T03:00:05
315964804,517000,7193,11.25,109,12,2,1980-01-06T03:00:04
315964805,478000,8124,11.25,130,12,2,1980-01-06T03:00:05
315964806,436000,9075,11.25,136,12,2,1980-01-06T03:00:06
315964807,396000,10075,11.25,166,12,2,1980-01-06T03:00:07
315964808,358000,11077,11.3125,177,12,2,1980-01-06T03:00:08
315964809,318000,12077,11.3125,197,12,2,1980-01-06T03:00:09
315964810,276000,13073,11.3125,225,12,2,1980-01-06T03:00:10
315964811,236000,14073,11.3125,235,12,2,1980-01-06T03:00:11
315964812,198000,15075,11.3125,243,12,2,1980-01-06T03:00:12
315964813,157000,16074,11.3125,253,12,2,1980-01-06T03:00:13
315964814,424000,17076,11.3125,5,12,2,1980-01-06T03:00:14
315964815,383000,18075,11.3125,15,12,2,1980-01-06T03:00:15
315964816,341000,19073,11.3125,23,12,2,1980-01-06T03:00:16
315964817,300000,20073,11.3125,33,12,2,1980-01-06T03:00:17
315964818,262000,21075,11.3125,41,12,2,1980-01-06T03:00:18
315964819,221000,22074,11.3125,51,12,2,1980-01-06T03:00:19
315964820,183000,23076,11.3125,59,12,2,1980-01-06T03:00:20
315964821,142000,24075,11.3125,69,12,2,1980-01-06T03:00:21
315964822,408000,25073,11.3125,77,12,2,1980-01-06T03:00:22
315964823,367000,26073,11.375,87,12,2,1980-01-06T03:00:23
315964824,329000,27075,11.375,95,12,2,1980-01-06T03:00:24
315964825,288000,28074,11.375,105,12,2,1980-01-06T03:00:25
315964826,246000,29072,11.375,113,12,2,1980-01-06T03:00:26
315964827,209000,30075,11.375,123,12,2,1980-01-06T03:00:27
315964828,167000,31074,11.375,131,12,2,1980-01-06T03:00:28
315964829,433000,32073,11.375,141,12,2,1980-01-06T03:00:29
315964830,394000,33075,11.375,149,12,2,1980-01-06T03:00:30
315964831,354000,34074,11.4375,159,12,2,1980-01-06T03:00:31
315964832,312000,35072,11.4375,167,12,2,1980-01-06T03:00:32
315964833,275000,36076,11.4375,177,12,2,1980-01-06T03:00:33
315964834,233000,37074,11.4375,185,12,2,1980-01-06T03:00:34
315964835,193000,38073,11.4375,195,12,2,1980-01-06T03:00:35
315964836,154000,39075,11.4375,203,12,2,1980-01-06T03:00:36
315964837,421000,40075,11.4375,213,12,2,1980-01-06T03:00:37
315964838,379000,41073,11.5,221,12,2,1980-01-06T03:00:38
315964839,339000,42072,11.5,231,12,2,1980-01-06T03:00:39
315964840,300000,43074,11.5,239,12,2,1980-01-06T03:00:40
315964841,260000,44073,11.5,249,12,2,1980-01-06T03:00:41
315964842,222000,45075,11.5,1,12,2,1980-01-06T03:00:42
315964843,181000,46075,11.5,11,12,2,1980-01-06T03:00:43
315964844,139000,47073,11.5625,19,12,2,1980-01-06T03:00:44
315964845,409000,48072,11.5625,29,12,2,1980-01-06T03:00:45
315964846,371000,49074,11.5625,37,12,2,1980-01-06T03:00:46
315964847,331000,50074,11.5625,47,12,2,1980-01-06T03:00:47
315964848,289000,51072,11.5625,55,12,2,1980-01-06T03:00:48
315964849,252000,52076,11.5625,65,12,2,1980-01-06T03:00:49
315964850,210000,53073,11.5625,73,12,2,1980-01-06T03:00:50
315964851,169000,54073,11.5625,83,12,2,1980-01-06T03:00:51
315964852,131000,55075,11.5625,91,12,2,1980-01-06T03:00:52
315964853,398000,56074,11.625,101,12,2,1980-01-06T03:00:53
315964854,356000,57072,11.625,109,12,2,1980-01-06T03:00:54
