"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"6";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2, LED_G1, LED_G2, LED_R1, LED_R2";"LED";"28";"";
"26";"";"PINHD-1X1";"1X01";"JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP20, JP21, JP22, JP23, JP24, JP25, JP26, JP27, JP28, JP29, JP30, JP31, JP32, JP33, JP34, JP35, JP36, JP37";"PIN HEADER";"";"";
"3";"";"PINHD-1X2";"1X02";"JP1, JP2, JP3";"PIN HEADER";"";"";
"8";"";"PINHD-1X3";"1X03";"JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11";"PIN HEADER";"";"";
"1";"";"SCHOTTKY-DIODESMC";"SMC";"D2";"Schottky Diode";"1";"";
"13";"0,1µ";"C-USC0603";"C0603";"C1, C2, C5, C7, C8, C10, C25, C26, C40, C41, C49, C50, C56";"CAPACITOR, American symbol";"37";"C";
"4";"100k";"R-US_R0603";"R0603";"R6, R11, R21, R22";"RESISTOR, American symbol";"";"";
"6";"10k";"R-US_R0603";"R0603";"R8, R9, R16, R36, R38, R66";"RESISTOR, American symbol";"";"";
"2";"10p";"C-USC0603";"C0603";"C27, C28";"CAPACITOR, American symbol";"37";"C";
"4";"10µ";"C-USC1206";"C1206";"C4, C33, C34, C57";"CAPACITOR, American symbol";"24";"C";
"1";"11k5";"R-US_R0603";"R0603";"R25";"RESISTOR, American symbol";"";"";
"1";"124k";"R-US_R0603";"R0603";"R5";"RESISTOR, American symbol";"";"";
"2";"13k";"R-US_R0603";"R0603";"R17, R19";"RESISTOR, American symbol";"";"";
"7";"150k";"R-US_R0603";"R0603";"R28, R30, R37, R39, R67, R68, R69";"RESISTOR, American symbol";"";"";
"2";"150µ";"ECAPECAP150";"ECAP150";"C47, C54";"";"";"";
"1";"162k";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";"";
"1";"18k7";"R-US_R0603";"R0603";"R26";"RESISTOR, American symbol";"";"";
"4";"1M";"R-US_R0603";"R0603";"R20, R23, R24, R65";"RESISTOR, American symbol";"";"";
"3";"1µ";"C-USC0603";"C0603";"C20, C22, C23";"CAPACITOR, American symbol";"37";"C";
"1";"1µH";"VLS3012HBX";"VLS3012HBX";"U$11";"";"";"";
"1";"2,2µ";"C-USC0603";"C0603";"C14";"CAPACITOR, American symbol";"37";"C";
"1";"200k";"R-US_R0603";"R0603";"R3";"RESISTOR, American symbol";"";"";
"3";"220p";"C-USC0603";"C0603";"C18, C19, C36";"CAPACITOR, American symbol";"37";"C";
"2";"220µ";"ECAPECAP220";"ECAP220";"C48, C55";"";"";"";
"10";"22µ";"C-USC1206";"C1206";"C3, C6, C9, C12, C13, C15, C29, C30, C31, C32";"CAPACITOR, American symbol";"24";"C";
"1";"232k";"R-US_R0603";"R0603";"R72";"RESISTOR, American symbol";"";"";
"1";"24k3";"R-US_R0603";"R0603";"R70";"RESISTOR, American symbol";"";"";
"1";"24k9";"R-US_R0603";"R0603";"R7";"RESISTOR, American symbol";"";"";
"6";"2k";"R-US_R0603";"R0603";"R2, R31, R32, R33, R57, R100";"RESISTOR, American symbol";"";"";
"1";"3,3n";"C-USC0603";"C0603";"C46";"CAPACITOR, American symbol";"37";"C";
"1";"3,3µ";"B82472G6";"B82472G6";"3,3µH";"";"";"";
"1";"3,3µH";"B82472G6";"B82472G6";"3,3µH1";"";"";"";
"1";"324k";"R-US_R0603";"R0603";"R18";"RESISTOR, American symbol";"";"";
"1";"32961";"32961";"3296W";"U$25";"";"";"";
"1";"330k";"R-US_R0603";"R0603";"R41";"RESISTOR, American symbol";"";"";
"1";"33p";"C-USC0603";"C0603";"C11";"CAPACITOR, American symbol";"37";"C";
"4";"4.7nF";"C-USC0603";"C0603";"C21, C24, C35, C37";"CAPACITOR, American symbol";"37";"C";
"2";"4.7µ";"C-USC1206";"C1206";"C45, C53";"CAPACITOR, American symbol";"24";"C";
"2";"40k2";"R-US_R0603";"R0603";"R4, R15";"RESISTOR, American symbol";"";"";
"1";"45,3k";"R-US_R0603";"R0603";"R13";"RESISTOR, American symbol";"";"";
"4";"47µ";"C-EUC1210";"C1210";"C16, C17, C38, C39";"CAPACITOR, European symbol";"0";"C";
"2";"51k";"R-US_R0603";"R0603";"R34, R35";"RESISTOR, American symbol";"";"";
"2";"680p";"C-USC0603";"C0603";"C44, C52";"CAPACITOR, American symbol";"37";"C";
"1";"68k1";"R-US_R0603";"R0603";"R10";"RESISTOR, American symbol";"";"";
"1";"73,2k";"R-US_R0603";"R0603";"R12";"RESISTOR, American symbol";"";"";
"2";"84k5";"R-US_R0603";"R0603";"R27, R29";"RESISTOR, American symbol";"";"";
"1";"8k87";"R-US_R0603";"R0603";"R14";"RESISTOR, American symbol";"";"";
"1";"910k";"R-US_R0603";"R0603";"R40";"RESISTOR, American symbol";"";"";
"1";"GRAFITGRAFIT1";"GRAFITGRAFIT1";"GRAFIT1";"U$8";"";"";"";
"1";"GRAFITGRAFIT1_1";"GRAFITGRAFIT1_1";"GRAFIT1_1";"U$9";"";"";"";
"1";"GRAFITGRAFIT1_2";"GRAFITGRAFIT1_2";"GRAFIT1_2";"U$13";"";"";"";
"1";"GRAFITGRAFIT2";"GRAFITGRAFIT2";"GRAFIT2";"U$14";"";"";"";
"1";"GRAFITGRAFIT2_1";"GRAFITGRAFIT2_1";"GRAFIT2_1";"U$15";"";"";"";
"1";"GRAFITGRAFIT2_2";"GRAFITGRAFIT2_2";"GRAFIT2_2";"U$16";"";"";"";
"1";"GRAFITGRAFIT3";"GRAFITGRAFIT3";"GRAFIT3";"U$17";"";"";"";
"1";"GRAFITGRAFIT3_1";"GRAFITGRAFIT3_1";"GRAFIT3_1";"U$18";"";"";"";
"1";"GRAFITGRAFIT3_2";"GRAFITGRAFIT3_2";"GRAFIT3_2";"U$19";"";"";"";
"1";"GRAFITGRAFIT4";"GRAFITGRAFIT4";"GRAFIT4";"U$20";"";"";"";
"1";"GRAFITGRAFIT4_1";"GRAFITGRAFIT4_1";"GRAFIT4_1";"U$21";"";"";"";
"1";"GRAFITGRAFIT4_2";"GRAFITGRAFIT4_2";"GRAFIT4_2";"U$22";"";"";"";
"1";"INVERTER";"INVERTER";"SOT23-5";"INVERT";"";"";"";
"2";"LTC31191";"LTC31191";"LTC3119+VIA";"U$23, U$59";"";"";"";
"2";"LTC3633+VIA";"LTC3633+VIA";"LTC3633+VIA";"U$5, U$10";"";"";"";
"1";"L_10MKH";"L_10MKH";"L_12X12";"U$2";"";"";"";
"2";"L_2.2MKH";"L_2.2MKH";"L_SPM4020";"U$6, U$7";"";"";"";
"1";"L_3.3MKH";"L_3.3MKH_5X5";"L_SPM5020";"U$4";"";"";"";
"1";"MP1584+VIA";"MP1584+VIA";"MP1584+VIA";"U$1";"";"";"";
"1";"MP2225";"MP2225";"TSOT23-8";"U$3";"";"";"";
"1";"OPA333";"OPA333";"SOT23-5";"OPA";"";"";"";
"1";"SPM4020";"SPM4020";"SPM4020";"U$12";"";"";"";
